team,opponent,was_home,team_strength,opponent_strength
Man Utd,Wolves,True,1105.0,1125.0
Crystal Palace,Fulham,True,1140.0,1125.0
West Ham,Brighton,True,1100.0,1175.0
Liverpool,Leeds,True,1335.0,1075.0
Burnley,Newcastle,True,1050.0,1245.0
Chelsea,Bournemouth,True,1185.0,1180.0
Nott'm Forest,Everton,True,1165.0,1115.0
Sunderland,Man City,True,1050.0,1315.0
Arsenal,Aston Villa,True,1320.0,1250.0
Brentford,Spurs,True,1120.0,1175.0
Wolves,Man Utd,False,1125.0,1105.0
Fulham,Crystal Palace,False,1125.0,1140.0
Brighton,West Ham,False,1175.0,1100.0
Leeds,Liverpool,False,1075.0,1335.0
Newcastle,Burnley,False,1245.0,1050.0
Bournemouth,Chelsea,False,1180.0,1185.0
Everton,Nott'm Forest,False,1115.0,1165.0
Man City,Sunderland,False,1315.0,1050.0
Aston Villa,Arsenal,False,1250.0,1320.0
Spurs,Brentford,False,1175.0,1120.0
