dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–5,,,,,,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",2023-08-12,Newcastle Utd,,,
Sun,N,83.3,0,0,1,0,Matchweek 2,0.0,0,AM,0,0,0,Premier League,0,,0.0,1,0,6,0,5,Home,5,6,W 4–0,0,7,0,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",2023-08-20,Everton,,0,0
Sat,Y,100.0,2,1,1,1,Matchweek 4,0.2,2,FW,0,1,0,Premier League,0,,0.0,0,0,6,0,6,Home,13,74,D 2–2,0,14,0,0,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-02,Everton,,0,0
Sat,Y,81.0,1,0,2,0,Matchweek 5,0.0,0,FW,3,1,0,Premier League,1,,0.1,1,0,21,0,17,Away,21,90,L 1–2,0,29,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-16,Tottenham,,2,0
Sun,Y,94.4,2,0,1,0,Matchweek 6,0.0,0,FW,0,1,0,Premier League,0,,0.0,0,0,18,0,17,Home,13,90,L 0–8,0,24,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-24,Newcastle Utd,,1,0
Sat,Y,94.1,1,0,0,0,Matchweek 7,0.2,2,FW,0,0,0,Premier League,1,,0.2,0,0,17,0,16,Away,15,78,L 0–2,0,24,1,0,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-30,West Ham,,4,0
Sat,Y,76.9,7,0,1,0,Matchweek 8,0.0,0,FW,2,2,0,Premier League,1,,0.0,0,0,13,0,10,Away,16,78,L 1–3,0,27,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-07,Fulham,,1,0
Sat,Y,78.6,4,2,2,0,Matchweek 9,0.2,4,FW,2,1,0,Premier League,0,,0.2,0,0,14,0,11,Home,22,90,L 1–2,0,35,0,0,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-21,Manchester Utd,,2,1
Sat,N,100.0,1,0,0,0,Matchweek 10,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,7,0,7,Away,2,32,L 0–5,0,10,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-28,Arsenal,,0,0
Sat,Y,66.7,4,1,0,1,Matchweek 11,0.1,2,FW,2,1,0,Premier League,0,,0.0,0,0,18,0,12,Home,20,90,W 2–1,0,36,0,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-04,Wolves,,2,0
Sun,Y,87.5,3,0,1,0,Matchweek 12,0.0,0,FW,0,2,0,Premier League,1,,0.2,0,0,8,0,7,Away,7,90,D 1–1,0,13,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-12,Brighton,,1,0
Sat,Y,81.3,2,0,1,0,Matchweek 13,0.0,0,FW,1,1,0,Premier League,1,,0.0,0,0,16,0,13,Home,11,90,L 1–3,0,21,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-25,Bournemouth,,3,0
