dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,100.0,2,0,1,2023-08-12,0,Matchweek 1,0.3,1,"FW,RW",2,0,0,Premier League,1,0,0,6,0,6,Away,11,79,L 1–2,0,15,0,0,0.3,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,0,0
Fri,Y,64.9,2,0,5,2023-08-18,0,Matchweek 2,0.1,2,RW,0,0,0,Premier League,1,0,0,37,0,24,Home,25,89,W 2–1,0,44,0,1,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Sheffield Utd,,3,0
Sat,Y,94.4,3,0,2,2023-08-26,0,Matchweek 3,0.0,0,AM,2,2,0,Premier League,2,0,0,18,0,17,Away,14,69,L 2–3,0,26,1,2,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Manchester Utd,,4,0
Sat,N,100.0,1,0,2,2023-09-16,0,Matchweek 5,0.0,0,RW,0,0,0,Premier League,0,0,0,7,0,7,Home,6,11,W 2–1,0,9,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Sheffield Utd,,2,0
Sun,Y,70.0,1,2,3,2023-09-24,0,Matchweek 6,0.6,3,LW,0,0,0,Premier League,0,0,0,10,0,7,Away,14,62,D 2–2,0,18,0,0,0.6,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Arsenal,,1,1
Mon,N,83.3,0,0,1,2023-10-23,0,Matchweek 9,0.0,0,LW,0,0,0,Premier League,0,0,0,6,0,5,Home,7,10,W 2–0,0,7,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Fulham,,0,0
Fri,N,87.5,1,0,0,2023-10-27,0,Matchweek 10,0.0,0,"LW,RW",0,0,0,Premier League,2,1,0,8,0,7,Away,6,27,W 2–1,1,12,2,2,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.8,Crystal Palace,,4,0
Mon,Y,75.0,1,0,4,2023-11-06,0,Matchweek 11,0.0,0,LW,0,0,0,Premier League,0,0,0,8,0,6,Home,9,33,L 1–4,0,10,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Chelsea,,1,1
Sat,Y,68.8,1,1,4,2023-11-11,1,Matchweek 12,0.4,2,LW,0,0,0,Premier League,1,0,0,32,0,22,Away,34,74,L 1–2,0,39,3,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Wolves,,0,0
Sun,Y,75.9,5,1,3,2023-11-26,0,Matchweek 13,0.6,3,"RW,LW,LM",1,1,0,Premier League,0,0,0,29,0,22,Home,17,90,L 1–2,0,37,4,0,0.6,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Aston Villa,,4,0
Sun,Y,52.0,0,1,3,2023-12-03,0,Matchweek 14,0.0,2,"LW,RW",2,0,0,Premier League,1,0,0,25,0,13,Away,14,89,D 3–3,1,37,1,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.2,Manchester City,,2,0
Thu,Y,82.9,2,2,3,2023-12-07,0,Matchweek 15,0.4,5,LW,1,2,0,Premier League,0,0,0,35,0,29,Home,35,83,L 1–2,0,44,8,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,West Ham,,3,0
Sun,Y,70.4,4,0,5,2023-12-10,0,Matchweek 16,0.2,2,RW,2,4,0,Premier League,1,0,0,27,0,19,Home,25,85,W 4–1,0,38,4,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.3,Newcastle Utd,,3,1
Fri,Y,66.7,0,1,2,2023-12-15,0,Matchweek 17,0.1,1,RW,1,0,0,Premier League,0,0,0,6,0,4,Away,7,31,W 2–0,0,12,0,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Nott'ham Forest,,1,1
Sat,Y,76.9,2,1,2,2023-12-23,0,Matchweek 18,0.5,4,RW,2,1,0,Premier League,0,0,0,26,0,20,Home,25,90,W 2–1,1,38,3,2,0.5,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.6,Everton,,7,1
Thu,Y,55.0,2,0,5,2023-12-28,0,Matchweek 19,0.1,1,RW,0,1,0,Premier League,0,0,0,20,0,11,Away,19,69,L 2–4,0,24,1,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Brighton,,2,0
Sun,Y,60.0,1,0,2,2023-12-31,0,Matchweek 20,0.0,0,RW,2,1,0,Premier League,4,0,0,20,0,12,Home,18,81,W 3–1,1,33,1,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.5,Bournemouth,,1,0
Sun,Y,73.1,6,1,4,2024-01-14,0,Matchweek 21,0.1,2,RW,4,1,0,Premier League,2,0,0,26,0,19,Away,27,90,D 2–2,0,43,4,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Manchester Utd,,2,1
Wed,N,100.0,0,1,0,2024-01-31,1,Matchweek 22,0.9,1,"DM,LW,RW",1,0,0,Premier League,1,0,0,13,0,13,Home,15,45,W 3–2,0,23,1,0,0.9,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.2,Brentford,,2,0
Sat,Y,37.5,2,0,2,2024-02-03,0,Matchweek 23,0.0,0,RW,0,1,0,Premier League,1,0,0,16,0,6,Away,11,63,D 2–2,0,18,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Everton,,0,0
Sat,N,66.7,1,2,2,2024-02-10,1,Matchweek 24,0.4,2,RW,0,0,0,Premier League,0,0,0,12,0,8,Home,12,29,W 2–1,0,17,1,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brighton,,0,0
Sat,N,54.5,2,0,0,2024-02-17,0,Matchweek 25,0.0,0,RW,0,0,0,Premier League,2,0,0,11,0,6,Home,12,20,L 1–2,0,18,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Wolves,,1,0
Sat,N,63.2,3,0,2,2024-03-02,0,Matchweek 27,0.2,1,"RW,LW",1,0,0,Premier League,1,0,0,19,0,12,Home,18,28,W 3–1,2,26,2,2,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.7,Crystal Palace,,2,0
Sun,Y,73.7,8,1,5,2024-03-10,1,Matchweek 28,0.3,2,LW,2,4,0,Premier League,2,0,0,38,0,28,Away,33,87,W 4–0,0,50,4,0,0.3,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Aston Villa,,0,0
Sat,Y,66.7,2,1,2,2024-03-16,0,Matchweek 29,0.8,2,"LW,RW",5,0,0,Premier League,1,1,0,33,0,22,Away,32,79,L 0–3,0,48,3,0,0.8,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.9,Fulham,,2,0
