dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y*,75.0,0,0,0,2023-08-12,0,Matchweek 1,0.0,1,CB,1,0,0,Premier League,0,0,0,36,0,27,Home,32,90,L 0–1,0,46,5,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Fulham,,0,4
Sun,Y*,85.0,1,0,0,2023-08-20,0,Matchweek 2,0.2,1,CB,2,1,0,Premier League,0,0,0,40,0,34,Away,35,90,L 0–4,0,46,1,0,0.2,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Aston Villa,,0,3
Sat,Y*,84.3,0,0,1,2023-08-26,0,Matchweek 3,0.2,1,CB,2,0,0,Premier League,2,0,0,51,0,43,Home,40,90,L 0–1,0,65,5,0,0.2,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Wolves,,0,3
Sat,Y*,81.5,0,0,0,2023-09-02,0,Matchweek 4,0.0,0,CB,2,0,0,Premier League,3,0,0,54,0,44,Away,45,89,D 2–2,0,64,3,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Sheffield Utd,,0,1
Sun,Y*,65.4,0,0,0,2023-09-17,0,Matchweek 5,0.0,0,CB,3,0,0,Premier League,1,0,0,26,0,17,Home,14,90,L 0–1,0,35,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Arsenal,,0,1
Sat,Y*,76.7,0,1,0,2023-09-23,1,Matchweek 6,0.3,2,CB,1,0,0,Premier League,0,0,0,43,0,33,Away,23,90,W 3–1,1,52,6,1,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.3,Brentford,,4,0
Sat,Y*,82.4,1,0,0,2023-09-30,0,Matchweek 7,0.0,0,CB,2,1,0,Premier League,1,0,0,68,0,56,Home,34,90,L 1–2,0,78,9,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Luton Town,,2,0
Sat,Y*,74.0,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,CB,3,0,0,Premier League,3,0,0,50,0,37,Home,33,90,W 3–0,0,66,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Bournemouth,,2,1
Sat,Y*,69.6,0,0,0,2023-10-21,0,Matchweek 9,0.0,0,CB,5,0,0,Premier League,1,1,0,23,0,16,Away,5,90,L 0–2,0,32,0,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Liverpool,,2,1
Sun,Y*,78.6,1,0,0,2023-10-29,0,Matchweek 10,0.0,1,CB,1,1,0,Premier League,0,0,0,42,0,33,Away,19,90,W 1–0,0,48,2,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,West Ham,,0,1
Sat,Y*,73.3,1,1,1,2023-11-04,0,Matchweek 11,0.2,3,CB,1,1,0,Premier League,0,1,0,15,0,11,Home,5,90,D 1–1,0,24,1,0,0.2,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Brighton,,0,1
Sat,Y*,71.0,1,0,0,2023-11-11,0,Matchweek 12,0.0,0,CB,3,1,0,Premier League,5,0,0,31,0,22,Away,20,90,W 3–2,0,52,3,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Crystal Palace,,0,2
Sun,Y*,78.6,0,0,1,2023-11-26,0,Matchweek 13,0.1,1,CB,0,0,0,Premier League,2,0,0,56,0,44,Home,38,90,L 0–3,0,62,8,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Manchester Utd,,3,3
Sat,Y*,60.0,0,0,1,2023-12-02,0,Matchweek 14,0.1,1,CB,0,0,0,Premier League,1,0,0,40,0,24,Away,17,90,W 1–0,0,54,6,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Nott'ham Forest,,2,1
Thu,Y,66.7,0,0,1,2023-12-07,0,Matchweek 15,0.0,1,CB,4,0,0,Premier League,2,0,0,21,0,14,Home,13,90,W 3–0,0,39,2,1,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Newcastle Utd,,2,4
Sun,Y*,65.2,2,0,0,2023-12-10,0,Matchweek 16,0.0,0,CB,2,1,0,Premier League,0,0,0,23,0,15,Home,12,90,W 2–0,0,34,2,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Chelsea,,1,2
Sat,Y*,68.8,0,0,0,2023-12-16,0,Matchweek 17,0.0,0,CB,2,0,0,Premier League,0,0,0,48,0,33,Away,30,90,W 2–0,0,57,5,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Burnley,,1,1
Sat,Y*,59.1,0,0,0,2023-12-23,0,Matchweek 18,0.0,0,CB,2,0,0,Premier League,3,0,0,44,0,26,Away,22,90,L 1–2,0,54,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Tottenham,,0,2
Wed,Y*,65.6,1,0,0,2023-12-27,0,Matchweek 19,0.0,1,CB,1,0,0,Premier League,2,0,0,32,0,21,Home,24,90,L 1–3,0,47,0,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Manchester City,,0,1
Sat,Y*,78.2,2,0,1,2023-12-30,0,Matchweek 20,0.1,1,CB,3,2,0,Premier League,1,1,0,55,0,43,Away,25,90,L 0–3,0,69,4,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Wolves,,1,3
Sun,Y,71.0,0,0,0,2024-01-14,0,Matchweek 21,0.1,1,CB,1,0,0,Premier League,3,1,0,31,0,22,Home,9,90,D 0–0,0,45,4,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Aston Villa,,0,1
Tue,Y*,73.1,0,0,0,2024-01-30,0,Matchweek 22,0.2,1,CB,3,0,0,Premier League,1,0,0,26,0,19,Away,13,90,D 0–0,0,43,3,0,0.2,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.3,Fulham,,3,1
Sat,Y*,70.0,0,0,0,2024-02-03,0,Matchweek 23,0.0,0,CB,2,0,0,Premier League,1,0,0,50,0,35,Home,27,90,D 2–2,0,62,3,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.7,Tottenham,,2,3
Sat,Y*,86.8,2,0,0,2024-02-10,0,Matchweek 24,0.0,0,CB,3,1,0,Premier League,1,0,0,38,0,33,Away,24,90,L 0–2,0,55,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Manchester City,,0,1
Mon,Y*,82.9,1,1,0,2024-02-19,0,Matchweek 25,0.4,2,CB,4,1,0,Premier League,2,0,0,76,0,63,Home,46,90,D 1–1,0,94,9,0,0.4,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Crystal Palace,,2,5
Sat,Y*,86.0,3,0,0,2024-02-24,0,Matchweek 26,0.0,0,CB,5,2,0,Premier League,2,1,0,43,0,37,Away,30,90,D 1–1,0,59,3,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Brighton,,2,1
Sat,Y*,84.1,0,0,7,2024-03-02,0,Matchweek 27,0.0,0,CB,2,0,0,Premier League,3,0,0,63,0,53,Home,41,90,L 1–3,0,76,9,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,West Ham,,1,1
Sat,Y*,94.3,1,0,1,2024-03-09,0,Matchweek 28,0.3,3,CB,4,1,0,Premier League,0,0,0,53,0,50,Away,33,90,L 0–2,0,64,9,0,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Manchester Utd,,2,2
Sat,Y,82.9,2,0,0,2024-03-30,0,Matchweek 30,0.0,0,CB,1,2,0,Premier League,3,1,0,41,0,34,Away,15,90,L 1–2,0,53,4,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.4,Bournemouth,,2,0
Tue,Y*,78.8,0,0,0,2024-04-02,0,Matchweek 31,0.3,1,CB,1,0,0,Premier League,6,1,0,33,0,26,Away,24,90,D 1–1,0,44,3,0,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Newcastle Utd,,0,0
Sat,Y,62.8,0,0,0,2024-04-06,0,Matchweek 32,0.0,0,CB,0,0,0,Premier League,0,1,0,43,0,27,Home,15,90,W 1–0,0,48,0,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Burnley,,0,0
Mon,Y,80.0,0,0,1,2024-04-15,0,Matchweek 33,0.0,0,CB,2,0,0,Premier League,1,1,0,50,0,40,Away,27,90,L 0–6,0,57,6,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Chelsea,,1,0
Sun,Y*,75.0,0,0,0,2024-04-21,0,Matchweek 34,0.0,0,CB,2,0,0,Premier League,1,0,0,36,0,27,Home,21,90,W 2–0,0,43,2,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Nott'ham Forest,,0,0
Wed,Y*,77.8,0,1,0,2024-04-24,0,Matchweek 29,0.0,1,CB,1,0,0,Premier League,3,0,0,18,0,14,Home,10,90,W 2–0,0,39,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.2,Liverpool,,3,5
Sat,Y*,81.8,0,0,0,2024-04-27,0,Matchweek 35,0.1,1,CB,1,0,0,Premier League,1,1,0,44,0,36,Home,30,90,W 1–0,0,59,2,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Brentford,,2,0
Fri,Y*,87.2,0,0,0,2024-05-03,0,Matchweek 36,0.1,1,CB,1,0,0,Premier League,1,0,0,39,0,34,Away,21,90,D 1–1,0,54,1,1,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Luton Town,,2,1
Sat,Y,82.6,0,0,0,2024-05-11,0,Matchweek 37,0.0,0,CB,6,0,0,Premier League,2,0,0,46,0,38,Home,32,90,W 1–0,0,60,3,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Sheffield Utd,,2,0
Sun,Y,63.6,1,0,0,2024-05-19,0,Matchweek 38,0.0,0,CB,3,1,0,Premier League,3,1,0,22,0,14,Away,14,90,L 1–2,0,35,2,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Arsenal,,0,0
