dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,Y,72.0,2,2,6,2023-09-18,1,Matchweek 5,0.1,3,LW,0,2,0,Premier League,1,,0,0,25,0,18,Home,21,70,D 1–1,0,29,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Burnley,,3,0
Sat,N,88.5,1,0,5,2023-09-23,0,Matchweek 6,0.0,0,"WB,LW",1,1,0,Premier League,0,,0,0,26,0,23,Away,23,35,L 0–2,0,29,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,2,0
Sun,Y,63.2,3,0,5,2023-10-01,0,Matchweek 7,0.0,0,LW,1,2,0,Premier League,0,,0,0,19,0,12,Home,15,59,D 1–1,0,25,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Brentford,,3,0
Sat,Y,82.1,6,0,2,2023-10-07,0,Matchweek 8,0.0,0,LW,1,3,0,Premier League,1,,0,0,28,0,23,Away,22,65,D 0–0,0,33,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,2,0
Sat,N,76.2,0,0,3,2023-11-25,0,Matchweek 13,0.0,0,CM,0,0,0,Premier League,0,,0,0,21,0,16,Home,15,29,L 2–3,0,22,5,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,3,0
Sat,N,66.7,2,0,3,2023-12-02,0,Matchweek 14,0.0,0,RW,0,2,0,Premier League,0,,0,0,21,0,14,Home,17,26,L 0–1,0,21,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,3,0
Wed,Y,86.4,5,0,0,2023-12-06,0,Matchweek 15,0.0,0,RW,1,1,0,Premier League,0,,0,0,22,0,19,Away,19,57,L 0–5,0,33,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,0,1
Sat,N,,,,,2023-12-09,,Matchweek 16,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Wolves,,,
Fri,N,83.3,1,0,1,2023-12-15,0,Matchweek 17,0.0,0,"RW,CM",0,1,0,Premier League,0,,0,0,6,0,5,Home,8,8,L 0–2,0,8,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Tottenham,,3,0
Sat,N,50.0,0,0,1,2023-12-23,0,Matchweek 18,0.0,1,DM,0,0,0,Premier League,0,,0,0,12,0,6,Home,10,45,L 2–3,0,19,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Bournemouth,,0,0
Tue,Y,81.3,3,1,4,2023-12-26,0,Matchweek 19,0.1,1,LW,0,1,0,Premier League,0,,0,0,16,0,13,Away,18,78,W 3–1,0,23,1,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Newcastle Utd,,2,1
Sat,N,50.0,1,0,1,2023-12-30,0,Matchweek 20,0.0,0,LW,0,0,0,Premier League,0,,0,0,2,0,1,Home,3,12,W 2–1,0,4,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester Utd,,0,0
Sat,Y,83.7,4,0,8,2024-01-20,0,Matchweek 21,0.1,1,LW,2,3,0,Premier League,2,,0,0,43,0,36,Away,37,90,L 2–3,1,53,3,1,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.4,Brentford,,4,0
Tue,N,100.0,1,0,1,2024-01-30,0,Matchweek 22,0.0,0,LW,0,1,0,Premier League,0,,0,0,9,0,9,Home,8,27,L 1–2,0,10,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,1,0
Sun,Y,68.2,4,1,2,2024-02-04,1,Matchweek 23,0.0,1,LW,1,1,0,Premier League,3,,0,0,22,0,15,Away,17,89,D 1–1,0,33,1,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Bournemouth,,3,0
Sat,Y,76.9,6,1,6,2024-02-10,1,Matchweek 24,0.0,1,LW,0,4,0,Premier League,0,,0,0,39,0,30,Home,32,90,L 2–3,0,47,4,2,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Newcastle Utd,,4,0
Sat,Y,81.4,2,1,8,2024-02-17,1,Matchweek 25,0.4,2,LW,1,1,0,Premier League,2,,0,0,43,0,35,Home,40,90,W 2–0,0,52,4,1,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.8,West Ham,,8,0
Sat,Y,79.3,4,1,2,2024-02-24,0,Matchweek 26,0.4,4,LW,0,3,0,Premier League,1,,0,0,29,0,23,Away,27,90,L 2–4,0,41,1,0,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Aston Villa,,4,1
Sat,Y,66.7,11,1,3,2024-03-02,0,Matchweek 27,0.1,1,LW,1,6,0,Premier League,0,,0,0,24,0,16,Home,24,90,L 0–1,0,39,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Liverpool,,4,1
Sun,N,90.0,1,0,1,2024-03-10,0,Matchweek 28,0.0,0,LM,1,0,0,Premier League,0,,0,0,10,0,9,Away,5,19,L 0–1,0,12,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,2,0
Sat,N,71.4,1,0,2,2024-03-16,0,Matchweek 29,0.0,1,LM,0,1,0,Premier League,1,,0,0,7,0,5,Away,6,16,D 1–1,0,9,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Luton Town,,2,0
Sat,Y,72.9,4,2,9,2024-03-30,0,Matchweek 30,0.1,2,LW,1,2,0,Premier League,0,,0,0,59,0,43,Home,53,90,D 1–1,0,69,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Crystal Palace,,4,0
Tue,Y,81.8,0,2,4,2024-04-02,1,Matchweek 31,0.4,2,LW,0,0,0,Premier League,0,,0,0,22,0,18,Home,19,69,W 3–1,0,29,0,0,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Fulham,,1,0
Sun,Y,81.5,6,1,4,2024-04-07,0,Matchweek 32,0.1,3,LW,1,4,0,Premier League,0,,0,0,27,0,22,Away,30,90,L 1–3,0,36,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Tottenham,,2,1
Sat,Y,83.8,2,2,5,2024-04-13,0,Matchweek 33,0.3,3,LW,2,1,0,Premier League,1,,0,0,37,0,31,Home,32,90,D 2–2,0,49,6,0,0.3,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Wolves,,6,0
Sun,Y,65.5,2,1,5,2024-04-21,0,Matchweek 34,0.0,1,LW,0,0,0,Premier League,1,,0,0,29,0,19,Away,28,79,L 0–2,0,35,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,0,1
Sun,Y,86.7,1,1,3,2024-04-28,0,Matchweek 35,0.1,3,"LM,LW",0,1,0,Premier League,0,,0,0,45,0,39,Home,36,90,L 0–2,0,52,5,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Manchester City,,2,0
Sat,Y,91.2,2,2,3,2024-05-04,2,Matchweek 36,0.3,4,"LW,LM",0,0,0,Premier League,1,,0,0,34,0,31,Away,33,89,W 3–1,0,45,1,0,0.3,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Sheffield Utd,,4,0
Sat,Y,69.7,2,1,10,2024-05-11,1,Matchweek 37,0.2,4,LM,1,1,0,Premier League,2,,0,0,33,0,23,Home,31,85,L 2–3,0,43,3,0,0.2,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.3,Chelsea,,7,0
Sun,Y,78.6,3,0,4,2024-05-19,0,Matchweek 38,0.0,0,LW,1,1,0,Premier League,2,,0,0,28,0,22,Away,19,87,W 2–1,0,32,5,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Burnley,,3,1
