dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,81.3,1,0,1,2023-10-01,0,Matchweek 7,0.1,1,CB,2,1,0,Premier League,1,,0,0,48,0,39,Home,31,90,D 1–1,0,63,1,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,0,1
Sat,Y,82.8,2,2,1,2023-10-07,0,Matchweek 8,0.4,2,CB,1,2,0,Premier League,2,,0,0,58,0,48,Away,46,90,D 0–0,0,65,6,0,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Crystal Palace,,5,0
Sat,Y,80.5,1,0,4,2023-10-21,0,Matchweek 9,0.0,0,CB,1,1,0,Premier League,1,,1,0,87,0,70,Home,49,90,D 2–2,0,95,5,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Luton Town,,1,0
Sun,Y,66.7,6,0,1,2023-10-29,0,Matchweek 10,0.1,1,CB,0,5,0,Premier League,3,,0,0,12,0,8,Away,9,90,L 0–3,0,30,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Liverpool,,0,3
Sun,Y,69.2,0,0,0,2023-11-05,0,Matchweek 11,0.0,0,CB,1,0,0,Premier League,1,,0,0,26,0,18,Home,22,90,W 2–0,0,37,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Aston Villa,,0,1
Sun,Y,90.2,0,0,1,2023-11-12,0,Matchweek 12,0.0,0,CB,1,0,0,Premier League,1,,0,0,51,0,46,Away,40,75,L 2–3,0,55,5,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,West Ham,,0,0
Sat,Y,74.2,1,0,3,2023-11-25,0,Matchweek 13,0.0,0,CB,0,0,0,Premier League,4,,0,0,66,0,49,Home,44,90,L 2–3,0,79,6,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Brighton,,1,4
Sat,Y,79.7,3,1,2,2023-12-02,0,Matchweek 14,0.0,1,CB,5,1,0,Premier League,0,,0,0,79,0,63,Home,56,90,L 0–1,0,96,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,0,1
Wed,Y,74.2,0,0,0,2023-12-06,0,Matchweek 15,0.0,1,CB,1,0,0,Premier League,1,,0,0,62,0,46,Away,43,90,L 0–5,0,73,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,1,0
Sat,Y,85.0,2,0,1,2023-12-09,0,Matchweek 16,0.0,0,CB,1,1,0,Premier League,3,,0,0,40,0,34,Away,26,76,D 1–1,0,56,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves,,0,1
Fri,Y,74.2,2,0,1,2023-12-15,0,Matchweek 17,0.0,1,CB,1,0,0,Premier League,3,,1,0,31,0,23,Home,26,90,L 0–2,0,46,8,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Tottenham,,0,0
Sat,Y,62.5,3,0,1,2023-12-23,0,Matchweek 18,0.0,0,CB,1,1,0,Premier League,2,,0,0,16,0,10,Home,7,90,L 2–3,0,29,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Bournemouth,,0,0
