dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,,,,,2023-08-12,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Nott'ham Forest,,,
Mon,N,,,,,2023-08-21,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Crystal Palace,,,
Sat,N,,,,,2023-08-26,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Fulham,,,
Sun,N,,,,,2023-09-03,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester Utd,,,
Sun,N,,,,,2023-09-17,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Everton,,,
Sun,N,100.0,2,0,0,2023-09-24,0,Matchweek 6,0.0,0,"LW,RW",0,2,0,Premier League,0,,0,0,6,0,6,Home,6,1,D 2–2,0,6,0,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Tottenham,,0,0
Sat,N,100.0,0,2,0,2023-09-30,0,Matchweek 7,0.5,2,LM,1,0,0,Premier League,0,,0,0,4,0,4,Away,5,10,W 4–0,0,7,0,0,0.5,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Bournemouth,,0,0
Sun,N,,,,,2023-10-08,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester City,,,
Sat,N,50.0,0,0,1,2023-10-21,0,Matchweek 9,0.0,0,LM,1,0,0,Premier League,0,,0,0,12,0,6,Away,6,23,D 2–2,0,14,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Chelsea,,0,0
Sat,Y,80.6,0,0,0,2023-10-28,0,Matchweek 10,0.4,1,LM,1,0,0,Premier League,1,,0,0,31,0,25,Home,20,73,W 5–0,1,36,4,2,0.4,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Sheffield Utd,,4,1
Sun,N,100.0,0,1,0,2023-12-17,0,Matchweek 17,0.1,1,LM,0,0,0,Premier League,0,,0,0,2,0,2,Home,1,2,W 2–0,0,3,0,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Brighton,,0,0
Sat,N,,,,,2023-12-23,,Matchweek 18,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Liverpool,,,
Thu,N,100.0,0,1,1,2023-12-28,0,Matchweek 19,0.1,1,CM,0,0,0,Premier League,1,,0,0,17,0,17,Home,13,12,L 0–2,0,19,3,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,West Ham,,0,0
Sun,N,,,,,2023-12-31,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–2,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Fulham,,,
Sat,N,93.8,1,0,2,2024-01-20,0,Matchweek 21,0.0,0,LM,0,0,0,Premier League,0,,0,0,16,0,15,Home,13,22,W 5–0,0,18,3,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Crystal Palace,,0,0
Tue,Y,93.3,1,0,2,2024-01-30,0,Matchweek 22,0.1,1,LM,0,0,0,Premier League,1,,0,0,45,0,42,Away,26,70,W 2–1,0,48,3,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Nott'ham Forest,,1,0
Sun,N,,,,,2024-02-04,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Liverpool,,,
Sat,N,100.0,1,0,1,2024-02-17,0,Matchweek 25,0.0,1,LM,0,0,0,Premier League,0,,0,0,5,0,5,Away,7,7,W 5–0,0,10,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Burnley,,2,0
Sat,N,80.0,2,0,1,2024-02-24,0,Matchweek 26,0.4,3,RM,0,1,0,Premier League,0,,0,0,5,0,4,Home,4,15,W 4–1,0,11,1,0,0.4,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Newcastle Utd,,1,0
Mon,N,,,,,2024-03-04,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 6–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Sheffield Utd,,,
Sat,N,,,,,2024-03-09,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Brentford,,,
Sun,N,,,,,2024-03-31,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester City,,,
Wed,Y,88.9,0,1,2,2024-04-03,0,Matchweek 31,0.2,2,LM,0,0,0,Premier League,1,,0,0,45,0,40,Home,34,84,W 2–0,0,53,5,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Luton Town,,5,2
Sat,N,,,,,2024-04-06,,Matchweek 32,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Brighton,,,
Sun,N,80.0,0,0,0,2024-04-14,0,Matchweek 33,0.0,0,"CM,RM",0,0,0,Premier League,0,,0,0,10,0,8,Home,6,12,L 0–2,0,10,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Aston Villa,,0,0
Sat,N,,,,,2024-04-20,,Matchweek 34,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Wolves,,,
Tue,N,,,,,2024-04-23,,Matchweek 29,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 5–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Chelsea,,,
Sun,N,,,,,2024-04-28,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–2,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Tottenham,,,
Sat,N,,,,,2024-05-04,,Matchweek 36,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Bournemouth,,,
Sun,N,,,,,2024-05-12,,Matchweek 37,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester Utd,,,
Sun,N,93.3,0,0,1,2024-05-19,0,Matchweek 38,0.3,3,LM,0,0,0,Premier League,0,,0,0,15,0,14,Home,13,22,W 2–1,0,18,1,0,0.3,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Everton,,0,0
