dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,72.7,0,0,0,0,Matchweek 4,0.0,0,RB,1,0,0,Premier League,0,,0.0,0,0,11,0,8,Away,6,18,L 1–5,0,13,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-02,Manchester City,,1,0
Sat,Y,90.3,1,0,1,0,Matchweek 5,0.0,1,LB,1,1,0,Premier League,4,,0.0,1,0,72,0,65,Home,46,90,W 1–0,0,85,4,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-16,Luton Town,,2,2
Sat,Y,72.2,2,1,4,0,Matchweek 6,0.0,1,RB,2,1,0,Premier League,3,,0.0,0,0,54,0,39,Away,22,90,D 0–0,0,65,4,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-23,Crystal Palace,,3,0
Mon,Y,78.8,3,0,2,0,Matchweek 7,0.1,2,RB,0,1,0,Premier League,3,,0.0,0,0,85,0,67,Home,54,90,L 0–2,0,93,7,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-02,Chelsea,,3,0
Sat,Y,74.7,1,0,9,0,Matchweek 8,0.0,0,RB,0,1,0,Premier League,0,,0.2,0,0,79,0,59,Home,52,90,W 3–1,0,85,6,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-07,Sheffield Utd,,2,2
Mon,Y,86.8,2,0,1,0,Matchweek 9,0.0,0,RB,5,2,0,Premier League,1,,0.1,0,0,53,0,46,Away,30,90,L 0–2,0,64,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-23,Tottenham,,2,3
Sun,Y,80.4,0,0,0,0,Matchweek 10,0.0,0,RB,1,0,0,Premier League,1,,0.0,0,0,51,0,41,Away,31,90,D 1–1,0,54,4,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-29,Brighton,,0,1
Sat,Y,84.2,1,0,0,0,Matchweek 11,0.0,0,RB,2,0,0,Premier League,1,,0.0,0,0,38,0,32,Home,11,90,L 0–1,0,51,3,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-04,Manchester Utd,,0,1
Sun,Y,81.0,1,0,1,0,Matchweek 12,0.0,0,RB,1,1,0,Premier League,4,,0.0,0,0,58,0,47,Away,37,90,L 1–3,0,69,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-12,Aston Villa,,1,4
Mon,Y,85.9,0,0,2,0,Matchweek 13,0.0,0,RB,1,0,0,Premier League,3,,0.3,0,0,85,0,73,Home,40,90,W 3–2,0,101,6,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-27,Wolves,,4,4
