dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,92.3,2,3,1,2023-08-12,0,Matchweek 1,0.2,3,CM,0,0,0,Premier League,4,,0,0,91,0,84,Home,86,90,W 2–1,0,103,3,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Nott'ham Forest,,0,1
Mon,Y,90.2,2,0,2,2023-08-21,0,Matchweek 2,0.0,0,CM,3,0,0,Premier League,0,,0,0,61,0,55,Away,41,90,W 1–0,0,67,8,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.4,Crystal Palace,,1,1
Sat,Y,95.8,0,0,0,2023-08-26,0,Matchweek 3,0.0,0,CM,0,0,0,Premier League,5,,0,0,71,0,68,Home,45,89,D 2–2,0,79,9,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Fulham,,2,2
Sun,Y,87.7,1,1,3,2023-09-03,1,Matchweek 4,0.2,2,CM,3,0,0,Premier League,1,,0,0,73,0,64,Home,58,90,W 3–1,0,83,5,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Manchester Utd,,0,2
Sun,Y,93.4,3,0,2,2023-09-17,0,Matchweek 5,0.1,1,CM,0,3,0,Premier League,0,,0,0,91,0,85,Away,69,90,W 1–0,0,97,14,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Everton,,3,3
Sun,Y,93.3,0,0,0,2023-09-24,0,Matchweek 6,0.1,2,CM,1,0,0,Premier League,1,,0,0,15,0,14,Home,9,45,D 2–2,0,21,0,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Tottenham,,0,0
Sat,Y,95.1,0,0,2,2023-09-30,0,Matchweek 7,0.0,0,CM,4,0,0,Premier League,4,,0,0,61,0,58,Away,42,80,W 4–0,0,73,3,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Bournemouth,,1,1
Sun,Y,90.0,1,0,1,2023-10-08,0,Matchweek 8,0.0,0,LM,2,0,0,Premier League,3,,0,0,40,0,36,Home,31,90,W 1–0,0,54,3,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Manchester City,,4,3
Sat,Y,86.8,2,1,2,2023-10-21,1,Matchweek 9,0.1,1,"LM,CM",1,1,0,Premier League,3,,0,0,53,0,46,Away,32,90,D 2–2,0,60,7,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Chelsea,,2,0
Sat,Y,93.1,0,0,0,2023-10-28,0,Matchweek 10,0.1,1,CM,1,0,0,Premier League,2,,0,0,72,0,67,Home,61,88,W 5–0,1,79,8,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.8,Sheffield Utd,,0,1
Sat,Y,87.9,2,0,3,2023-11-04,0,Matchweek 11,0.1,2,"LM,CM",2,2,0,Premier League,0,,0,0,58,0,51,Away,49,90,L 0–1,0,69,13,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Newcastle Utd,,6,1
Sat,Y,84.6,1,0,0,2023-11-11,0,Matchweek 12,0.0,1,"LM,CM",0,0,0,Premier League,1,,0,0,39,0,33,Home,26,90,W 3–1,0,45,6,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Burnley,,2,1
Sat,Y,89.0,0,0,1,2023-11-25,0,Matchweek 13,0.0,1,CM,2,0,0,Premier League,0,,0,0,73,0,65,Away,52,90,W 1–0,0,81,5,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Brentford,,2,1
Sat,Y,90.5,0,0,1,2023-12-02,0,Matchweek 14,0.2,3,"CM,RM",0,0,0,Premier League,2,,0,0,84,0,76,Home,61,90,W 2–1,0,97,12,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Wolves,,0,5
Tue,Y,91.1,2,1,3,2023-12-05,1,Matchweek 15,0.2,3,CM,0,0,0,Premier League,2,,0,0,79,0,72,Away,53,90,W 4–3,0,90,8,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Luton Town,,1,1
Sat,Y,89.6,1,0,3,2023-12-09,0,Matchweek 16,0.1,1,CM,0,1,0,Premier League,5,,1,0,77,0,69,Away,52,90,L 0–1,0,89,12,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Aston Villa,,3,1
Sun,Y,91.5,2,1,4,2023-12-17,0,Matchweek 17,0.1,2,CM,0,1,0,Premier League,2,,0,0,59,0,54,Home,50,90,W 2–0,0,67,9,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Brighton,,5,3
Sat,Y,86.5,1,0,0,2023-12-23,0,Matchweek 18,0.0,1,CM,0,1,0,Premier League,2,,1,0,74,0,64,Away,43,90,D 1–1,0,88,7,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Liverpool,,2,2
Thu,Y,92.6,1,0,6,2023-12-28,0,Matchweek 19,0.1,2,"CM,DM",1,1,0,Premier League,4,,0,0,108,0,100,Home,101,90,L 0–2,0,118,29,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,West Ham,,4,1
Sun,Y,92.4,3,0,4,2023-12-31,0,Matchweek 20,0.0,1,CM,3,3,0,Premier League,1,,0,0,105,0,97,Away,91,90,L 1–2,0,114,23,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Fulham,,2,0
Sat,Y,90.2,0,1,1,2024-01-20,0,Matchweek 21,0.0,1,CM,0,0,0,Premier League,1,,0,0,61,0,55,Home,50,72,W 5–0,1,66,2,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Crystal Palace,,1,1
Tue,Y,85.7,0,0,2,2024-01-30,0,Matchweek 22,0.0,0,CM,1,0,0,Premier League,4,,0,0,84,0,72,Away,52,90,W 2–1,0,92,9,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Nott'ham Forest,,2,0
Sun,Y,82.1,0,0,2,2024-02-04,0,Matchweek 23,0.0,1,CM,1,0,0,Premier League,4,,1,0,56,0,46,Home,35,90,W 3–1,0,67,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.3,Liverpool,,3,2
Sun,Y,92.1,0,1,2,2024-02-11,1,Matchweek 24,0.0,1,CM,1,0,0,Premier League,0,,0,0,76,0,70,Away,55,66,W 6–0,2,82,8,3,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.7,West Ham,,8,1
Sat,Y,89.3,0,0,1,2024-02-17,0,Matchweek 25,0.0,1,CM,2,0,0,Premier League,1,,0,0,56,0,50,Away,49,78,W 5–0,0,62,8,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Burnley,,2,0
Sat,Y,87.5,2,1,4,2024-02-24,0,Matchweek 26,0.1,1,LM,1,0,0,Premier League,0,,0,0,56,0,49,Home,25,90,W 4–1,1,63,6,2,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Newcastle Utd,,5,1
Mon,Y,84.0,1,3,3,2024-03-04,1,Matchweek 27,0.4,5,LM,1,0,0,Premier League,2,,0,0,50,0,42,Away,31,73,W 6–0,0,62,4,0,0.4,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Sheffield Utd,,4,0
Sat,Y,72.3,2,1,2,2024-03-09,1,Matchweek 28,0.1,3,"LM,CM",1,1,0,Premier League,1,,0,0,47,0,34,Home,31,90,W 2–1,0,60,5,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Brentford,,3,0
Sun,Y,73.5,1,0,0,2024-03-31,0,Matchweek 30,0.0,0,LM,0,1,0,Premier League,3,,0,0,34,0,25,Away,27,90,D 0–0,0,43,3,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Manchester City,,1,0
Wed,N,87.5,0,0,0,2024-04-03,0,Matchweek 31,0.0,0,CM,0,0,0,Premier League,1,,0,0,16,0,14,Home,12,24,W 2–0,0,17,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Luton Town,,0,1
Sat,Y,94.1,4,0,1,2024-04-06,0,Matchweek 32,0.0,1,LM,1,2,0,Premier League,2,,0,0,34,0,32,Away,18,90,W 3–0,0,49,5,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Brighton,,5,1
Sun,Y,88.5,0,0,0,2024-04-14,0,Matchweek 33,0.0,2,"CM,LM",1,0,0,Premier League,3,,0,0,61,0,54,Home,42,90,L 0–2,0,70,7,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Aston Villa,,1,0
Sat,Y,90.2,3,2,5,2024-04-20,0,Matchweek 34,0.2,4,"CM,LM",0,1,0,Premier League,4,,1,0,61,0,55,Away,48,90,W 2–0,0,68,12,1,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Wolves,,10,0
Tue,Y,86.8,3,1,5,2024-04-23,0,Matchweek 29,0.2,3,LM,0,1,0,Premier League,5,,0,0,38,0,33,Home,23,90,W 5–0,1,53,2,2,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Chelsea,,5,2
Sun,Y,76.2,1,0,0,2024-04-28,0,Matchweek 35,0.0,1,"LM,CM",1,0,0,Premier League,5,,0,0,42,0,32,Away,22,90,W 3–2,1,54,2,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.4,Tottenham,,2,2
Sat,Y,86.5,3,1,5,2024-05-04,1,Matchweek 36,0.3,3,LM,1,2,0,Premier League,1,,0,0,52,0,45,Home,40,90,W 3–0,1,61,6,1,0.3,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Bournemouth,,4,2
Sun,Y,90.6,1,1,0,2024-05-12,0,Matchweek 37,0.1,2,"LM,CM",2,0,0,Premier League,2,,0,0,32,0,29,Away,25,90,W 1–0,0,42,5,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Manchester Utd,,1,0
Sun,Y,83.6,1,1,4,2024-05-19,0,Matchweek 38,0.2,2,"LM,CM",0,0,0,Premier League,2,,1,0,55,0,46,Home,38,90,W 2–1,0,65,8,0,0.2,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.3,Everton,,3,1
