dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-08-13,Liverpool,,,
Sun,N,,,,,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-08-20,West Ham,,,
Fri,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-08-25,Luton Town,,,
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-09-02,Nott'ham Forest,,,
Sun,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-09-24,Aston Villa,,,
Mon,Y,89.7,0,0,0,0,Matchweek 7,0.0,0,RB,1,0,0,Premier League,2,,0.0,1,0,58,0,52,Away,43,90,W 2–0,0,70,2,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-10-02,Fulham,,0,1
Sat,Y,89.4,3,0,0,0,Matchweek 8,0.0,0,RB,1,0,0,Premier League,4,,0.0,1,0,94,0,84,Away,48,90,W 4–1,0,105,3,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-10-07,Burnley,,1,3
Sat,Y,78.8,0,0,3,0,Matchweek 9,0.0,0,LB,1,0,0,Premier League,5,,0.0,1,0,52,0,41,Home,31,90,D 2–2,0,63,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-10-21,Arsenal,,0,0
Sat,Y,91.3,0,1,2,0,Matchweek 10,0.6,2,LB,2,0,0,Premier League,2,,0.0,0,0,80,0,73,Home,47,80,L 0–2,0,96,7,0,0.6,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-10-28,Brentford,,1,2
Mon,N,85.0,1,1,3,0,Matchweek 11,0.2,1,LB,0,1,0,Premier League,3,,0.0,0,0,40,0,34,Away,26,45,W 4–1,0,44,3,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-11-06,Tottenham,,3,0
Sun,Y,86.0,0,0,1,0,Matchweek 12,0.0,0,LB,3,0,0,Premier League,4,,0.0,1,0,43,0,37,Home,20,90,D 4–4,0,56,3,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-11-12,Manchester City,,1,1
Sat,Y,78.4,0,0,1,0,Matchweek 13,0.0,0,"LB,RB",2,0,0,Premier League,2,,0.0,1,0,37,0,29,Away,14,90,L 1–4,0,46,2,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-11-25,Newcastle Utd,,1,3
Wed,Y,93.1,0,0,1,0,Matchweek 15,0.0,0,RB,5,0,0,Premier League,2,,0.0,0,0,29,0,27,Away,20,45,L 1–2,0,39,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-06,Manchester Utd,,2,1
Sun,Y,85.1,2,1,5,0,Matchweek 16,0.0,1,"RB,LB",2,1,0,Premier League,3,,0.0,0,0,74,0,63,Away,39,83,L 0–2,0,87,6,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-10,Everton,,3,1
Sat,N,,,,,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-03-02,Brentford,,,
