dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-09-02,Brentford,,,
Sun,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 0–0,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-09-17,Chelsea,,,
Sun,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-09-24,Brighton,,,
Sat,N,81.8,1,0,0,0,Matchweek 7,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,11,0,9,Home,6,8,L 0–4,0,12,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-09-30,Arsenal,,0,0
Sat,Y,83.3,0,0,1,0,Matchweek 8,0.0,0,RB,1,0,0,Premier League,0,,0.0,0,0,48,0,40,Away,27,85,L 0–3,0,55,8,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-10-07,Everton,,1,0
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-10-21,Wolves,,,
Sat,N,100.0,0,0,0,0,Matchweek 10,0.0,0,RB,0,0,0,Premier League,0,,0.0,0,0,1,0,1,Home,0,6,W 2–1,0,2,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-10-28,Burnley,,0,0
Sat,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–6,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-11-04,Manchester City,,,
Sat,N,62.5,0,0,0,0,Matchweek 12,0.0,0,RB,0,0,0,Premier League,1,,0.0,0,0,8,0,5,Home,3,23,W 2–0,0,10,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-11-11,Newcastle Utd,,0,0
Sat,Y,71.4,0,0,2,0,Matchweek 13,0.0,0,RB,2,0,0,Premier League,2,,0.4,0,0,63,0,45,Away,30,90,W 3–1,1,70,7,2,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",2023-11-25,Sheffield Utd,,3,0
