dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,64.3,2,0,1,2023-08-12,0,Matchweek 1,0.0,1,LM,0,1,0,Premier League,3,,1,0,14,0,9,Away,8,71,L 1–2,0,23,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,1,0
Sat,Y,62.9,3,0,1,2023-08-26,0,Matchweek 3,0.0,0,WB,1,2,0,Premier League,3,,1,0,35,0,22,Away,16,90,L 2–3,0,43,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester Utd,,1,2
Sat,Y,45.5,3,0,1,2023-09-02,0,Matchweek 4,0.0,0,WB,1,0,0,Premier League,1,,1,0,11,0,5,Away,11,72,W 1–0,0,22,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Chelsea,,1,0
Mon,Y,75.5,2,0,4,2023-09-18,0,Matchweek 5,0.0,1,"LB,RB",0,1,0,Premier League,3,,0,0,49,0,37,Home,30,90,D 1–1,0,61,6,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Burnley,,4,0
Sat,Y,75.0,1,0,2,2023-09-23,0,Matchweek 6,0.0,0,"RB,LB",0,1,0,Premier League,2,,0,0,32,0,24,Away,20,74,L 0–2,0,37,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,0,1
Sat,N,71.4,0,0,1,2023-10-21,0,Matchweek 9,0.0,0,RB,1,0,0,Premier League,0,,0,0,7,0,5,Home,4,3,D 2–2,0,9,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Luton Town,,0,0
Sun,Y,56.3,1,0,1,2023-10-29,0,Matchweek 10,0.0,0,LB,1,0,0,Premier League,1,,0,0,16,0,9,Away,11,68,L 0–3,0,27,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Liverpool,,0,0
Sun,Y,66.7,1,1,1,2023-11-05,1,Matchweek 11,0.0,1,"RB,LB",1,1,0,Premier League,3,,0,0,27,0,18,Home,21,85,W 2–0,0,40,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Aston Villa,,1,0
Sun,Y,82.5,1,0,2,2023-11-12,0,Matchweek 12,0.0,0,RB,3,0,0,Premier League,1,,0,0,40,0,33,Away,27,75,L 2–3,1,49,2,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,West Ham,,2,0
Sat,Y,76.9,0,0,5,2023-11-25,0,Matchweek 13,0.0,1,RB,0,0,0,Premier League,1,,0,0,52,0,40,Home,29,89,L 2–3,0,59,5,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,3,2
Sat,N,,,,,2023-12-02,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Everton,,,
Wed,Y,86.7,2,0,3,2023-12-06,0,Matchweek 15,0.0,0,RB,0,0,0,Premier League,1,,0,0,45,0,39,Away,34,90,L 0–5,0,57,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Fulham,,1,1
Sat,N,,,,,2023-12-09,,Matchweek 16,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Wolves,,,
Fri,N,,,,,2023-12-15,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Tottenham,,,
