dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,84.6,3,1,0,2023-08-12,0,Matchweek 1,0.0,1,AM,2,1,0,Premier League,3,0,0,26,0,22,Home,23,66,D 1–1,0,37,5,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,West Ham,,1,0
Sat,Y,66.7,0,0,1,2023-08-19,0,Matchweek 2,0.0,0,DM,2,0,0,Premier League,1,0,0,15,0,10,Away,8,62,L 1–3,0,23,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Liverpool,,1,2
Sat,Y,74.1,1,1,2,2023-08-26,0,Matchweek 3,0.0,1,DM,1,0,0,Premier League,1,0,0,27,0,20,Home,17,59,L 0–2,0,34,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Tottenham,,1,2
Sat,Y,80.0,5,1,2,2023-09-02,0,Matchweek 4,0.1,3,DM,1,4,0,Premier League,0,0,0,30,0,24,Away,26,86,D 2–2,0,39,2,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.4,Brentford,,4,0
Sun,Y,83.3,2,0,3,2023-09-17,0,Matchweek 5,0.0,1,AM,1,2,0,Premier League,1,0,0,30,0,25,Home,27,88,D 0–0,0,39,5,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Chelsea,,4,1
Sun,Y,82.8,0,0,4,2023-09-24,0,Matchweek 6,0.1,1,AM,1,0,0,Premier League,1,0,0,29,0,24,Away,26,81,L 1–3,1,38,5,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Brighton,,1,0
Sat,Y,66.7,4,1,2,2023-09-30,0,Matchweek 7,0.1,1,"DM,AM",2,2,0,Premier League,2,0,0,33,0,22,Home,26,82,L 0–4,0,41,2,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Arsenal,,3,1
Sat,Y,79.2,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,DM,3,0,0,Premier League,1,0,0,24,0,19,Away,18,45,L 0–3,0,30,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Everton,,1,1
Sat,N,62.5,1,1,0,2023-10-21,0,Matchweek 9,0.0,1,RW,0,1,0,Premier League,1,0,0,8,0,5,Home,7,34,L 1–2,0,13,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Wolves,,0,0
Sat,Y,69.2,1,0,3,2023-10-28,0,Matchweek 10,0.0,0,AM,1,0,0,Premier League,2,0,0,26,0,18,Home,19,90,W 2–1,0,37,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Burnley,,6,0
Sat,Y,77.8,1,0,4,2023-11-04,0,Matchweek 11,0.0,0,RM,0,0,0,Premier League,2,0,0,36,0,28,Away,28,90,L 1–6,0,48,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Manchester City,,1,2
Sat,Y,76.3,4,2,1,2023-11-11,0,Matchweek 12,0.1,2,DM,1,1,0,Premier League,4,0,0,38,0,29,Home,22,90,W 2–0,0,53,1,1,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.5,Newcastle Utd,,6,1
Sat,Y,78.0,0,1,1,2023-11-25,0,Matchweek 13,0.1,1,DM,3,0,0,Premier League,4,0,0,50,0,39,Away,27,90,W 3–1,0,63,7,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Sheffield Utd,,1,0
Sun,Y,81.6,4,1,3,2023-12-03,0,Matchweek 14,0.2,3,DM,0,4,0,Premier League,6,1,0,38,0,31,Home,26,90,D 2–2,1,54,9,1,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.8,Aston Villa,,6,2
Wed,Y,66.0,5,0,0,2023-12-06,0,Matchweek 15,0.0,0,DM,0,3,0,Premier League,6,0,0,47,0,31,Away,31,90,W 2–0,0,61,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Crystal Palace,,4,3
Sat,Y,89.7,5,0,2,2023-12-09,0,Matchweek 16,0.0,0,DM,3,2,0,Premier League,4,0,0,29,0,26,Away,21,90,W 3–0,0,44,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Manchester Utd,,0,2
Sat,Y,75.5,6,0,5,2023-12-23,0,Matchweek 18,0.0,0,DM,0,3,0,Premier League,1,1,0,49,0,37,Away,41,90,W 3–2,0,58,8,1,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Nott'ham Forest,,2,1
Tue,Y,75.0,2,0,1,2023-12-26,0,Matchweek 19,0.0,1,DM,1,1,0,Premier League,3,0,0,44,0,33,Home,36,90,W 3–0,0,53,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Fulham,,4,2
Sun,Y,90.9,1,0,1,2023-12-31,0,Matchweek 20,0.0,0,DM,1,0,0,Premier League,0,0,0,33,0,30,Away,23,68,L 1–3,0,40,5,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Tottenham,,5,1
Sun,Y,71.7,6,1,0,2024-01-21,0,Matchweek 21,0.1,2,DM,0,2,0,Premier League,1,0,0,53,0,38,Home,32,90,L 0–4,0,67,6,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.6,Liverpool,,3,3
Thu,Y,71.7,3,0,3,2024-02-01,0,Matchweek 22,0.0,1,DM,2,3,0,Premier League,4,1,0,53,0,38,Away,37,90,D 1–1,0,72,6,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,West Ham,,3,4
Sun,Y,57.9,4,0,0,2024-02-04,0,Matchweek 23,0.0,1,DM,0,2,0,Premier League,1,0,0,19,0,11,Home,14,55,D 1–1,0,26,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Nott'ham Forest,,1,1
Sat,Y,73.1,4,0,1,2024-02-10,0,Matchweek 24,0.1,4,DM,1,0,0,Premier League,2,0,0,52,0,38,Away,28,90,L 1–3,0,69,7,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Fulham,,5,3
Sat,Y,73.5,3,0,1,2024-02-17,0,Matchweek 25,0.0,0,DM,1,2,0,Premier League,2,1,0,34,0,25,Away,22,89,D 2–2,0,41,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Newcastle Utd,,4,0
Sat,Y,73.2,1,1,1,2024-02-24,0,Matchweek 26,0.1,1,"DM,RW",1,1,0,Premier League,3,0,0,41,0,30,Home,30,87,L 0–1,0,50,6,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Manchester City,,4,1
Sun,Y,20.0,0,0,1,2024-03-03,0,Matchweek 27,0.0,0,DM,1,0,0,Premier League,2,0,0,5,0,1,Away,4,45,W 2–0,0,15,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Burnley,,1,1
Sat,Y,78.7,1,1,4,2024-03-09,0,Matchweek 28,0.2,4,DM,0,0,0,Premier League,1,0,0,61,0,48,Home,52,73,D 2–2,1,73,10,1,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.6,Sheffield Utd,,7,1
Wed,Y,71.2,6,0,4,2024-03-13,0,Matchweek 17,0.1,3,DM,2,3,0,Premier League,4,0,0,59,0,42,Home,46,89,W 4–3,1,80,9,1,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Luton Town,,6,2
Tue,Y,88.1,1,0,1,2024-04-02,0,Matchweek 31,0.0,1,"RM,DM",3,0,0,Premier League,2,0,0,42,0,37,Home,31,90,W 1–0,0,55,8,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Crystal Palace,,2,3
