dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-13,Brentford,,,
Sat,Y,82.7,1,0,3,0,Matchweek 2,0.1,1,RB,2,1,0,Premier League,1,,0.1,0,0,52,0,43,Home,23,87,W 2–0,0,62,2,1,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-19,Manchester Utd,,3,1
Sat,Y,88.5,0,0,2,0,Matchweek 3,0.1,3,RB,2,0,0,Premier League,3,,0.0,0,0,61,0,54,Away,46,90,W 2–0,0,81,0,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-26,Bournemouth,,2,0
Sat,Y,82.0,3,0,2,0,Matchweek 4,0.2,3,"RB,RW",2,1,0,Premier League,2,,0.9,0,0,50,0,41,Away,41,90,W 5–2,1,66,7,1,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-02,Burnley,,3,2
Sat,Y,84.8,1,0,1,0,Matchweek 5,0.0,1,RB,3,1,0,Premier League,2,,0.2,0,0,66,0,56,Home,39,89,W 2–1,0,74,13,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-16,Sheffield Utd,,7,0
Sun,Y,67.9,1,0,0,0,Matchweek 6,0.0,0,RB,2,1,0,Premier League,5,,0.0,0,0,56,0,38,Away,25,90,D 2–2,0,65,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-24,Arsenal,,1,1
Sat,Y,79.7,2,0,1,0,Matchweek 7,0.0,1,RB,6,1,0,Premier League,6,,0.1,1,0,74,0,59,Home,38,90,W 2–1,0,92,6,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-30,Liverpool,,3,1
Sat,Y,80.5,2,0,1,0,Matchweek 8,0.4,2,RB,4,0,0,Premier League,2,,0.0,0,0,77,0,62,Away,45,90,W 1–0,0,96,6,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-07,Luton Town,,1,1
Mon,Y,83.3,2,0,0,0,Matchweek 9,0.0,1,RB,2,1,0,Premier League,4,,0.0,0,0,60,0,50,Home,40,90,W 2–0,0,70,6,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-23,Fulham,,1,0
Fri,Y,83.1,1,0,2,0,Matchweek 10,0.0,1,RB,0,0,0,Premier League,6,,0.0,0,0,89,0,74,Away,54,90,W 2–1,0,105,7,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-27,Crystal Palace,,1,0
Mon,Y,70.7,3,1,0,0,Matchweek 11,0.0,1,RB,3,1,0,Premier League,4,,0.5,0,0,41,0,29,Home,9,90,L 1–4,0,57,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-06,Chelsea,,1,0
Sat,Y,71.8,3,0,0,0,Matchweek 12,0.0,0,RB,1,2,0,Premier League,4,,0.4,0,0,78,0,56,Away,61,90,L 1–2,1,93,7,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-11,Wolves,,2,1
Sun,Y,77.5,1,1,0,0,Matchweek 13,0.2,3,RB,1,0,0,Premier League,1,,0.7,0,0,80,0,62,Home,38,90,L 1–2,1,91,6,1,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-26,Aston Villa,,7,1
Sun,Y,75.5,2,0,1,0,Matchweek 14,0.1,1,RB,3,0,0,Premier League,2,,0.0,1,0,49,0,37,Away,28,90,D 3–3,0,63,2,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-03,Manchester City,,1,0
Thu,Y,71.9,3,1,2,0,Matchweek 15,0.2,5,RB,1,2,0,Premier League,1,,0.6,1,0,89,0,64,Home,64,90,L 1–2,1,101,10,1,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-07,West Ham,,13,1
Sun,Y,74.6,2,1,4,0,Matchweek 16,0.1,3,RB,3,1,0,Premier League,3,,0.4,0,0,67,0,50,Home,38,90,W 4–1,1,78,6,3,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-10,Newcastle Utd,,7,1
Fri,Y,81.1,0,0,1,0,Matchweek 17,0.4,2,RB,1,0,0,Premier League,2,,0.4,0,0,90,0,73,Away,47,90,W 2–0,0,102,10,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-15,Nott'ham Forest,,4,3
Sat,Y,70.0,3,0,2,0,Matchweek 18,0.1,2,RB,1,3,0,Premier League,3,,0.0,0,0,60,0,42,Home,29,90,W 2–1,0,72,2,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-23,Everton,,2,1
Thu,Y,75.6,0,0,0,0,Matchweek 19,0.1,2,RB,3,0,0,Premier League,2,,0.9,0,0,78,0,59,Away,29,90,L 2–4,1,89,6,1,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-28,Brighton,,4,2
Sun,Y,58.2,3,0,3,0,Matchweek 20,0.0,1,RB,3,1,0,Premier League,4,,0.1,0,0,55,0,32,Home,21,90,W 3–1,0,73,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-31,Bournemouth,,1,2
