dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,88.6,0,0,1,2023-08-12,0,Matchweek 1,0.0,0,CB,0,0,0,Premier League,0,,0,0,70,0,62,Away,59,90,W 1–0,0,76,5,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Everton,,0,0
Sat,Y*,92.2,0,0,2,2023-08-19,0,Matchweek 2,0.0,0,CB,1,0,0,Premier League,0,,2,0,51,1,47,Home,37,63,L 0–3,0,58,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brentford,,0,1
Sat,Y,83.3,1,1,0,2023-09-02,1,Matchweek 4,1.0,1,CB,0,1,0,Premier League,1,,0,0,54,0,45,Away,32,90,L 1–5,0,62,4,0,1.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Manchester City,,0,3
Sat,Y*,94.6,1,0,3,2023-09-16,0,Matchweek 5,0.0,0,CB,0,0,0,Premier League,3,,0,0,148,0,140,Home,115,90,W 1–0,0,155,13,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Luton Town,,1,0
Sat,Y*,86.4,0,0,4,2023-09-23,0,Matchweek 6,0.0,0,CB,0,0,0,Premier League,3,,1,0,59,0,51,Away,39,90,D 0–0,0,71,8,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Crystal Palace,,0,0
Mon,Y*,89.9,0,0,0,2023-10-02,0,Matchweek 7,0.0,0,CB,1,0,0,Premier League,1,,0,0,79,0,71,Home,52,90,L 0–2,0,85,3,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Chelsea,,1,1
Sat,Y*,80.7,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,CB,2,0,0,Premier League,6,,0,0,57,0,46,Home,37,90,W 3–1,0,69,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Sheffield Utd,,1,1
Mon,Y*,98.2,1,0,0,2023-10-23,0,Matchweek 9,0.0,0,CB,4,1,0,Premier League,0,,0,0,56,0,55,Away,43,90,L 0–2,0,63,7,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Tottenham,,0,1
Sun,Y*,85.7,0,0,0,2023-10-29,0,Matchweek 10,0.0,0,CB,1,0,0,Premier League,0,,0,0,28,0,24,Away,18,90,D 1–1,0,39,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brighton,,0,6
Sat,Y*,68.8,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,CB,0,0,0,Premier League,0,,0,0,48,0,33,Home,24,90,L 0–1,0,58,6,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Manchester Utd,,1,2
