dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,78.6,0,0,0,2023-08-26,0,Matchweek 3,0.0,1,"DM,CM",1,0,0,Premier League,2,0,0,28,0,22,Home,13,45,L 0–2,0,35,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Tottenham,,0,3
Sat,Y,75.0,0,0,0,2023-09-02,0,Matchweek 4,0.0,0,"DM,CM",0,0,0,Premier League,3,0,0,48,0,36,Away,22,90,D 2–2,0,54,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Brentford,,2,0
Sun,Y,81.1,2,1,0,2023-09-17,0,Matchweek 5,0.0,1,DM,0,2,0,Premier League,3,0,0,37,0,30,Home,24,90,D 0–0,0,49,4,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Chelsea,,2,5
Sun,Y,88.7,1,0,0,2023-09-24,0,Matchweek 6,0.0,0,DM,1,1,0,Premier League,0,0,0,53,0,47,Away,41,90,L 1–3,0,56,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Brighton,,2,0
Sat,Y,88.5,4,0,1,2023-09-30,0,Matchweek 7,0.0,0,DM,0,1,0,Premier League,0,0,0,52,0,46,Home,35,90,L 0–4,0,58,6,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Arsenal,,0,4
Sat,Y,85.4,0,0,1,2023-10-07,0,Matchweek 8,0.0,0,DM,2,0,0,Premier League,1,0,0,48,0,41,Away,30,65,L 0–3,0,55,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Everton,,3,2
Sat,Y,76.9,0,0,1,2023-10-21,0,Matchweek 9,0.0,0,DM,1,0,0,Premier League,2,0,0,26,1,20,Home,16,53,L 1–2,0,32,2,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Wolves,,1,2
Sat,Y,64.6,2,0,0,2023-11-11,0,Matchweek 12,0.0,0,DM,0,1,0,Premier League,3,1,0,48,0,31,Home,22,90,W 2–0,0,58,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Newcastle Utd,,2,3
Sat,Y,76.5,1,0,1,2023-11-25,0,Matchweek 13,0.0,0,DM,1,1,0,Premier League,3,0,0,51,0,39,Away,22,90,W 3–1,0,61,5,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Sheffield Utd,,2,2
Sun,Y,80.5,1,0,0,2023-12-03,0,Matchweek 14,0.0,0,DM,1,1,0,Premier League,0,0,0,41,0,33,Home,12,90,D 2–2,0,48,6,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Aston Villa,,5,1
