dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,68.3,0,0,1,2023-08-13,0,Matchweek 1,0.0,0,LB,2,0,0,Premier League,2,,0,0,60,0,41,Away,35,90,D 1–1,0,74,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Chelsea,,2,2
Sat,Y,85.5,1,0,4,2023-08-19,0,Matchweek 2,0.0,0,LB,0,0,0,Premier League,3,,0,0,83,0,71,Home,50,90,W 3–1,0,90,8,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Bournemouth,,3,1
Sun,Y,75.4,2,0,0,2023-08-27,0,Matchweek 3,0.0,0,LB,1,0,0,Premier League,1,,0,0,57,0,43,Away,21,90,W 2–1,0,66,3,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Newcastle Utd,,1,0
Sun,Y,90.2,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,LB,0,0,0,Premier League,2,,0,0,112,0,101,Home,95,90,W 3–0,0,119,8,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Aston Villa,,3,1
Sat,Y*,88.3,0,1,3,2023-09-16,1,Matchweek 5,0.4,1,LB,0,0,0,Premier League,2,,0,0,94,0,83,Away,48,90,W 3–1,0,101,10,1,0.4,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.2,Wolves,,3,2
Sun,Y,80.0,0,0,6,2023-09-24,0,Matchweek 6,0.0,0,LB,2,0,0,Premier League,0,,0,0,85,0,68,Home,52,90,W 3–1,0,91,8,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.4,West Ham,,7,0
Sat,Y,80.4,1,1,5,2023-09-30,0,Matchweek 7,0.0,1,"LB,WB",0,1,0,Premier League,1,,1,0,51,0,41,Away,34,90,L 1–2,0,59,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.2,Tottenham,,5,1
Sun,Y,82.2,0,0,0,2023-10-08,0,Matchweek 8,0.0,0,LB,1,0,0,Premier League,4,,0,0,45,0,37,Away,25,90,D 2–2,0,51,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Brighton,,3,1
Wed,N,68.4,0,0,1,2024-01-31,0,Matchweek 22,0.0,0,LB,0,0,0,Premier League,1,,0,0,19,0,13,Home,10,22,W 4–1,0,20,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Chelsea,,1,0
Sun,N,76.9,0,0,0,2024-02-04,0,Matchweek 23,0.0,0,LB,1,0,0,Premier League,0,,0,0,26,0,20,Away,18,33,L 1–3,0,29,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Arsenal,,0,0
Sat,Y,81.4,2,0,5,2024-02-10,0,Matchweek 24,0.1,1,LB,1,0,0,Premier League,2,,0,0,86,0,70,Home,61,89,W 3–1,0,99,5,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.4,Burnley,,7,0
Sat,Y,81.6,1,0,4,2024-02-17,0,Matchweek 25,0.0,0,LB,0,1,0,Premier League,4,,0,0,87,0,71,Away,59,90,W 4–1,0,94,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Brentford,,2,1
Wed,N,85.7,1,0,0,2024-02-21,0,Matchweek 26,0.0,0,LB,0,1,0,Premier League,1,,0,0,21,0,18,Home,9,23,W 4–1,1,24,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.5,Luton Town,,1,0
Sat,Y,80.6,0,0,2,2024-03-02,0,Matchweek 27,0.2,1,LB,2,0,0,Premier League,2,,1,0,72,0,58,Away,40,59,W 1–0,0,79,6,0,0.2,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Nott'ham Forest,,5,0
Sun,N,65.5,1,0,0,2024-03-10,0,Matchweek 28,0.0,0,LB,0,0,0,Premier League,1,,0,0,29,0,19,Home,15,30,D 1–1,0,33,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.4,Manchester City,,3,0
Thu,N,75.0,0,0,5,2024-04-04,0,Matchweek 31,0.0,1,LB,0,0,0,Premier League,0,,0,0,48,0,36,Home,32,31,W 3–1,1,50,9,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Sheffield Utd,,2,0
Sun,Y,71.0,2,0,7,2024-04-07,0,Matchweek 32,0.1,2,LB,0,1,0,Premier League,1,,0,0,69,0,49,Away,44,90,D 2–2,0,77,4,1,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.8,Manchester Utd,,8,0
Sun,Y,83.7,1,0,5,2024-04-14,0,Matchweek 33,0.0,0,LB,2,0,0,Premier League,1,,0,0,104,0,87,Home,79,90,L 0–1,0,116,11,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Crystal Palace,,7,1
