dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,30.0,2,1,1,2023-09-17,0,Matchweek 5,0.2,2,LW,0,1,0,Premier League,3,,0,0,10,0,3,Home,9,62,D 0–0,0,27,0,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Chelsea,,1,1
Sun,N,81.8,3,0,2,2023-09-24,0,Matchweek 6,0.1,1,"RW,LW",0,2,0,Premier League,0,,0,0,11,0,9,Away,10,28,L 1–3,0,15,1,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Brighton,,4,0
Sat,N,63.2,1,0,1,2023-09-30,0,Matchweek 7,0.1,1,RW,0,1,0,Premier League,2,,0,0,19,0,12,Home,15,32,L 0–4,0,22,1,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Arsenal,,1,0
Sat,Y,71.4,0,0,0,2023-10-07,0,Matchweek 8,0.0,1,LW,1,0,0,Premier League,1,,0,0,7,0,5,Away,6,56,L 0–3,0,18,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Everton,,1,0
Sat,N,66.7,1,0,0,2023-10-21,0,Matchweek 9,0.0,0,LW,1,1,0,Premier League,1,,0,0,9,0,6,Home,6,16,L 1–2,0,12,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Wolves,,2,0
Sat,N,50.0,0,0,0,2023-10-28,0,Matchweek 10,0.0,0,RW,1,0,0,Premier League,0,,1,0,4,0,2,Home,2,22,W 2–1,0,8,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Burnley,,0,1
Sat,N,,,,,2023-11-04,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–6,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Manchester City,,,
Sat,N,66.7,1,1,2,2023-11-11,0,Matchweek 12,0.2,1,LW,0,0,0,Premier League,1,,0,0,3,0,2,Home,4,10,W 2–0,0,6,0,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Newcastle Utd,,1,0
Sat,N,,,,,2023-11-25,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Sheffield Utd,,,
Sun,N,,0,0,0,2023-12-03,0,Matchweek 14,0.0,0,RW,0,0,0,Premier League,0,,0,0,0,0,0,Home,0,1,D 2–2,0,0,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Aston Villa,,0,0
Wed,N,28.6,0,0,0,2023-12-06,0,Matchweek 15,0.0,1,RW,1,0,0,Premier League,1,,1,0,7,0,2,Away,4,12,W 2–0,0,12,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Crystal Palace,,0,0
Sat,N,75.0,1,0,0,2023-12-09,0,Matchweek 16,0.0,0,LW,0,0,0,Premier League,0,,0,0,4,0,3,Away,1,3,W 3–0,0,6,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Manchester Utd,,0,0
Sat,Y,68.3,2,0,3,2023-12-23,0,Matchweek 18,0.3,2,LB,2,1,0,Premier League,7,,0,0,63,0,43,Away,33,81,W 3–2,0,78,2,0,0.3,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Nott'ham Forest,,4,0
Tue,Y,68.8,3,0,6,2023-12-26,0,Matchweek 19,0.2,2,LB,2,2,0,Premier League,3,,0,0,48,0,33,Home,38,90,W 3–0,0,63,2,1,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Fulham,,1,3
Sun,Y,76.0,1,0,2,2023-12-31,0,Matchweek 20,0.1,1,LB,0,0,0,Premier League,1,,0,0,25,0,19,Away,11,45,L 1–3,0,34,3,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Tottenham,,2,1
Sun,N,22.2,1,0,1,2024-02-04,0,Matchweek 23,0.0,0,LW,0,1,0,Premier League,2,,0,0,9,0,2,Home,5,20,D 1–1,0,12,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Nott'ham Forest,,0,1
Sat,N,72.7,1,0,0,2024-02-10,0,Matchweek 24,0.0,0,LW,0,1,0,Premier League,2,,0,0,11,0,8,Away,5,22,L 1–3,0,15,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Fulham,,2,0
Sat,N,50.0,0,0,2,2024-02-17,0,Matchweek 25,0.0,1,"RW,RM",0,0,0,Premier League,0,,0,0,8,0,4,Away,9,13,D 2–2,0,13,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Newcastle Utd,,0,1
Sat,N,66.7,2,0,3,2024-02-24,0,Matchweek 26,0.0,1,"RW,LB,LW",0,1,0,Premier League,1,,0,0,15,0,10,Home,9,23,L 0–1,0,21,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Manchester City,,2,0
Sun,N,100.0,1,0,0,2024-03-03,0,Matchweek 27,0.0,0,LB,0,0,0,Premier League,1,,0,0,1,0,1,Away,1,2,W 2–0,0,3,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Burnley,,0,0
Sat,N,73.5,3,1,7,2024-03-09,1,Matchweek 28,0.7,5,LB,1,3,0,Premier League,0,,0,0,49,0,36,Home,37,45,D 2–2,1,57,6,1,0.7,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.4,Sheffield Utd,,7,0
Wed,Y,74.2,2,0,3,2024-03-13,0,Matchweek 17,0.1,1,LB,1,1,0,Premier League,4,,0,0,66,0,49,Home,31,90,W 4–3,0,80,7,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Luton Town,,2,1
Sat,N,50.0,2,0,1,2024-03-30,0,Matchweek 30,0.0,0,LW,0,1,0,Premier League,1,,0,0,6,0,3,Home,6,17,W 2–1,0,11,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Everton,,0,0
Tue,Y,65.2,2,0,1,2024-04-02,0,Matchweek 31,0.0,0,"LW,LB",0,0,0,Premier League,0,,0,0,23,0,15,Home,16,62,W 1–0,0,29,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Crystal Palace,,1,1
Sat,N,66.7,1,0,3,2024-04-06,0,Matchweek 32,0.0,0,RW,1,0,0,Premier League,0,,0,0,12,0,8,Away,12,32,L 1–2,0,20,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Luton Town,,1,1
Sat,Y,61.5,1,0,0,2024-04-13,0,Matchweek 33,0.1,1,RW,3,1,0,Premier League,1,,0,0,26,0,16,Home,10,69,D 2–2,0,32,0,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Manchester Utd,,4,1
Sun,Y,63.6,2,1,3,2024-04-21,0,Matchweek 34,0.3,2,"RW,AM",0,0,0,Premier League,2,,0,0,22,0,14,Away,17,81,L 1–3,0,33,0,0,0.3,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Aston Villa,,1,1
Wed,N,33.3,0,0,0,2024-04-24,0,Matchweek 29,0.0,0,LW,0,0,0,Premier League,0,,0,0,3,0,1,Away,4,17,W 1–0,0,8,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Wolves,,0,1
Sun,Y,69.6,2,0,0,2024-04-28,0,Matchweek 35,0.0,0,LB,3,1,0,Premier League,2,,0,0,23,0,16,Home,9,90,W 3–0,1,37,2,1,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Brighton,,4,5
Sat,Y,72.1,4,0,1,2024-05-04,0,Matchweek 36,0.0,1,LB,1,1,0,Premier League,5,,0,0,43,0,31,Away,25,90,L 0–3,0,55,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Arsenal,,1,3
Sat,Y,52.4,3,1,4,2024-05-11,0,Matchweek 37,0.1,3,LW,0,1,0,Premier League,2,,1,0,21,0,11,Home,19,66,L 1–2,0,34,0,0,0.1,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Brentford,,0,0
Sun,N,70.0,5,2,1,2024-05-19,0,Matchweek 38,0.2,3,RW,0,1,0,Premier League,2,,0,0,10,0,7,Away,11,32,L 1–2,0,22,1,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Chelsea,,3,0
