dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,100.0,1,0,0,2023-09-30,0,Matchweek 7,0.0,0,FW,1,0,0,Premier League,1,,0,0,5,0,5,Away,3,12,L 0–2,0,9,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,West Ham,,1,0
Sat,N,50.0,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,FW,0,0,0,Premier League,0,,0,0,2,0,1,Away,4,12,L 1–3,0,4,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Fulham,,0,0
Sat,N,50.0,1,1,1,2023-10-21,0,Matchweek 9,0.0,1,FW,0,0,0,Premier League,0,,0,0,8,0,4,Home,6,39,L 1–2,0,12,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester Utd,,0,0
Sat,Y,71.4,1,0,0,2023-10-28,0,Matchweek 10,0.0,0,FW,0,0,0,Premier League,2,,0,0,7,0,5,Away,9,58,L 0–5,0,14,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Arsenal,,2,0
Sat,Y,58.3,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,FW,0,0,0,Premier League,1,,0,0,12,0,7,Home,11,44,W 2–1,0,15,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Wolves,,0,0
Tue,N,100.0,0,0,0,2023-12-26,0,Matchweek 19,0.0,0,LM,0,0,0,Premier League,0,,0,0,3,0,3,Home,1,5,L 2–3,0,4,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Luton Town,,1,0
Sat,N,66.7,0,0,0,2023-12-30,0,Matchweek 20,0.0,0,AM,0,0,0,Premier League,0,,0,0,6,0,4,Away,4,24,L 0–2,0,7,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester City,,0,0
Sun,N,100.0,0,0,0,2024-01-21,0,Matchweek 21,0.0,0,CM,0,0,0,Premier League,0,,0,0,1,1,1,Home,0,10,D 2–2,0,1,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,West Ham,,0,0
Sat,N,0.0,0,0,0,2024-02-10,0,Matchweek 24,0.0,1,FW,0,0,0,Premier League,1,,0,0,4,0,0,Away,3,10,W 3–1,0,6,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Luton Town,,0,0
Sun,N,100.0,0,0,0,2024-02-18,0,Matchweek 25,0.0,0,FW,0,0,0,Premier League,0,,0,0,4,0,4,Home,4,12,L 0–5,0,6,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brighton,,1,0
Sun,Y,81.8,2,2,0,2024-02-25,0,Matchweek 26,0.2,4,FW,1,0,0,Premier League,0,,0,0,11,0,9,Away,9,81,L 0–1,0,20,0,0,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Wolves,,1,0
Sat,N,,,,,2024-05-04,,Matchweek 36,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–3,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Nott'ham Forest,,,
Sat,N,40.0,0,0,0,2024-05-11,0,Matchweek 37,0.0,0,FW,0,0,0,Premier League,0,,0,0,5,0,2,Away,4,10,L 0–1,0,6,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Everton,,1,1
Sun,N,87.5,0,0,0,2024-05-19,0,Matchweek 38,0.1,1,FW,0,0,0,Premier League,0,,0,0,8,0,7,Home,4,29,L 0–3,0,9,1,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Tottenham,,0,0
