dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-03,Arsenal,,,
Sat,Y,78.3,6,0,2,0,Matchweek 5,0.0,0,LB,1,2,0,Premier League,2,,0.2,0,0,46,0,36,Home,30,84,L 1–3,0,55,4,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-16,Brighton,,1,0
Sat,Y,68.6,0,0,0,0,Matchweek 6,0.0,0,LB,1,0,0,Premier League,1,,0.0,1,0,35,0,24,Away,16,78,W 1–0,0,42,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-23,Burnley,,1,1
Sun,N,72.7,0,0,0,0,Matchweek 10,0.0,0,LB,1,0,0,Premier League,0,,0.0,0,0,11,0,8,Home,6,18,L 0–3,0,14,1,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-10-29,Manchester City,,0,0
Sat,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-04,Fulham,,,
Sat,Y,78.5,1,0,2,0,Matchweek 12,0.0,1,LB,0,0,0,Premier League,3,,0.2,0,0,79,0,62,Home,52,78,W 1–0,0,86,8,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-11,Luton Town,,3,1
Sun,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-26,Everton,,,
Sat,N,88.9,0,0,2,0,Matchweek 14,0.1,2,LB,1,0,0,Premier League,0,,0.0,0,0,9,0,8,Away,7,11,L 0–1,0,12,2,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-02,Newcastle Utd,,2,0
Wed,N,80.6,1,0,3,0,Matchweek 15,0.0,0,LB,2,0,0,Premier League,3,,0.3,1,0,31,0,25,Home,20,45,W 2–1,0,46,3,1,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-06,Chelsea,,3,2
Sat,Y,78.0,3,0,2,0,Matchweek 16,0.1,1,LB,2,1,0,Premier League,4,,0.1,1,0,82,0,64,Home,46,90,L 0–3,0,100,5,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-09,Bournemouth,,3,1
Sun,N,,,,,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-17,Liverpool,,,
Sat,N,60.0,0,0,0,0,Matchweek 18,0.0,0,LB,1,0,0,Premier League,0,,0.0,0,0,10,0,6,Away,4,7,L 0–2,0,11,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-23,West Ham,,0,0
Tue,N,,,,,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-26,Aston Villa,,,
Sat,N,100.0,0,0,0,0,Matchweek 20,0.0,0,LB,1,0,0,Premier League,0,,0.1,0,0,11,0,11,Away,3,1,L 1–2,0,12,4,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-30,Nott'ham Forest,,2,0
Sat,N,66.7,2,0,1,0,Matchweek 21,0.0,1,WB,2,0,0,Premier League,0,,0.0,0,0,12,0,8,Home,7,17,W 3–2,0,19,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-01-20,Nott'ham Forest,,0,0
Mon,Y,56.7,3,0,2,0,Matchweek 23,0.1,1,WB,2,2,0,Premier League,4,,0.0,0,0,30,0,17,Home,18,78,L 1–3,0,44,1,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-02-05,Manchester City,,1,3
Sat,Y,65.4,1,0,3,0,Matchweek 24,0.0,0,WB,1,0,0,Premier League,6,,0.8,0,0,26,0,17,Away,17,90,W 2–0,1,37,1,1,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-02-10,Wolves,,2,1
Sat,Y,67.6,1,1,1,0,Matchweek 25,0.1,1,WB,2,1,0,Premier League,2,,0.0,1,0,37,0,25,Home,17,84,L 1–4,0,45,2,1,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-02-17,Liverpool,,3,1
Tue,Y,62.5,0,0,1,0,Matchweek 18,0.0,1,WB,2,0,0,Premier League,2,,0.1,0,0,32,0,20,Away,18,77,L 0–1,0,44,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-02-20,Manchester City,,2,0
Mon,Y,50.0,2,0,1,0,Matchweek 26,0.0,1,WB,0,0,0,Premier League,7,,0.1,1,0,26,0,13,Away,13,72,L 2–4,0,43,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-02-26,West Ham,,1,0
Sat,Y,63.3,2,0,0,0,Matchweek 27,0.3,3,WB,3,0,0,Premier League,3,,0.1,0,0,30,0,19,Home,18,90,D 2–2,0,51,0,1,0.3,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-03-02,Chelsea,,2,2
Sat,Y,,0,0,0,0,Matchweek 29,0.0,0,WB,0,0,0,Premier League,0,,0.0,0,0,0,1,0,Away,0,7,L 1–2,0,1,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-03-16,Burnley,,0,0
Wed,N,66.7,1,0,1,0,Matchweek 31,0.0,0,WB,1,1,0,Premier League,0,,0.0,0,0,3,0,2,Home,2,18,D 0–0,0,5,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-04-03,Brighton,,0,1
Sat,Y,61.5,0,0,4,0,Matchweek 32,0.1,2,WB,2,0,0,Premier League,1,,0.9,0,0,26,0,16,Away,16,75,D 3–3,2,33,2,2,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-04-06,Aston Villa,,3,0
Sat,Y,61.8,2,0,6,0,Matchweek 33,0.1,1,"LB,WB",1,1,0,Premier League,3,,0.1,0,0,55,0,34,Home,42,90,W 2–0,0,73,5,1,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-04-13,Sheffield Utd,,4,1
Sat,Y,82.2,2,0,5,0,Matchweek 34,0.0,1,LB,1,1,0,Premier League,3,,0.5,0,0,45,0,37,Away,35,90,W 5–1,1,62,6,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-04-20,Luton Town,,6,2
