dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-08-13,Tottenham,,,
Sat,N,,,,,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-08-19,Fulham,,,
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-09-02,Bournemouth,,,
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-09-16,Newcastle Utd,,,
Sat,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–3,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-09-23,Everton,,,
Sun,N,,,,,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-01,Nott'ham Forest,,,
Sat,Y,67.3,0,0,0,0,Matchweek 8,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,49,0,33,Away,18,90,L 1–2,0,53,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-07,Manchester Utd,,0,0
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-21,Burnley,,,
Sat,N,,,,,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-28,Chelsea,,,
Sat,N,86.4,0,0,0,0,Matchweek 11,0.0,0,GK,0,0,0,Premier League,0,,0.0,0,0,22,0,19,Home,17,45,W 3–2,0,22,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-11-04,West Ham,,0,0
