dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-08-26,Manchester Utd,,,
Sat,N,0.0,0,0,0,0,Matchweek 4,0.0,0,WB,0,0,0,Premier League,1,,0.0,0,0,1,0,0,Away,0,19,W 1–0,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-09-02,Chelsea,,0,0
Mon,Y,62.9,0,0,0,0,Matchweek 5,0.0,0,RB,1,0,0,Premier League,1,,0.0,1,0,35,0,22,Home,21,52,D 1–1,0,42,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-09-18,Burnley,,0,0
Sat,N,87.2,0,0,4,0,Matchweek 6,0.0,0,"RB,CB",1,0,0,Premier League,2,,0.1,1,0,47,0,41,Away,35,52,L 0–2,0,52,6,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-09-23,Manchester City,,2,1
Sun,N,,,,,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-10-01,Brentford,,,
Sat,N,93.8,0,0,0,0,Matchweek 8,0.1,2,RB,0,0,0,Premier League,0,,0.0,0,0,16,0,15,Away,8,45,D 0–0,0,22,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-10-07,Crystal Palace,,1,1
Sat,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-11-25,Brighton,,,
Fri,N,,,,,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-15,Tottenham,,,
Sat,N,,,,,,Matchweek 18,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-23,Bournemouth,,,
Tue,Y,77.4,0,0,0,0,Matchweek 19,0.0,0,RB,1,0,0,Premier League,5,,0.2,1,0,31,0,24,Away,19,69,W 3–1,0,44,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-26,Newcastle Utd,,1,0
Sat,Y,77.1,0,0,0,0,Matchweek 20,0.0,0,RB,0,0,0,Premier League,0,,0.2,0,0,35,0,27,Home,22,73,W 2–1,1,41,6,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-30,Manchester Utd,,1,0
Sat,Y,69.6,0,0,1,0,Matchweek 21,0.0,0,RB,1,0,0,Premier League,2,,0.0,1,0,46,0,32,Away,20,85,L 2–3,0,55,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-01-20,Brentford,,2,1
Tue,Y,73.5,0,0,1,0,Matchweek 22,0.0,0,RB,0,0,0,Premier League,3,,0.1,0,0,34,0,25,Home,16,90,L 1–2,1,50,2,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-01-30,Arsenal,,2,3
Sun,N,80.0,0,0,0,0,Matchweek 23,0.0,0,RB,1,0,0,Premier League,0,,0.0,0,0,20,0,16,Away,10,13,D 1–1,0,21,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-04,Bournemouth,,0,0
Sat,N,,,,,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 2–4,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-24,Aston Villa,,,
Sat,N,,,,,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-30,Crystal Palace,,,
Tue,N,,,,,,Matchweek 31,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-02,Fulham,,,
Sun,N,100.0,0,0,0,0,Matchweek 32,0.0,0,RB,0,0,0,Premier League,0,,0.0,0,0,7,0,7,Away,2,4,L 1–3,0,7,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-07,Tottenham,,0,0
Sat,N,,,,,,Matchweek 33,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-13,Wolves,,,
Sun,N,,,,,,Matchweek 34,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-21,Everton,,,
Sun,N,66.7,0,0,0,0,Matchweek 35,0.0,1,RB,2,0,0,Premier League,2,,0.7,0,0,30,0,20,Home,14,56,L 0–2,0,38,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-28,Manchester City,,2,0
Sat,Y,70.8,0,0,2,0,Matchweek 36,0.0,0,RB,0,0,0,Premier League,0,,0.0,1,0,48,0,34,Away,24,82,W 3–1,0,54,8,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-05-04,Sheffield Utd,,1,1
Sat,Y,66.7,1,0,1,0,Matchweek 37,0.0,0,RB,0,1,0,Premier League,0,,0.1,0,0,15,0,10,Home,10,71,L 2–3,0,16,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-05-11,Chelsea,,3,0
Sun,Y,90.5,0,0,0,0,Matchweek 38,0.0,0,"RB,RM",1,0,0,Premier League,6,,0.0,0,0,21,0,19,Away,8,90,W 2–1,0,29,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-05-19,Burnley,,0,2
