dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,89.5,2,0,0,2023-08-12,0,Matchweek 1,0.0,0,CB,3,0,0,Premier League,3,0,0,19,0,17,Away,16,90,L 1–4,0,36,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Brighton,,0,2
Fri,Y,75.5,0,0,0,2023-08-25,0,Matchweek 3,0.0,0,CB,1,0,0,Premier League,7,0,0,49,0,37,Away,43,90,L 0–3,0,63,4,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Chelsea,,0,0
Fri,Y,83.7,0,0,0,2023-09-01,0,Matchweek 4,0.0,0,CB,1,0,0,Premier League,2,0,0,43,0,36,Home,18,90,L 1–2,0,54,5,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,West Ham,,3,0
Sat,Y,57.1,0,1,0,2023-09-16,0,Matchweek 5,0.2,1,LB,2,0,0,Premier League,3,0,0,14,0,8,Away,12,90,L 0–1,0,29,0,0,0.2,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Fulham,,0,1
Sat,Y,74.5,4,0,6,2023-09-23,0,Matchweek 6,0.0,0,CB,0,3,0,Premier League,4,0,0,55,0,41,Home,44,90,D 1–1,0,65,9,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Wolves,,2,2
Sat,Y,47.1,1,0,0,2023-09-30,0,Matchweek 7,0.0,0,CB,2,0,0,Premier League,3,0,0,17,0,8,Away,10,90,W 2–1,0,24,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Everton,,1,0
Tue,Y,42.9,0,0,0,2023-10-03,0,Matchweek 2,0.0,0,CB,0,0,0,Premier League,0,0,0,7,0,3,Home,2,20,L 1–2,0,8,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Burnley,,0,0
Sat,Y,68.3,2,1,3,2023-11-25,0,Matchweek 13,0.0,1,WB,3,0,0,Premier League,3,0,0,41,0,28,Home,27,90,W 2–1,0,60,3,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.3,Crystal Palace,,2,1
Sat,Y,73.0,0,0,2,2023-12-02,0,Matchweek 14,0.0,0,"CB,WB",3,0,0,Premier League,2,0,0,37,0,27,Away,25,90,L 1–3,0,52,2,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Brentford,,3,2
Tue,Y,78.3,0,0,0,2023-12-05,0,Matchweek 15,0.0,0,CB,2,0,0,Premier League,1,0,0,23,0,18,Home,14,90,L 3–4,0,32,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Arsenal,,1,0
