dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,29.4,1,0,2,2023-08-12,0,Matchweek 1,0.0,0,RW,1,0,0,Premier League,0,,0,0,17,0,5,Away,14,45,L 1–5,0,24,0,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Newcastle Utd,,1,1
Sun,Y,80.6,2,1,5,2023-08-20,1,Matchweek 2,0.3,2,RW,0,2,0,Premier League,0,,0,0,31,0,25,Home,25,62,W 4–0,1,35,2,2,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.6,Everton,,4,0
Sun,N,,,,,2023-08-27,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",,Burnley,,,
Sun,N,58.3,3,0,2,2023-09-03,0,Matchweek 4,0.0,0,RM,0,2,0,Premier League,0,,0,0,12,0,7,Away,11,46,L 0–3,0,15,1,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Liverpool,,2,0
Sat,N,71.4,4,1,3,2023-09-16,1,Matchweek 5,0.8,2,"RM,LW",0,2,0,Premier League,0,,1,0,21,0,15,Home,18,34,W 3–1,0,28,4,0,0.8,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Crystal Palace,,3,1
Sun,N,66.7,4,0,0,2023-09-24,0,Matchweek 6,0.0,0,RM,0,0,0,Premier League,0,,0,0,6,0,4,Away,8,16,W 1–0,0,11,0,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Chelsea,,2,0
Sun,N,72.7,1,0,0,2023-10-08,0,Matchweek 8,0.0,0,RW,0,0,0,Premier League,0,,0,0,11,0,8,Away,7,9,D 1–1,0,13,1,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Wolves,,1,0
Sun,N,90.0,1,1,3,2023-10-22,1,Matchweek 9,0.3,2,"RM,LM",0,1,0,Premier League,0,,0,0,10,0,9,Home,11,15,W 4–1,0,15,2,0,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,West Ham,,1,1
Sun,N,76.2,2,0,1,2023-10-29,0,Matchweek 10,0.1,1,RM,0,0,0,Premier League,0,,0,0,21,0,16,Home,22,45,W 3–1,1,25,0,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.6,Luton Town,,2,0
Sun,N,65.0,6,0,3,2023-11-05,0,Matchweek 11,0.3,3,RM,1,2,0,Premier League,0,,0,0,20,0,13,Away,25,45,L 0–2,0,32,0,0,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Nott'ham Forest,,1,0
Sun,N,83.3,3,0,2,2023-11-12,0,Matchweek 12,0.1,1,RM,0,1,0,Premier League,0,,0,0,12,0,10,Home,14,29,W 3–1,1,20,2,1,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",1.0,Fulham,,1,2
Sun,N,87.5,4,1,2,2023-11-26,0,Matchweek 13,0.2,3,RM,0,3,0,Premier League,0,,0,0,16,0,14,Away,16,45,W 2–1,0,23,0,0,0.2,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Tottenham,,3,0
Sun,Y,78.6,5,1,5,2023-12-03,1,Matchweek 14,0.1,2,"RM,CM",0,2,0,Premier League,0,,0,0,28,0,22,Away,29,73,D 2–2,0,35,2,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Bournemouth,,1,0
Wed,Y,72.7,5,3,7,2023-12-06,1,Matchweek 15,0.4,5,RM,3,3,0,Premier League,0,,0,0,22,0,16,Home,23,84,W 1–0,0,35,5,0,0.4,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Manchester City,,3,0
Sat,Y,70.0,3,0,0,2023-12-09,0,Matchweek 16,0.0,0,RM,0,0,0,Premier League,2,,0,0,10,0,7,Home,10,45,W 1–0,1,15,0,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Arsenal,,1,0
Sun,N,63.6,3,0,2,2023-12-17,0,Matchweek 17,0.0,0,WB,0,0,0,Premier League,0,,1,0,11,0,7,Away,9,26,W 2–1,1,18,0,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Brentford,,1,0
Fri,Y,82.8,3,0,5,2023-12-22,0,Matchweek 18,0.0,1,RM,1,0,0,Premier League,0,,1,0,29,0,24,Home,30,80,D 1–1,0,36,5,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Sheffield Utd,,3,0
Tue,Y,60.9,4,1,3,2023-12-26,0,Matchweek 19,0.1,2,RW,1,2,0,Premier League,1,,0,0,23,0,14,Away,19,76,L 2–3,0,31,3,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Manchester Utd,,2,0
Sat,Y,71.4,6,1,7,2023-12-30,1,Matchweek 20,0.2,3,RM,0,2,0,Premier League,0,,0,0,35,0,25,Home,32,89,W 3–2,0,42,3,0,0.2,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Burnley,,5,0
Sun,Y,79.3,1,1,1,2024-01-14,0,Matchweek 21,0.1,1,RM,0,0,0,Premier League,0,,0,0,29,0,23,Away,25,63,D 0–0,0,35,3,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Everton,,4,0
Tue,N,72.7,5,0,4,2024-01-30,0,Matchweek 22,0.0,1,FW,0,4,0,Premier League,0,,0,0,22,0,16,Home,19,29,L 1–3,1,24,5,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.8,Newcastle Utd,,8,0
Sat,Y,83.3,2,1,2,2024-02-03,1,Matchweek 23,0.1,2,RW,0,2,0,Premier League,1,,0,0,24,0,20,Away,20,59,W 5–0,0,34,2,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Sheffield Utd,,3,1
Sun,Y,82.1,3,0,3,2024-02-11,0,Matchweek 24,0.1,2,RW,0,3,0,Premier League,0,,0,0,28,0,23,Home,21,72,L 1–2,0,33,2,1,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Manchester Utd,,6,0
Sat,Y,71.4,4,0,4,2024-02-17,0,Matchweek 25,0.1,3,RW,1,2,0,Premier League,0,,0,0,21,0,15,Away,20,80,W 2–1,0,32,2,0,0.1,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Fulham,,5,0
