dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,66.7,1,1,3,2023-08-12,1,Matchweek 1,0.5,1,LW,0,0,0,Premier League,0,0,0,12,0,8,Home,16,23,W 5–1,1,15,1,1,0.5,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.9,Aston Villa,,2,0
Sat,N,92.9,0,1,1,2023-08-19,0,Matchweek 2,0.0,1,LW,0,0,0,Premier League,0,1,0,14,0,13,Away,10,35,L 0–1,0,15,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,1,0
Sun,N,66.7,0,0,2,2023-08-27,0,Matchweek 3,0.1,1,LW,0,0,0,Premier League,0,0,0,9,0,6,Home,8,19,L 1–2,0,11,1,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Liverpool,,1,0
Sat,N,100.0,1,0,1,2023-09-02,0,Matchweek 4,0.0,1,LW,0,0,0,Premier League,0,0,0,2,0,2,Away,3,17,L 1–3,0,5,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brighton,,0,0
Sat,Y,66.7,4,0,8,2023-09-16,0,Matchweek 5,0.1,2,LW,0,3,0,Premier League,1,0,0,30,0,20,Home,24,82,W 1–0,0,37,0,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brentford,,2,1
Sun,Y,100.0,0,0,0,2023-09-24,0,Matchweek 6,0.0,0,LW,0,0,0,Premier League,0,0,0,4,0,4,Away,2,11,W 8–0,0,4,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Sheffield Utd,,0,0
Sat,N,90.9,1,2,0,2024-02-03,1,Matchweek 23,0.3,3,LW,0,1,0,Premier League,0,0,0,11,0,10,Home,10,28,D 4–4,0,15,1,1,0.3,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Luton Town,,2,0
Sat,N,69.2,2,0,3,2024-02-10,0,Matchweek 24,0.0,0,"LW,LM",0,0,0,Premier League,0,0,0,13,0,9,Away,15,31,W 3–2,0,17,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Nott'ham Forest,,0,0
Sat,Y,87.5,5,0,3,2024-02-17,0,Matchweek 25,0.1,2,LW,0,0,0,Premier League,2,0,0,16,0,14,Home,18,66,D 2–2,0,30,3,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Bournemouth,,0,1
Sat,N,63.6,0,0,3,2024-02-24,0,Matchweek 26,0.0,0,LW,0,0,0,Premier League,0,0,0,11,0,7,Away,9,27,L 1–4,0,12,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,0,0
Sat,N,77.8,0,0,2,2024-03-02,0,Matchweek 27,0.1,1,"LW,FW",0,0,0,Premier League,0,0,0,9,0,7,Home,9,21,W 3–0,0,11,0,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Wolves,,1,0
Sat,N,85.7,1,4,1,2024-03-30,2,Matchweek 30,1.0,4,LW,0,1,0,Premier League,0,0,0,7,0,6,Home,9,24,W 4–3,0,13,2,1,1.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,West Ham,,3,0
Tue,Y,84.4,3,1,5,2024-04-02,0,Matchweek 31,0.4,3,LW,0,1,0,Premier League,1,0,0,32,0,27,Home,25,90,D 1–1,1,43,4,1,0.4,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",1.3,Everton,,6,0
Sat,N,55.6,0,0,3,2024-04-06,0,Matchweek 32,0.0,0,LW,0,0,0,Premier League,0,0,0,9,0,5,Away,9,26,W 1–0,0,10,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Fulham,,0,0
Sat,Y,58.8,2,0,2,2024-04-13,0,Matchweek 33,0.1,2,LW,0,0,0,Premier League,0,0,0,17,0,10,Home,17,87,W 4–0,0,21,5,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.3,Tottenham,,3,0
Wed,Y,64.3,3,0,0,2024-04-24,0,Matchweek 29,0.0,1,AM,0,0,0,Premier League,0,0,0,14,0,9,Away,18,64,L 0–2,0,22,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Crystal Palace,,0,1
Sat,N,92.9,0,0,1,2024-04-27,0,Matchweek 35,0.0,0,LM,0,0,0,Premier League,1,0,0,14,0,13,Home,13,25,W 5–1,1,15,0,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.6,Sheffield Utd,,2,0
Sat,N,91.7,0,1,1,2024-05-04,0,Matchweek 36,0.2,2,LM,0,0,0,Premier League,0,0,0,12,0,11,Away,10,22,W 4–1,0,14,1,0,0.2,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Burnley,,1,0
Sat,N,50.0,1,1,1,2024-05-11,0,Matchweek 37,0.2,2,FW,0,0,0,Premier League,0,1,0,4,0,2,Home,6,23,D 1–1,0,10,0,0,0.2,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brighton,,0,1
Wed,N,90.9,0,0,3,2024-05-15,0,Matchweek 34,0.0,0,LW,0,0,0,Premier League,1,0,0,11,0,10,Away,10,14,L 2–3,0,12,4,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester Utd,,3,0
Sun,Y,71.4,1,1,2,2024-05-19,1,Matchweek 38,0.5,1,LW,1,1,0,Premier League,0,0,0,21,0,15,Away,25,67,W 4–2,0,28,2,0,0.5,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brentford,,2,1
