dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,N,33.3,0,0,0,2023-09-18,0,Matchweek 5,0.0,0,LW,0,0,0,Premier League,0,,0,0,3,0,1,Home,4,20,D 1–1,0,5,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Burnley,,1,0
Sat,N,60.0,0,0,1,2023-09-23,0,Matchweek 6,0.1,1,AM,0,0,0,Premier League,0,,1,0,5,0,3,Away,8,16,L 0–2,0,6,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,0,0
Sun,N,100.0,0,0,0,2023-10-01,0,Matchweek 7,0.0,0,AM,0,0,0,Premier League,0,,0,0,1,0,1,Home,2,11,D 1–1,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Brentford,,1,0
Sat,N,100.0,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,FW,0,0,0,Premier League,0,,0,0,1,0,1,Away,2,15,D 0–0,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,0,0
Sun,N,,1,1,0,2023-11-12,0,Matchweek 12,0.1,1,FW,0,0,0,Premier League,0,,0,0,0,0,0,Away,3,1,L 2–3,0,3,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,West Ham,,0,0
Sat,N,50.0,0,0,0,2023-11-25,0,Matchweek 13,0.0,0,FW,0,0,0,Premier League,0,,0,0,2,0,1,Home,2,28,L 2–3,0,4,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,0,0
Sat,N,100.0,0,0,0,2023-12-02,0,Matchweek 14,0.0,0,LB,0,0,0,Premier League,0,,0,0,1,0,1,Home,0,9,L 0–1,0,2,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,0,0
Wed,Y,60.0,3,0,1,2023-12-06,0,Matchweek 15,0.0,1,FW,0,1,0,Premier League,0,,0,0,10,0,6,Away,9,57,L 0–5,0,18,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,0,0
Sat,N,,,,,2023-12-09,,Matchweek 16,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Wolves,,,
Fri,N,,,,,2023-12-15,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Tottenham,,,
Sat,Y,100.0,3,0,1,2023-12-23,0,Matchweek 18,0.0,0,RW,1,2,0,Premier League,0,,0,0,5,0,5,Home,3,25,L 2–3,0,10,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,Bournemouth,,2,0
Tue,N,,,,,2023-12-26,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Newcastle Utd,,,
Sat,N,66.7,0,0,0,2024-02-10,0,Matchweek 24,0.1,1,FW,0,0,0,Premier League,1,,0,0,3,0,2,Home,0,23,L 2–3,0,5,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Newcastle Utd,,1,0
Sat,N,66.7,0,0,1,2024-02-17,0,Matchweek 25,0.0,0,RW,1,0,0,Premier League,0,,0,0,6,0,4,Home,7,24,W 2–0,0,11,1,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,West Ham,,1,1
Sat,N,76.9,1,0,0,2024-02-24,0,Matchweek 26,0.0,0,RW,0,1,0,Premier League,1,,0,0,13,0,10,Away,8,45,L 2–4,1,15,4,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.9,Aston Villa,,3,0
Sat,Y,43.8,3,0,1,2024-03-02,0,Matchweek 27,0.0,1,RW,2,0,0,Premier League,2,,0,0,16,0,7,Home,11,64,L 0–1,0,27,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.4,Liverpool,,1,0
Sun,Y,45.5,3,1,6,2024-03-10,0,Matchweek 28,0.4,2,RW,1,1,0,Premier League,0,,0,0,11,0,5,Away,15,60,L 0–1,0,17,0,0,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,0,0
Sat,Y,69.0,2,0,2,2024-03-16,0,Matchweek 29,0.5,3,RW,0,1,0,Premier League,0,,0,0,29,0,20,Away,29,74,D 1–1,0,39,1,0,0.5,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.3,Luton Town,,3,1
Sat,Y,70.0,2,0,2,2024-03-30,0,Matchweek 30,0.0,1,RW,1,0,0,Premier League,2,,0,0,20,0,14,Home,22,59,D 1–1,0,28,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,1,0
Tue,N,71.4,3,0,2,2024-04-02,0,Matchweek 31,0.2,2,LW,0,1,0,Premier League,0,,0,0,7,0,5,Home,9,21,W 3–1,0,13,0,0,0.2,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,1,0
Sun,N,33.3,0,0,1,2024-04-07,0,Matchweek 32,0.0,1,FW,0,0,0,Premier League,0,,0,0,3,0,1,Away,4,23,L 1–3,0,6,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Tottenham,,1,0
Sat,N,50.0,2,0,1,2024-04-13,0,Matchweek 33,0.0,0,RW,0,2,0,Premier League,0,,0,0,6,0,3,Home,4,20,D 2–2,0,7,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves,,0,0
Sun,N,100.0,1,0,0,2024-04-21,0,Matchweek 34,0.0,0,LW,0,0,0,Premier League,0,,0,0,2,0,2,Away,2,11,L 0–2,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,0,0
Sun,N,,,,,2024-04-28,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Manchester City,,,
Sat,N,,,,,2024-05-04,,Matchweek 36,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Sheffield Utd,,,
Sat,N,,,,,2024-05-11,,Matchweek 37,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Chelsea,,,
Sun,N,,,,,2024-05-19,,Matchweek 38,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Burnley,,,
