dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-13,Brentford,,,
Sat,N,81.8,2,0,0,0,Matchweek 2,0.4,2,LB,1,1,0,Premier League,1,,0.0,0,0,11,0,9,Home,10,21,W 2–0,0,19,1,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-19,Manchester Utd,,1,0
Sat,N,100.0,0,0,0,0,Matchweek 3,0.1,1,LB,0,0,0,Premier League,0,,0.0,0,0,13,0,13,Away,10,9,W 2–0,0,15,1,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-26,Bournemouth,,1,0
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 5–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-02,Burnley,,,
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-16,Sheffield Utd,,,
Sun,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-24,Arsenal,,,
Sat,N,100.0,0,0,0,0,Matchweek 7,0.0,0,LB,0,0,0,Premier League,1,,0.0,0,0,11,0,11,Home,6,8,W 2–1,0,12,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-30,Liverpool,,0,0
Sat,N,50.0,0,0,0,0,Matchweek 8,0.0,0,LB,0,0,0,Premier League,1,,0.0,0,0,4,0,2,Away,1,9,W 1–0,0,7,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-07,Luton Town,,0,0
Fri,Y,92.6,1,0,0,0,Matchweek 10,0.0,0,LB,1,0,0,Premier League,1,,0.0,0,0,27,0,25,Away,14,45,W 2–1,0,31,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-27,Crystal Palace,,0,0
Sat,Y,94.0,0,0,0,0,Matchweek 12,0.1,1,CB,5,0,0,Premier League,3,,0.0,0,0,67,0,63,Away,58,90,L 1–2,0,80,4,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-11,Wolves,,0,2
Sun,Y,93.3,0,0,1,0,Matchweek 13,0.2,1,CB,1,0,0,Premier League,3,,0.0,0,0,104,0,97,Home,70,90,L 1–2,0,114,9,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-26,Aston Villa,,0,2
Sun,Y,95.7,0,0,0,0,Matchweek 14,0.0,0,CB,0,0,0,Premier League,1,,0.0,0,0,47,0,45,Away,36,90,D 3–3,0,55,2,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-03,Manchester City,,1,1
Thu,Y,97.4,0,0,1,0,Matchweek 15,0.0,0,CB,0,0,0,Premier League,2,,0.1,0,0,76,0,74,Home,61,90,L 1–2,0,83,5,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-07,West Ham,,3,1
Sun,Y,86.4,0,0,0,0,Matchweek 16,0.0,1,CB,0,0,0,Premier League,1,,0.0,0,0,66,0,57,Home,45,90,W 4–1,0,75,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-10,Newcastle Utd,,1,1
Fri,Y,92.2,2,0,3,0,Matchweek 17,0.2,1,CB,1,1,0,Premier League,2,,0.0,1,0,102,0,94,Away,72,90,W 2–0,0,115,11,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-15,Nott'ham Forest,,1,0
Sat,Y,86.5,1,0,3,0,Matchweek 18,0.0,0,CB,3,0,0,Premier League,0,,0.0,0,0,96,0,83,Home,67,90,W 2–1,0,105,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-23,Everton,,1,1
Thu,Y,90.8,0,1,0,1,Matchweek 19,0.7,2,CB,0,0,0,Premier League,3,,0.0,0,0,65,0,59,Away,45,90,L 2–4,0,75,5,0,0.7,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-28,Brighton,,0,1
Sun,Y,93.2,0,0,1,0,Matchweek 20,0.0,0,CB,4,0,0,Premier League,0,,0.0,0,0,44,0,41,Home,23,90,W 3–1,0,49,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-31,Bournemouth,,1,0
Wed,N,,,,,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-01-31,Brentford,,,
Sat,N,,,,,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-02-03,Everton,,,
Sat,N,80.0,0,0,0,0,Matchweek 24,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,10,0,8,Home,5,11,W 2–1,0,10,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-02-10,Brighton,,0,0
Sat,Y,80.3,3,1,3,0,Matchweek 25,0.5,3,"LB,CB",0,1,0,Premier League,2,,0.3,0,0,61,0,49,Home,46,90,L 1–2,0,73,13,0,0.5,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-02-17,Wolves,,3,1
Sat,N,,,,,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-03-02,Crystal Palace,,,
Sun,N,,,,,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 4–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-03-10,Aston Villa,,,
Sat,N,,,,,,Matchweek 29,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-03-16,Fulham,,,
Sat,N,,,,,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-03-30,Luton Town,,,
Tue,N,,,,,,Matchweek 31,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-02,West Ham,,,
Sun,N,,,,,,Matchweek 32,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-07,Nott'ham Forest,,,
Sat,N,,,,,,Matchweek 33,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–4,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-13,Newcastle Utd,,,
Sun,Y,78.3,1,0,1,0,Matchweek 35,0.0,0,LB,1,1,0,Premier League,3,,0.0,1,0,46,0,36,Home,24,87,L 2–3,0,54,0,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-28,Arsenal,,2,0
