dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,100.0,0,0,0,0,Matchweek 23,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Away,2,1,D 1–1,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-04,Bournemouth,,0,1
Sat,N,,,,,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-10,Newcastle Utd,,,
Sat,N,,,,,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-17,West Ham,,,
Sat,N,,,,,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 2–4,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-24,Aston Villa,,,
Sat,N,,,,,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-02,Liverpool,,,
Sat,N,,,,,,Matchweek 29,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-16,Luton Town,,,
Sat,N,,,,,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-30,Crystal Palace,,,
Sun,N,,,,,,Matchweek 32,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-07,Tottenham,,,
Sat,N,100.0,0,0,1,0,Matchweek 33,0.0,0,DM,1,0,0,Premier League,0,,0.0,0,0,2,0,2,Home,1,2,D 2–2,0,3,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-13,Wolves,,1,0
Sun,N,100.0,1,0,1,0,Matchweek 34,0.0,0,DM,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Away,4,11,L 0–2,0,4,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-21,Everton,,0,0
Sun,N,,,,,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-04-28,Manchester City,,,
Sun,N,0.0,0,0,0,0,Matchweek 38,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,2,0,0,Away,0,3,W 2–1,0,2,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-05-19,Burnley,,0,0
