dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,82.1,1,0,1,2024-02-03,0,Matchweek 23,0.0,0,CM,2,0,0,Premier League,2,,0,0,28,0,23,Away,21,63,L 1–4,0,35,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Brighton,,1,2
Mon,Y,68.8,0,0,1,2024-02-12,0,Matchweek 24,0.0,0,DM,1,0,0,Premier League,7,,0,0,32,0,22,Home,18,90,L 1–3,0,42,5,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Chelsea,,2,3
Mon,Y,60.9,1,0,1,2024-02-19,0,Matchweek 25,0.0,0,CM,0,0,0,Premier League,3,,0,0,46,0,28,Away,14,87,D 1–1,0,51,3,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Everton,,4,1
Sat,Y,78.0,0,0,1,2024-02-24,0,Matchweek 26,0.0,1,CM,0,0,0,Premier League,2,,1,0,41,0,32,Home,25,65,W 3–0,0,49,6,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.3,Burnley,,4,0
Sat,Y,75.0,0,0,0,2024-03-02,0,Matchweek 27,0.1,1,CM,2,0,0,Premier League,1,,0,0,8,0,6,Away,7,70,L 1–3,0,13,0,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Tottenham,,0,1
Sat,Y,92.6,0,0,0,2024-03-09,0,Matchweek 28,0.0,0,CM,0,0,0,Premier League,1,,0,0,27,0,25,Home,10,80,D 1–1,0,33,4,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Luton Town,,6,1
Sat,Y,77.8,0,0,1,2024-03-30,0,Matchweek 30,0.0,1,CM,0,0,0,Premier League,2,,0,0,36,0,28,Away,22,79,D 1–1,0,43,6,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.6,Nott'ham Forest,,2,0
Tue,Y,79.5,1,0,3,2024-04-02,0,Matchweek 31,0.0,0,CM,0,1,0,Premier League,2,,0,0,44,0,35,Away,27,85,L 0–1,0,52,6,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Bournemouth,,0,2
Sat,Y,85.2,1,0,2,2024-04-06,0,Matchweek 32,0.0,0,CM,1,0,0,Premier League,0,,0,0,27,0,23,Home,19,90,L 2–4,1,33,4,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.4,Manchester City,,2,1
Sun,Y,88.0,0,0,1,2024-04-14,0,Matchweek 33,0.1,1,CM,4,0,0,Premier League,6,,0,0,25,0,22,Away,12,90,W 1–0,0,43,4,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Liverpool,,1,1
Sun,Y,87.0,0,0,0,2024-04-21,0,Matchweek 34,0.0,0,CM,1,0,0,Premier League,4,,0,0,54,0,47,Home,33,60,W 5–2,0,59,6,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.3,West Ham,,3,0
Wed,Y,67.4,0,1,0,2024-04-24,0,Matchweek 29,0.1,4,CM,2,0,0,Premier League,5,,1,0,46,0,31,Home,33,82,W 2–0,0,64,4,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Newcastle Utd,,2,2
Sat,Y,75.5,0,0,0,2024-04-27,0,Matchweek 35,0.0,1,"CM,DM",1,0,0,Premier League,5,,0,0,49,0,37,Away,29,90,D 1–1,1,66,6,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.4,Fulham,,4,2
Mon,Y,66.7,0,0,1,2024-05-06,0,Matchweek 36,0.0,0,CM,1,0,0,Premier League,4,,0,0,36,0,24,Home,19,90,W 4–0,0,45,6,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.1,Manchester Utd,,2,3
Sat,Y,71.4,2,0,1,2024-05-11,0,Matchweek 37,0.0,1,CM,1,1,0,Premier League,2,,0,0,28,0,20,Away,18,90,W 3–1,1,42,4,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Wolves,,2,1
Sun,Y,88.4,1,0,1,2024-05-19,0,Matchweek 38,0.0,0,CM,1,1,0,Premier League,2,,0,0,69,0,61,Home,39,86,W 5–0,0,72,14,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",0.0,Aston Villa,,2,0
