dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,N,,,,,2023-11-12,,Matchweek 12,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Sheffield Utd,,,
Sat,N,,,,,2023-11-25,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Nott'ham Forest,,,
Sun,N,62.5,0,0,0,2023-12-03,0,Matchweek 14,0.0,0,CB,0,0,0,Premier League,0,,0,0,8,0,5,Away,6,7,L 2–3,0,9,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Chelsea,,0,0
Wed,N,66.7,0,0,0,2023-12-06,0,Matchweek 15,0.0,0,RW,0,0,0,Premier League,0,,0,0,3,0,2,Home,2,7,W 2–1,0,7,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Brentford,,0,0
Sat,N,,,,,2023-12-09,,Matchweek 16,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Burnley,,,
Thu,N,,,,,2023-12-28,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 4–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Tottenham,,,
Tue,N,,,,,2024-01-02,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,West Ham,,,
Mon,N,50.0,0,0,0,2024-01-22,0,Matchweek 21,0.0,0,RB,0,0,0,Premier League,0,,0,0,2,0,1,Home,2,1,D 0–0,0,3,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Wolves,,0,0
Tue,N,,,,,2024-01-30,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–4,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Luton Town,,,
Sat,N,,,,,2024-02-03,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 4–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Crystal Palace,,,
Sat,N,100.0,1,0,0,2024-02-10,0,Matchweek 24,0.0,0,RW,0,1,0,Premier League,0,,0,0,1,0,1,Away,2,1,L 1–2,0,2,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Tottenham,,0,0
Sun,N,,,,,2024-02-18,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 5–0,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Sheffield Utd,,,
Sat,N,66.7,0,0,1,2024-05-11,0,Matchweek 37,0.0,1,RW,1,0,0,Premier League,0,,1,0,6,0,4,Away,7,24,D 1–1,0,9,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.1,Newcastle Utd,,2,0
Sun,N,,,,,2024-05-19,,Matchweek 38,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Manchester Utd,,,
