dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,0.0,0,0,0,2023-08-12,0,Matchweek 1,0.0,0,FW,0,0,0,Premier League,0,0,0,1,0,0,Away,1,1,L 1–2,0,2,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,0,0
Fri,N,60.0,0,1,0,2023-08-18,1,Matchweek 2,0.1,1,FW,0,0,0,Premier League,0,0,0,5,0,3,Home,5,7,W 2–1,0,7,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Sheffield Utd,,0,0
Sat,N,50.0,0,0,1,2023-08-26,0,Matchweek 3,0.0,0,FW,0,0,0,Premier League,0,0,0,8,0,4,Away,4,10,L 2–3,0,9,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Manchester Utd,,1,1
Sat,N,60.0,0,0,0,2023-09-02,0,Matchweek 4,0.0,0,FW,0,0,0,Premier League,0,0,0,5,0,3,Away,3,26,W 1–0,0,8,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Chelsea,,0,0
Mon,N,0.0,0,0,0,2023-09-18,0,Matchweek 5,0.0,0,FW,0,0,0,Premier League,0,0,0,3,0,0,Home,3,3,D 1–1,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Burnley,,0,0
Sat,N,100.0,0,0,0,2023-09-23,0,Matchweek 6,0.0,0,FW,0,0,0,Premier League,0,0,0,3,0,3,Away,2,16,L 0–2,0,4,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,1,0
Sun,N,33.3,0,0,0,2023-10-01,0,Matchweek 7,0.2,1,FW,0,0,0,Premier League,0,0,0,3,0,1,Home,3,10,D 1–1,0,5,0,0,0.2,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,0,0
Sat,Y,73.3,1,0,1,2023-10-07,0,Matchweek 8,0.0,0,FW,0,0,0,Premier League,1,0,0,15,0,11,Away,11,75,D 0–0,0,21,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,1,0
Sat,Y,61.5,0,4,1,2023-10-21,2,Matchweek 9,1.7,7,FW,0,0,0,Premier League,0,0,0,26,0,16,Home,13,90,D 2–2,0,40,2,0,1.7,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Luton Town,,2,0
Sun,N,50.0,0,0,0,2023-11-12,0,Matchweek 12,0.0,0,FW,1,0,0,Premier League,0,0,0,4,0,2,Away,2,15,L 2–3,0,6,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,West Ham,,1,0
Sat,Y,60.0,0,1,0,2023-11-25,0,Matchweek 13,0.1,1,FW,1,0,0,Premier League,0,0,0,15,0,9,Home,10,62,L 2–3,0,20,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Brighton,,1,0
Sat,Y,76.2,0,0,1,2023-12-02,0,Matchweek 14,0.0,0,FW,1,0,0,Premier League,0,0,0,21,0,16,Home,19,90,L 0–1,0,35,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Everton,,1,0
Wed,N,100.0,0,0,0,2023-12-06,0,Matchweek 15,0.1,1,FW,0,0,0,Premier League,0,0,0,3,0,3,Away,3,33,L 0–5,0,6,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,0,0
Sat,N,0.0,0,0,0,2023-12-09,0,Matchweek 16,0.0,0,FW,0,0,0,Premier League,0,0,0,3,0,0,Away,1,7,D 1–1,0,3,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves,,0,0
Fri,N,,0,0,0,2023-12-15,0,Matchweek 17,0.0,0,FW,0,0,0,Premier League,0,0,0,0,0,0,Home,1,24,L 0–2,0,2,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Tottenham,,0,0
Sat,Y,41.9,2,2,2,2023-12-23,1,Matchweek 18,0.3,4,FW,0,2,0,Premier League,1,0,0,31,0,13,Home,21,90,L 2–3,1,46,6,2,0.3,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.4,Bournemouth,,5,0
Tue,Y,65.0,2,3,3,2023-12-26,3,Matchweek 19,2.2,3,FW,2,2,0,Premier League,0,0,0,20,0,13,Away,13,90,W 3–1,0,33,3,2,2.2,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Newcastle Utd,,3,0
Sat,Y,61.1,0,0,0,2023-12-30,0,Matchweek 20,0.0,1,FW,2,0,0,Premier League,0,0,0,18,0,11,Home,8,90,W 2–1,0,25,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester Utd,,0,0
Sat,Y,83.3,3,1,0,2024-01-20,1,Matchweek 21,0.4,2,FW,0,1,0,Premier League,0,0,0,30,0,25,Away,18,90,L 2–3,0,39,1,0,0.4,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.3,Brentford,,5,0
