dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Fri,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-08-11,Burnley,,,
Sat,N,,,,,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-08-19,Newcastle Utd,,,
Sun,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-08-27,Sheffield Utd,,,
Sat,N,100.0,1,0,0,0,Matchweek 4,0.0,0,DM,0,1,0,Premier League,1,,0.0,0,0,13,0,13,Home,6,7,W 5–1,0,14,2,0,0.0,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-09-02,Fulham,,0,0
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-09-16,West Ham,,,
Sat,N,71.4,2,0,1,0,Matchweek 6,0.0,0,"CM,DM",0,0,0,Premier League,1,,0.0,0,0,14,0,10,Home,7,40,W 2–0,0,23,3,0,0.0,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-09-23,Nott'ham Forest,,0,1
Sat,N,92.0,0,0,5,0,Matchweek 7,0.1,2,DM,0,0,0,Premier League,0,,0.0,0,0,25,0,23,Away,23,26,L 1–2,0,30,2,0,0.1,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-09-30,Wolves,,1,0
Sun,N,,,,,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–1,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-10-08,Arsenal,,,
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-10-21,Brighton,,,
Sun,N,,,,,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-10-29,Manchester Utd,,,
Sat,N,88.9,0,0,1,0,Matchweek 11,0.0,0,CM,0,0,0,Premier League,1,,0.0,0,0,18,0,16,Home,15,20,W 6–1,0,20,0,0,0.0,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-11-04,Bournemouth,,0,1
Sun,N,,,,,,Matchweek 12,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 4–4,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-11-12,Chelsea,,,
Sat,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats"">Manchester City</a>",2023-11-25,Liverpool,,,
