dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-08-12,Sheffield Utd,,,
Sat,N,66.7,0,0,0,0,Matchweek 3,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,3,0,2,Away,4,20,D 1–1,0,5,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-08-26,Brentford,,0,0
Sun,N,85.7,0,0,0,0,Matchweek 4,0.0,0,FW,0,0,0,Premier League,0,,0.7,0,0,7,0,6,Home,7,20,W 3–2,2,11,1,2,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-03,Wolves,,3,0
Sat,N,58.3,3,0,1,0,Matchweek 5,0.0,0,FW,0,0,0,Premier League,1,,0.3,0,0,12,0,7,Away,15,66,L 1–3,1,22,1,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-16,Aston Villa,,2,0
Sat,N,42.9,0,1,0,0,Matchweek 6,0.1,1,FW,0,0,0,Premier League,0,,0.0,0,0,7,0,3,Home,6,21,D 0–0,0,10,0,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-23,Fulham,,1,0
Sat,Y,70.0,1,0,1,0,Matchweek 7,0.0,0,FW,1,0,0,Premier League,2,,0.2,0,0,10,0,7,Away,18,90,W 1–0,0,20,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-30,Manchester Utd,,2,0
Sat,Y,72.7,2,1,0,0,Matchweek 8,0.2,2,FW,0,1,0,Premier League,1,,0.0,0,0,11,0,8,Home,10,90,D 0–0,0,20,0,0,0.2,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-10-07,Nott'ham Forest,,0,0
Sat,Y,57.1,1,0,0,0,Matchweek 9,0.1,1,FW,1,1,0,Premier League,0,,0.0,1,0,14,0,8,Away,8,60,L 0–4,0,21,0,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-10-21,Newcastle Utd,,0,1
Fri,N,100.0,1,0,0,0,Matchweek 10,0.0,0,FW,0,1,0,Premier League,0,,0.1,0,0,2,0,2,Home,2,12,L 1–2,0,3,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-10-27,Tottenham,,1,0
Sat,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-04,Burnley,,,
Sat,N,100.0,0,0,0,0,Matchweek 12,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Home,0,8,L 2–3,0,2,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-11,Everton,,0,0
Sat,N,80.0,0,1,0,0,Matchweek 13,0.1,1,FW,0,0,0,Premier League,0,,0.2,0,0,10,0,8,Away,3,11,L 1–2,0,12,0,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-25,Luton Town,,2,0
Sun,N,33.3,1,0,0,0,Matchweek 14,0.0,0,FW,0,1,0,Premier League,1,,0.0,0,0,3,0,1,Away,3,4,D 1–1,0,5,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-03,West Ham,,0,0
Wed,N,100.0,0,0,0,0,Matchweek 15,0.0,0,DM,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Home,3,5,L 0–2,0,4,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-06,Bournemouth,,0,0
Sat,N,83.3,1,0,1,1,Matchweek 16,0.1,1,FW,0,0,1,Premier League,0,,0.1,0,1,6,0,5,Home,9,45,L 1–2,0,12,0,1,0.9,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-09,Liverpool,,2,0
Sat,Y,86.7,4,1,0,1,Matchweek 17,0.9,1,FW,0,2,0,Premier League,1,,0.0,0,0,15,0,13,Away,9,90,D 2–2,0,21,2,2,0.9,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-16,Manchester City,,3,0
Thu,Y,60.0,5,1,3,0,Matchweek 18,0.2,4,FW,0,3,0,Premier League,1,,0.3,1,0,20,0,12,Home,19,90,D 1–1,0,34,2,0,0.2,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-21,Brighton,,6,0
Wed,Y,77.8,8,1,3,0,Matchweek 19,0.1,1,FW,2,4,0,Premier League,1,,0.1,0,0,18,0,14,Away,25,90,L 1–2,0,32,0,0,0.1,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-27,Chelsea,,6,0
Sat,Y,80.6,1,0,1,0,Matchweek 20,0.0,0,FW,0,1,0,Premier League,1,,0.1,0,0,31,0,25,Home,31,85,W 3–1,0,42,2,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-12-30,Brentford,,5,0
Sat,Y,78.6,6,0,1,0,Matchweek 21,0.0,0,FW,2,2,0,Premier League,0,,0.0,0,0,14,0,11,Away,15,90,L 0–5,0,29,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2024-01-20,Arsenal,,1,1
