dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-09-02,Chelsea,,,
Sat,N,83.7,0,0,0,0,Matchweek 14,0.1,1,CB,0,0,0,Premier League,2,,0.0,1,0,43,0,36,Home,24,45,L 0–1,0,49,0,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-02,Everton,,2,0
Wed,Y*,82.6,1,0,1,0,Matchweek 15,0.0,0,CB,2,1,0,Premier League,2,,0.0,0,0,46,0,38,Away,36,75,L 0–5,0,50,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-06,Fulham,,0,1
Sat,N,66.7,0,0,0,0,Matchweek 16,0.0,1,CB,0,0,0,Premier League,1,,0.0,0,0,3,0,2,Away,1,14,D 1–1,0,7,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2023-12-09,Wolves,,1,0
Tue,N,,,,,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-01-30,Arsenal,,,
Sun,N,,,,,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-04,Bournemouth,,,
Sat,N,,,,,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-10,Newcastle Utd,,,
Sat,Y,87.2,1,0,0,0,Matchweek 25,0.0,0,CB,0,0,0,Premier League,2,,0.0,0,0,39,0,34,Home,26,90,W 2–0,0,46,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-17,West Ham,,1,0
Sat,Y,95.0,0,0,0,0,Matchweek 26,0.0,0,CB,0,0,0,Premier League,2,,0.0,1,0,20,0,19,Away,18,45,L 2–4,0,22,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-02-24,Aston Villa,,0,0
Sat,N,,,0,,0,Matchweek 27,,0,,,,0,Premier League,,,,1,0,,0,,Home,,,L 0–1,0,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-02,Liverpool,,,0
Sun,N,,,,,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-10,Brighton,,,
Sat,N,66.7,0,0,0,0,Matchweek 29,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,3,0,2,Away,1,16,D 1–1,0,5,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-16,Luton Town,,0,0
Sat,Y,85.2,0,0,0,0,Matchweek 30,0.0,1,CB,2,0,0,Premier League,3,,0.0,1,0,61,0,52,Home,41,90,D 1–1,0,78,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",2024-03-30,Crystal Palace,,0,3
