dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,50.0,1,0,0,2023-08-12,0,Matchweek 1,0.0,0,"RM,RB",0,0,0,Premier League,2,,0,0,12,0,6,Away,11,90,L 1–2,0,20,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,0,1
Fri,Y,77.6,2,0,4,2023-08-18,0,Matchweek 2,0.0,1,"RM,RB",2,0,0,Premier League,1,,1,0,76,0,59,Home,46,90,W 2–1,2,88,10,2,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.4,Sheffield Utd,,4,0
Sat,Y,58.8,4,0,1,2023-08-26,0,Matchweek 3,0.0,0,WB,1,1,0,Premier League,1,,1,0,34,0,20,Away,15,90,L 2–3,0,51,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester Utd,,2,1
Sat,Y,69.0,2,0,0,2023-09-02,0,Matchweek 4,0.0,0,WB,0,0,0,Premier League,3,,0,0,29,0,20,Away,16,71,W 1–0,0,39,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Chelsea,,0,0
Sat,Y*,87.5,0,0,0,2023-09-23,0,Matchweek 6,0.0,0,CB,0,0,0,Premier League,0,,0,0,32,0,28,Away,24,55,L 0–2,0,34,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,0,0
Sun,Y*,83.7,1,0,1,2023-10-01,0,Matchweek 7,0.0,0,RB,3,0,0,Premier League,3,,0,0,49,0,41,Home,24,90,D 1–1,0,59,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,0,1
Sat,Y*,87.2,1,1,1,2023-10-07,0,Matchweek 8,0.0,2,RB,0,1,0,Premier League,0,,0,0,47,0,41,Away,32,45,D 0–0,0,56,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,1,1
Sat,Y*,90.6,0,0,1,2023-10-21,0,Matchweek 9,0.0,1,RB,2,0,0,Premier League,3,,0,0,32,0,29,Home,16,87,D 2–2,0,44,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Luton Town,,1,1
Sun,Y*,65.0,1,0,2,2023-10-29,0,Matchweek 10,0.0,0,RB,1,0,0,Premier League,1,,0,0,40,0,26,Away,18,90,L 0–3,0,53,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Liverpool,,2,2
Sun,N,33.3,0,0,0,2023-11-05,0,Matchweek 11,0.0,0,RB,0,0,0,Premier League,1,,0,0,6,0,2,Home,1,20,W 2–0,0,11,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Aston Villa,,0,0
Sun,N,77.8,0,0,0,2023-11-12,0,Matchweek 12,0.0,1,RB,1,0,0,Premier League,0,,0,0,9,0,7,Away,4,15,L 2–3,0,13,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,West Ham,,1,0
Sat,N,,,,,2023-11-25,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Brighton,,,
Sat,Y,84.1,2,0,0,2023-12-02,0,Matchweek 14,0.0,1,RB,0,1,0,Premier League,5,,0,0,82,0,69,Home,42,90,L 0–1,0,100,11,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,4,2
