dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,,,,,2023-08-12,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Nott'ham Forest,,,
Mon,N,,,,,2023-08-21,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Crystal Palace,,,
Sat,N,76.2,3,1,3,2023-08-26,0,Matchweek 3,0.0,1,LM,0,1,0,Premier League,0,,0,0,21,0,16,Home,19,35,D 2–2,1,27,5,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.3,Fulham,,3,0
Sun,N,100.0,1,0,1,2023-09-03,0,Matchweek 4,0.0,0,LM,0,0,0,Premier League,0,,0,0,13,0,13,Home,8,14,W 3–1,1,16,2,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.8,Manchester Utd,,1,0
Sun,Y,77.4,2,0,1,2023-09-17,0,Matchweek 5,0.4,4,LM,0,1,0,Premier League,1,,0,0,31,0,24,Away,27,79,W 1–0,0,41,1,0,0.4,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Everton,,0,1
Sun,Y,78.6,1,0,3,2023-09-24,0,Matchweek 6,0.0,0,LM,0,0,0,Premier League,1,,0,0,14,0,11,Home,12,45,D 2–2,0,17,0,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Tottenham,,0,0
Sat,N,83.3,1,0,1,2023-09-30,0,Matchweek 7,0.0,0,RW,0,0,0,Premier League,1,,0,0,12,0,10,Away,9,15,W 4–0,0,15,2,1,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.1,Bournemouth,,2,1
Sun,N,,,,,2023-10-08,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester City,,,
Sat,N,75.0,0,0,0,2023-10-28,1,Matchweek 10,0.0,0,LM,0,0,1,Premier League,0,,0,1,8,0,6,Home,4,17,W 5–0,0,10,1,2,0.8,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Sheffield Utd,,2,0
Sat,N,66.7,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,RM,0,0,0,Premier League,0,,0,0,12,0,8,Away,10,12,L 0–1,0,12,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Newcastle Utd,,1,0
Sat,N,75.0,0,0,0,2023-11-11,0,Matchweek 12,0.0,0,RM,0,0,0,Premier League,0,,0,0,4,1,3,Home,4,24,W 3–1,0,5,0,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Burnley,,0,0
Sat,N,,,,,2024-02-24,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 4–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Newcastle Utd,,,
Mon,N,88.0,0,0,1,2024-03-04,0,Matchweek 27,0.0,0,RW,0,0,0,Premier League,0,,0,0,25,0,22,Away,14,45,W 6–0,0,28,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.4,Sheffield Utd,,2,0
Sat,N,,,,,2024-03-09,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Brentford,,,
Sun,N,,,,,2024-03-31,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester City,,,
Wed,N,,,,,2024-04-03,,Matchweek 31,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Luton Town,,,
Sat,N,66.7,0,0,0,2024-04-06,0,Matchweek 32,0.0,0,RM,0,0,0,Premier League,0,,0,0,3,0,2,Away,0,2,W 3–0,0,3,1,0,0.0,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.0,Brighton,,0,0
Sun,N,,,,,2024-04-14,,Matchweek 33,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Aston Villa,,,
Sat,N,,,,,2024-04-20,,Matchweek 34,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Wolves,,,
Tue,N,100.0,1,0,2,2024-04-23,0,Matchweek 29,0.1,1,RW,0,0,0,Premier League,0,,0,0,7,0,7,Home,4,9,W 5–0,0,10,1,0,0.1,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",0.2,Chelsea,,1,0
Sun,N,,,,,2024-04-28,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–2,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Tottenham,,,
Sat,N,,,,,2024-05-04,,Matchweek 36,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Bournemouth,,,
Sun,N,,,,,2024-05-12,,Matchweek 37,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Manchester Utd,,,
Sun,N,,,,,2024-05-19,,Matchweek 38,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/18bb7c10/2023-2024/Arsenal-Stats"">Arsenal</a>",,Everton,,,
