dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,60.0,0,0,0,2023-08-12,0,Matchweek 1,0.0,0,"RM,CM",0,0,0,Premier League,2,,0,0,5,0,3,Home,4,11,L 0–1,0,8,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Crystal Palace,,1,0
Fri,Y,78.4,0,1,1,2023-08-18,0,Matchweek 2,0.1,2,CM,1,0,0,Premier League,5,,0,0,37,0,29,Away,18,57,L 1–2,0,50,2,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Nott'ham Forest,,2,2
Sun,Y,82.4,2,0,0,2023-08-27,0,Matchweek 3,0.0,0,CM,2,2,0,Premier League,2,,1,0,17,0,14,Home,8,90,L 1–2,0,30,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester City,,0,1
Sat,Y,77.8,3,0,0,2023-09-02,0,Matchweek 4,0.0,0,CM,5,0,0,Premier League,2,,0,0,36,0,28,Home,27,90,D 2–2,0,55,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Everton,,0,1
Sat,Y,91.3,1,0,0,2023-09-16,0,Matchweek 5,0.0,0,CM,1,1,0,Premier League,1,,0,0,23,0,21,Away,20,90,L 1–2,0,35,1,1,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Tottenham,,1,4
Sun,Y,90.4,1,1,0,2023-09-24,0,Matchweek 6,0.0,1,"CM,RM",1,0,0,Premier League,6,,0,0,52,0,47,Home,33,90,L 0–8,0,65,4,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Newcastle Utd,,0,0
Sat,Y,85.1,0,0,2,2023-09-30,0,Matchweek 7,0.1,1,CM,0,0,0,Premier League,4,,0,0,67,0,57,Away,41,90,L 0–2,0,79,10,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,West Ham,,2,1
Sat,Y,84.4,2,0,0,2023-10-07,0,Matchweek 8,0.0,0,CM,1,2,0,Premier League,1,,0,0,32,0,27,Away,13,90,L 1–3,0,42,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Fulham,,0,1
Sat,Y,69.6,1,0,0,2023-10-21,0,Matchweek 9,0.0,0,CM,2,1,0,Premier League,5,,1,0,23,0,16,Home,9,90,L 1–2,0,38,1,1,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester Utd,,2,1
Sat,Y,92.3,2,0,1,2023-10-28,0,Matchweek 10,0.0,0,CM,3,2,0,Premier League,3,,0,0,26,0,24,Away,18,90,L 0–5,0,34,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Arsenal,,0,1
Sat,Y,75.0,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,CM,0,0,0,Premier League,5,,0,0,28,0,21,Home,15,90,W 2–1,0,38,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Wolves,,1,0
Sun,Y,44.4,0,0,0,2023-11-12,0,Matchweek 12,0.0,0,CM,1,0,0,Premier League,2,,0,0,9,0,4,Away,7,51,D 1–1,0,18,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brighton,,0,1
Sat,Y,67.9,0,0,0,2023-11-25,0,Matchweek 13,0.0,0,CM,1,0,0,Premier League,2,,0,0,28,0,19,Home,15,45,L 1–3,0,34,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Bournemouth,,0,0
Sat,N,,,,,2023-12-02,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–5,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Burnley,,,
Wed,Y,47.6,0,0,0,2023-12-06,0,Matchweek 15,0.0,0,CM,1,0,0,Premier League,5,,0,0,21,0,10,Home,6,85,L 0–2,0,33,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Liverpool,,0,1
Sat,Y,82.5,0,0,1,2023-12-09,0,Matchweek 16,0.0,0,"DM,CM",1,0,0,Premier League,1,,0,0,40,0,33,Home,26,90,W 1–0,0,48,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brentford,,1,0
Sat,Y,69.0,1,0,0,2023-12-16,0,Matchweek 17,0.0,0,DM,0,1,0,Premier League,6,,0,0,29,0,20,Away,11,90,L 0–2,0,38,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Chelsea,,0,2
Fri,Y,66.7,0,0,0,2023-12-22,0,Matchweek 18,0.0,1,CM,1,0,0,Premier League,7,,0,0,21,0,14,Away,5,90,D 1–1,0,38,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Aston Villa,,0,2
Tue,Y,74.4,3,0,0,2023-12-26,0,Matchweek 19,0.0,1,"CM,DM",1,2,0,Premier League,4,,0,0,39,0,29,Home,34,85,L 2–3,0,50,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Luton Town,,1,1
Sat,Y,76.5,0,0,0,2023-12-30,0,Matchweek 20,0.0,0,CM,1,0,0,Premier League,3,,0,0,17,0,13,Away,9,90,L 0–2,0,24,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester City,,0,1
Sun,Y,89.1,2,1,0,2024-01-21,0,Matchweek 21,0.0,1,DM,2,0,0,Premier League,1,,0,0,55,0,49,Home,33,87,D 2–2,0,68,5,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,West Ham,,2,0
Tue,Y,81.6,1,0,0,2024-01-30,0,Matchweek 22,0.0,0,"CM,DM",4,1,0,Premier League,10,,0,0,49,0,40,Away,37,90,L 2–3,0,74,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,Crystal Palace,,3,4
Sat,Y,81.0,1,0,0,2024-02-03,0,Matchweek 23,0.0,0,CM,1,1,0,Premier League,7,,0,0,42,0,34,Home,28,90,L 0–5,0,53,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Aston Villa,,1,2
Sat,Y,72.0,1,1,1,2024-02-10,1,Matchweek 24,0.2,2,CM,3,1,0,Premier League,6,,0,0,25,0,18,Away,16,90,W 3–1,0,42,0,1,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Luton Town,,1,0
Sun,Y,80.8,0,0,0,2024-02-18,0,Matchweek 25,0.0,1,DM,3,0,0,Premier League,3,,0,0,26,0,21,Home,16,90,L 0–5,0,38,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brighton,,0,1
Sun,Y,90.6,2,0,0,2024-02-25,0,Matchweek 26,0.0,0,CM,3,0,0,Premier League,5,,0,0,32,0,29,Away,12,81,L 0–1,0,42,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,Wolves,,1,0
Mon,Y,78.9,0,0,0,2024-03-04,0,Matchweek 27,0.0,0,CM,2,0,0,Premier League,4,,0,0,19,0,15,Home,10,90,L 0–6,0,32,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Arsenal,,0,1
Sat,N,73.7,1,0,0,2024-03-09,0,Matchweek 28,0.0,0,CM,2,1,0,Premier League,3,,0,0,19,0,14,Away,10,45,D 2–2,0,25,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Bournemouth,,1,0
Sat,Y,62.5,0,0,0,2024-03-30,0,Matchweek 30,0.0,0,CM,3,0,0,Premier League,2,,0,0,16,0,10,Home,6,84,D 3–3,0,27,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Fulham,,0,0
Thu,Y,36.4,1,0,0,2024-04-04,0,Matchweek 31,0.0,0,CM,3,0,0,Premier League,4,,0,0,11,0,4,Away,3,90,L 1–3,0,29,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Liverpool,,0,1
Sun,N,100.0,0,0,0,2024-04-07,0,Matchweek 32,0.0,0,CB,0,0,0,Premier League,1,,0,0,1,0,1,Home,1,1,D 2–2,0,3,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Chelsea,,0,0
Sat,N,,,,,2024-04-13,,Matchweek 33,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–2,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Brentford,,,
Sat,Y,88.5,1,1,1,2024-04-20,0,Matchweek 34,0.1,2,DM,0,0,0,Premier League,4,,0,0,26,0,23,Home,23,67,L 1–4,0,36,5,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Burnley,,2,1
Wed,N,95.2,3,1,0,2024-04-24,0,Matchweek 29,0.0,1,CM,1,2,0,Premier League,1,,0,0,21,0,20,Away,11,45,L 2–4,0,26,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester Utd,,2,0
Sat,N,93.8,0,0,0,2024-04-27,0,Matchweek 35,0.0,0,CM,1,0,0,Premier League,4,,0,0,16,0,15,Away,13,21,L 1–5,0,20,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,Newcastle Utd,,1,0
Sat,N,75.0,0,0,1,2024-05-04,0,Matchweek 36,0.0,1,CM,0,0,0,Premier League,0,,0,0,12,0,9,Home,11,17,L 1–3,0,14,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Nott'ham Forest,,0,0
Sat,Y,84.3,1,0,0,2024-05-11,0,Matchweek 37,0.0,0,"CB,CM",4,0,0,Premier League,1,,0,0,51,0,43,Away,23,90,L 0–1,0,62,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Everton,,0,1
Sun,N,66.7,0,0,0,2024-05-19,0,Matchweek 38,0.0,0,CM,2,0,0,Premier League,3,,1,0,24,0,16,Home,9,86,L 0–3,0,33,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Tottenham,,1,1
