dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,92.2,6,0,4,2023-08-13,0,Matchweek 1,0.0,3,DM,1,5,0,Premier League,3,,0,0,116,0,107,Away,108,90,D 2–2,0,130,10,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brentford,,3,4
Sat,Y,88.2,3,0,3,2023-08-19,0,Matchweek 2,0.1,2,DM,2,1,0,Premier League,5,,0,0,51,0,45,Home,42,90,W 2–0,0,68,3,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Manchester Utd,,1,1
Sat,Y,86.8,4,1,2,2023-08-26,0,Matchweek 3,0.0,1,DM,2,3,0,Premier League,4,,1,0,38,0,33,Away,37,73,W 2–0,0,57,6,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Bournemouth,,3,3
Sat,Y,92.2,3,1,2,2023-09-02,0,Matchweek 4,0.0,2,"DM,CM",1,2,0,Premier League,4,,0,0,64,0,59,Away,57,90,W 5–2,0,82,7,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Burnley,,3,3
Sat,Y,86.7,5,1,8,2023-09-16,0,Matchweek 5,0.5,2,"DM,CM",3,4,0,Premier League,1,,1,0,90,0,78,Home,72,90,W 2–1,0,102,16,0,0.5,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Sheffield Utd,,6,1
Sun,Y,93.3,1,0,1,2023-09-24,0,Matchweek 6,0.0,1,"DM,CM",3,1,0,Premier League,4,,1,0,60,0,56,Away,35,90,D 2–2,0,71,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Arsenal,,2,0
Sat,Y,94.2,1,0,1,2023-09-30,0,Matchweek 7,0.1,2,DM,0,0,0,Premier League,4,,1,0,121,0,114,Home,91,89,W 2–1,0,133,12,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Liverpool,,0,1
Sat,Y,87.8,1,0,4,2023-10-07,0,Matchweek 8,0.0,0,DM,0,1,0,Premier League,1,,2,0,49,1,43,Away,28,44,W 1–0,0,52,7,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Luton Town,,1,0
Fri,Y,95.3,6,0,0,2023-10-27,0,Matchweek 10,0.0,1,DM,1,1,0,Premier League,3,,0,0,64,0,61,Away,56,63,W 2–1,0,77,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Crystal Palace,,0,2
Mon,Y,90.5,3,0,2,2023-11-06,0,Matchweek 11,0.1,1,"CM,DM,RM",1,2,0,Premier League,4,,0,0,42,0,38,Home,18,90,L 1–4,0,57,3,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Chelsea,,3,2
Sat,Y,97.2,1,0,0,2023-11-11,0,Matchweek 12,0.0,0,CM,0,1,0,Premier League,3,,1,0,72,0,70,Away,65,75,L 1–2,0,84,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Wolves,,0,1
Sun,Y,85.7,3,0,0,2023-12-03,0,Matchweek 14,0.0,0,DM,1,1,0,Premier League,1,,0,0,49,0,42,Away,32,86,D 3–3,0,63,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Manchester City,,0,0
Thu,Y,94.1,1,0,3,2023-12-07,0,Matchweek 15,0.2,2,DM,0,1,0,Premier League,2,,0,0,119,0,112,Home,100,83,L 1–2,0,125,17,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,West Ham,,4,1
Sun,Y,86.5,1,1,1,2023-12-10,0,Matchweek 16,0.0,1,DM,1,1,0,Premier League,8,,0,0,74,0,64,Home,45,85,W 4–1,0,84,2,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Newcastle Utd,,5,1
Fri,Y,83.0,1,0,0,2023-12-15,0,Matchweek 17,0.0,0,DM,1,0,0,Premier League,3,,0,0,47,1,39,Away,20,69,W 2–0,0,53,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Nott'ham Forest,,0,0
Sat,N,100.0,0,0,0,2024-02-10,0,Matchweek 24,0.0,0,DM,1,0,0,Premier League,0,,0,0,17,0,17,Home,12,28,W 2–1,0,23,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brighton,,0,3
Sat,Y,94.3,1,0,0,2024-02-17,0,Matchweek 25,0.0,0,DM,3,1,0,Premier League,5,,0,0,70,0,66,Home,53,70,L 1–2,0,83,5,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Wolves,,1,3
Sat,Y,94.0,2,0,2,2024-03-02,0,Matchweek 27,0.0,0,"DM,CM",1,0,0,Premier League,2,,0,0,117,0,110,Home,86,89,W 3–1,0,128,14,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Crystal Palace,,0,1
Sun,Y,96.9,0,0,0,2024-03-10,0,Matchweek 28,0.0,0,DM,1,0,0,Premier League,3,,0,0,96,0,93,Away,65,90,W 4–0,0,106,8,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Aston Villa,,1,1
Sat,Y,92.9,1,0,1,2024-03-16,0,Matchweek 29,0.0,0,DM,0,1,0,Premier League,2,,1,0,42,0,39,Away,23,65,L 0–3,0,46,5,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Fulham,,0,1
Sat,Y,88.1,0,0,0,2024-03-30,0,Matchweek 30,0.0,0,"DM,CM",2,0,0,Premier League,3,,0,0,59,0,52,Home,37,84,W 2–1,0,65,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Luton Town,,1,1
Tue,Y,95.9,1,0,2,2024-04-02,0,Matchweek 31,0.0,1,DM,1,1,0,Premier League,1,,0,0,97,0,93,Away,77,81,D 1–1,0,101,7,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,West Ham,,2,2
Sun,Y,93.2,0,1,1,2024-04-07,0,Matchweek 32,0.1,4,DM,0,0,0,Premier League,3,,0,0,44,0,41,Home,39,45,W 3–1,0,52,6,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Nott'ham Forest,,1,0
Sat,Y,87.5,0,0,2,2024-04-13,0,Matchweek 33,0.0,0,DM,0,0,0,Premier League,3,,1,0,32,0,28,Away,23,56,L 0–4,0,38,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Newcastle Utd,,2,1
Sun,N,100.0,0,0,2,2024-04-28,0,Matchweek 35,0.0,0,DM,0,0,0,Premier League,2,,0,0,27,0,27,Home,22,27,L 2–3,0,33,6,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Arsenal,,0,0
Thu,Y,90.4,0,0,0,2024-05-02,0,Matchweek 26,0.0,0,DM,1,0,0,Premier League,2,,0,0,52,0,47,Away,45,62,L 0–2,0,60,8,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Chelsea,,1,0
Sun,Y,86.9,2,0,1,2024-05-05,0,Matchweek 36,0.0,1,"RM,DM",1,0,0,Premier League,3,,1,0,84,0,73,Away,51,90,L 2–4,0,91,7,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Liverpool,,2,2
Sat,Y,85.7,0,0,1,2024-05-11,0,Matchweek 37,0.0,0,CM,0,0,0,Premier League,1,,0,0,49,0,42,Home,28,74,W 2–1,0,55,8,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Burnley,,2,2
