dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,66.7,7,1,3,2023-08-12,1,Matchweek 1,0.2,6,RW,1,4,0,Premier League,2,,1,0,27,0,18,Away,19,90,D 1–1,0,42,2,0,0.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.5,Bournemouth,,5,0
Sun,Y,75.0,0,2,2,2023-08-20,0,Matchweek 2,0.4,2,"RW,FW",1,0,0,Premier League,1,,0,0,12,0,9,Home,13,90,W 3–1,0,24,0,1,0.4,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Chelsea,,4,0
Sat,Y,68.8,4,2,4,2023-08-26,1,Matchweek 3,1.2,3,"RM,FW",0,1,0,Premier League,2,,0,0,16,0,11,Away,16,90,W 3–1,1,29,4,1,1.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.1,Brighton,,1,2
Fri,Y,65.7,5,1,2,2023-09-01,1,Matchweek 4,0.5,2,RW,0,3,0,Premier League,0,,0,0,35,0,23,Away,27,90,W 2–1,0,45,2,0,0.5,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Luton Town,,2,0
Sat,Y,73.9,1,0,2,2023-09-16,0,Matchweek 5,0.0,0,"RW,FW",0,0,0,Premier League,1,,0,0,23,0,17,Home,22,90,L 1–3,0,30,1,1,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Manchester City,,2,2
Sun,Y,77.8,1,2,2,2023-09-24,1,Matchweek 6,0.5,3,RW,0,1,0,Premier League,3,,0,0,18,0,14,Away,13,90,L 1–3,0,30,2,0,0.5,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Liverpool,,2,1
Sat,Y,84.0,1,2,2,2023-09-30,1,Matchweek 7,0.7,6,"RW,FW",3,1,0,Premier League,2,,0,0,25,0,21,Home,28,89,W 2–0,0,39,0,0,0.7,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.4,Sheffield Utd,,4,0
Sun,Y,50.0,3,1,3,2023-10-08,0,Matchweek 8,0.0,1,RW,3,0,0,Premier League,2,,0,0,16,0,8,Home,17,90,D 2–2,0,27,2,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Newcastle Utd,,0,0
Sun,Y,71.4,6,2,3,2023-10-22,1,Matchweek 9,0.1,3,RW,3,4,0,Premier League,0,,0,0,21,0,15,Away,27,90,L 1–4,0,34,1,1,0.1,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Aston Villa,,1,1
Sun,Y,63.0,6,0,1,2023-10-29,0,Matchweek 10,0.4,4,RW,2,4,0,Premier League,1,,0,0,27,0,17,Home,23,90,L 0–1,0,43,1,0,0.4,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Everton,,4,3
Sat,Y,78.3,0,1,1,2023-11-04,1,Matchweek 11,0.5,2,FW,0,0,0,Premier League,0,,0,0,23,0,18,Away,13,90,L 2–3,0,31,0,0,0.5,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.8,Brentford,,2,0
Sun,Y,55.0,3,1,1,2023-11-12,1,Matchweek 12,0.3,1,"FW,AM",1,1,0,Premier League,3,,0,0,20,0,11,Home,18,90,W 3–2,0,29,2,1,0.3,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Nott'ham Forest,,5,0
Sun,Y,83.3,1,2,2,2023-12-03,0,Matchweek 14,0.3,2,"FW,RW",3,0,0,Premier League,0,,0,0,18,0,15,Home,24,90,D 1–1,0,30,3,0,0.3,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Crystal Palace,,1,0
Thu,Y,66.7,1,1,4,2023-12-07,1,Matchweek 15,0.5,1,RW,2,0,0,Premier League,2,,0,0,15,0,10,Away,17,90,W 2–1,0,28,1,0,0.5,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Tottenham,,2,1
Sun,Y,84.2,3,3,1,2023-12-10,0,Matchweek 16,0.8,4,"FW,AM",4,1,0,Premier League,0,,0,0,19,0,16,Away,25,90,L 0–5,0,36,3,0,0.8,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.3,Fulham,,4,1
Sun,Y,61.5,2,1,4,2023-12-17,1,Matchweek 17,0.1,3,"FW,RM",0,1,0,Premier League,1,,0,0,26,0,16,Home,26,90,W 3–0,0,39,1,1,0.1,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Wolves,,2,2
Sat,Y,73.3,3,3,2,2023-12-23,1,Matchweek 18,0.9,4,FW,0,0,0,Premier League,2,,0,0,15,0,11,Home,16,87,W 2–0,0,28,3,1,0.9,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Manchester Utd,,4,0
Thu,Y,87.5,2,0,1,2023-12-28,0,Matchweek 19,0.0,0,FW,1,0,0,Premier League,0,,0,0,16,0,14,Away,16,90,W 2–0,1,28,0,2,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.4,Arsenal,,2,1
Tue,Y,56.5,1,0,4,2024-01-02,0,Matchweek 20,0.0,0,"FW,RW",1,0,0,Premier League,1,,0,0,23,0,13,Home,22,90,D 0–0,0,28,3,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.1,Brighton,,6,1
Sun,Y,64.7,2,0,2,2024-01-21,0,Matchweek 21,0.4,4,"FW,RM",1,0,0,Premier League,1,,0,0,17,0,11,Away,23,90,D 2–2,0,32,2,0,0.4,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Sheffield Utd,,1,0
Thu,Y,68.0,1,1,5,2024-02-01,0,Matchweek 22,0.3,3,"FW,LW",3,0,0,Premier League,2,,1,0,25,0,17,Home,24,90,D 1–1,0,37,0,0,0.3,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Bournemouth,,1,0
Sun,Y,81.0,3,0,4,2024-02-04,0,Matchweek 23,0.2,2,FW,0,1,0,Premier League,0,,0,0,21,0,17,Away,21,90,L 0–3,0,30,3,0,0.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.1,Manchester Utd,,1,0
Sun,Y,76.9,0,0,1,2024-02-11,0,Matchweek 24,0.1,2,FW,0,0,0,Premier League,3,,0,0,13,0,10,Home,9,90,L 0–6,0,19,1,0,0.1,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.1,Arsenal,,1,0
Sat,Y,61.9,1,1,3,2024-02-17,0,Matchweek 25,0.1,2,"RW,FW",0,0,0,Premier League,1,,0,0,21,0,13,Away,22,90,L 0–2,0,30,1,0,0.1,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Nott'ham Forest,,1,1
Mon,Y,76.9,5,3,2,2024-02-26,3,Matchweek 26,0.8,3,"FW,LW",0,1,0,Premier League,0,,0,0,26,0,20,Home,20,90,W 4–2,0,39,1,0,0.8,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Brentford,,1,0
Sat,Y,72.2,2,0,4,2024-03-02,0,Matchweek 27,0.0,0,"FW,RW",0,0,0,Premier League,0,,0,0,18,0,13,Away,12,90,W 3–1,1,24,3,1,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.6,Everton,,2,0
Sun,Y,57.7,4,0,6,2024-03-10,0,Matchweek 28,0.2,2,FW,1,2,0,Premier League,1,,0,0,26,0,15,Home,22,90,D 2–2,0,37,2,0,0.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.3,Burnley,,4,1
Sun,Y,61.9,5,0,2,2024-03-17,0,Matchweek 29,0.0,0,"RW,FW",0,2,0,Premier League,3,,0,0,21,0,13,Home,11,90,D 1–1,0,29,1,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.2,Aston Villa,,4,0
Sat,Y,56.5,5,2,2,2024-03-30,1,Matchweek 30,0.3,3,RW,2,1,0,Premier League,3,,0,0,23,0,13,Away,16,90,L 3–4,1,40,0,0,0.3,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.2,Newcastle Utd,,0,0
Tue,Y,70.4,6,0,2,2024-04-02,0,Matchweek 31,0.2,2,RW,1,1,0,Premier League,0,,0,0,27,0,19,Home,25,90,D 1–1,1,41,3,1,0.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.5,Tottenham,,6,1
Sat,Y,71.4,2,0,1,2024-04-06,0,Matchweek 32,0.0,0,"FW,RW",1,0,0,Premier League,2,,0,0,7,0,5,Away,8,53,W 2–1,0,13,0,0,0.0,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Wolves,,0,0
Sat,Y,41.7,4,3,5,2024-04-27,1,Matchweek 35,0.2,3,RW,1,2,0,Premier League,1,,0,0,12,0,5,Home,21,90,D 2–2,1,27,1,1,0.2,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.3,Liverpool,,3,1
Sun,Y,73.1,3,0,1,2024-05-05,0,Matchweek 36,0.3,4,"RW,LW",1,0,0,Premier League,2,,0,0,26,0,19,Away,20,90,L 0–5,0,38,1,0,0.3,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.0,Chelsea,,1,0
Sat,Y,70.8,4,2,6,2024-05-11,0,Matchweek 37,1.4,7,"RW,FW",1,3,0,Premier League,0,,0,0,24,0,17,Home,30,90,W 3–1,0,38,2,0,1.4,"<a href=""/en/squads/7c21e445/2023-2024/West-Ham-United-Stats"">West Ham</a>",0.6,Luton Town,,2,0
