dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-08-13,Chelsea,,,
Sat,N,84.6,0,0,0,0,Matchweek 2,0.0,0,RB,0,0,0,Premier League,0,,0.0,0,0,13,0,11,Home,2,16,W 3–1,0,15,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-08-19,Bournemouth,,0,1
Sun,N,90.0,0,0,0,0,Matchweek 3,0.0,1,CB,1,0,0,Premier League,0,,0.0,0,0,30,0,27,Away,23,58,W 2–1,0,41,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-08-27,Newcastle Utd,,1,1
Sun,Y,94.5,2,0,0,0,Matchweek 4,0.1,1,"CB,RB",1,0,0,Premier League,1,,0.0,0,0,109,0,103,Home,95,90,W 3–0,0,118,4,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-09-03,Aston Villa,,2,2
Sat,Y,85.0,1,0,1,0,Matchweek 5,0.0,0,RB,0,0,0,Premier League,3,,0.0,0,0,80,0,68,Away,48,90,W 3–1,0,90,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-09-16,Wolves,,2,1
Sun,Y,84.1,3,0,2,0,Matchweek 6,0.0,0,RB,2,2,0,Premier League,3,,0.1,0,0,69,0,58,Home,53,90,W 3–1,0,84,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-09-24,West Ham,,3,2
Sat,Y,70.5,1,0,2,0,Matchweek 7,0.0,0,RB,0,1,0,Premier League,2,,0.0,0,0,44,0,31,Away,30,72,L 1–2,0,51,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-09-30,Tottenham,,0,0
Sun,N,85.7,0,0,0,0,Matchweek 8,0.0,0,RB,0,0,0,Premier League,2,,0.0,1,0,7,0,6,Away,5,11,D 2–2,0,9,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-10-08,Brighton,,1,0
Sat,N,95.0,0,0,4,0,Matchweek 9,0.1,2,LB,0,0,0,Premier League,1,,0.0,0,0,20,0,19,Home,17,10,W 2–0,0,24,2,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-10-21,Everton,,2,0
Sun,N,100.0,0,0,0,0,Matchweek 10,0.0,0,RB,0,0,0,Premier League,0,,0.0,0,0,3,0,3,Home,2,2,W 3–0,0,3,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-10-29,Nott'ham Forest,,0,0
Sun,Y,87.0,1,0,0,0,Matchweek 11,0.1,1,LB,0,0,0,Premier League,5,,0.0,0,0,54,0,47,Away,38,66,D 1–1,0,62,1,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-11-05,Luton Town,,4,0
Sat,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-11-25,Manchester City,,,
Sun,N,87.0,0,0,1,0,Matchweek 14,0.0,0,"CM,RB",2,0,0,Premier League,0,,0.0,0,0,23,0,20,Home,15,26,W 4–3,0,25,3,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-03,Fulham,,2,1
Wed,Y,76.8,3,0,3,0,Matchweek 15,0.0,1,LB,1,1,0,Premier League,1,,0.0,0,0,69,0,53,Away,40,90,W 2–0,0,82,3,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-06,Sheffield Utd,,0,1
Sat,N,83.0,4,0,4,0,Matchweek 16,0.0,0,RB,1,2,0,Premier League,1,,0.1,1,0,47,0,39,Away,40,45,W 2–1,0,51,2,2,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-09,Crystal Palace,,3,0
Sun,N,86.4,0,0,0,0,Matchweek 17,0.1,2,RB,1,0,0,Premier League,0,,0.0,0,0,22,0,19,Home,14,30,D 0–0,0,24,1,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-17,Manchester Utd,,1,0
Sat,N,62.5,0,1,1,0,Matchweek 18,0.1,2,LB,1,0,0,Premier League,6,,0.0,0,0,32,0,20,Home,15,56,D 1–1,0,45,1,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-23,Arsenal,,2,1
Tue,Y,67.8,5,0,3,0,Matchweek 19,0.0,1,LB,1,3,0,Premier League,3,,0.0,0,0,59,0,40,Away,27,90,W 2–0,0,71,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2023-12-26,Burnley,,1,1
Mon,Y,83.7,3,0,2,0,Matchweek 20,0.0,0,LB,3,1,0,Premier League,1,,0.0,0,0,49,0,41,Home,32,90,W 4–2,0,62,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2024-01-01,Newcastle Utd,,1,1
Sun,Y,79.7,2,0,2,0,Matchweek 21,0.0,1,"LB,RB",0,1,0,Premier League,1,,0.3,0,0,64,0,51,Away,41,90,W 4–0,1,76,4,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",2024-01-21,Bournemouth,,2,0
