dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-07,Luton Town,,,
Mon,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-23,Fulham,,,
Fri,N,100.0,0,0,0,0,Matchweek 10,0.0,0,AM,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Away,3,2,W 2–1,0,3,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-27,Crystal Palace,,0,0
Mon,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–4,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-06,Chelsea,,,
Sat,N,87.5,0,0,0,0,Matchweek 12,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,8,0,7,Away,10,16,L 1–2,0,9,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-11,Wolves,,0,0
Sun,Y,83.3,4,1,1,0,Matchweek 13,0.1,1,LW,1,3,0,Premier League,0,,0.0,0,0,54,0,45,Home,42,70,L 1–2,0,61,5,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-26,Aston Villa,,3,0
Sun,Y,78.6,1,0,2,0,Matchweek 14,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,14,0,11,Away,10,45,D 3–3,0,19,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-03,Manchester City,,0,1
Thu,N,100.0,0,0,0,0,Matchweek 15,0.0,0,LM,0,0,0,Premier League,0,,0.0,0,0,6,0,6,Home,5,7,L 1–2,0,6,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-07,West Ham,,1,0
Sun,N,71.4,2,0,1,0,Matchweek 16,0.0,0,"DM,RW",0,2,0,Premier League,1,,0.0,0,0,7,0,5,Home,8,5,W 4–1,0,8,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-10,Newcastle Utd,,0,0
Fri,N,,,,,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-15,Nott'ham Forest,,,
Sat,N,,,,,,Matchweek 18,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-23,Everton,,,
Thu,N,76.0,1,0,4,0,Matchweek 19,0.0,1,LW,0,1,0,Premier League,0,,0.1,0,0,25,0,19,Away,21,26,L 2–4,0,29,3,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-28,Brighton,,3,0
Sun,N,83.3,1,0,0,0,Matchweek 20,0.6,1,"RM,FW,RW",1,0,0,Premier League,0,,0.0,0,0,6,0,5,Home,4,9,W 3–1,0,13,0,0,0.6,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-31,Bournemouth,,0,0
Sun,N,76.9,0,0,1,0,Matchweek 21,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,13,0,10,Away,12,11,D 2–2,0,15,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-01-14,Manchester Utd,,0,2
Wed,N,,,,,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-01-31,Brentford,,,
Sat,N,60.0,1,0,0,0,Matchweek 23,0.0,0,"LM,LW",1,1,0,Premier League,0,,0.0,0,0,5,0,3,Away,4,5,D 2–2,0,7,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-02-03,Everton,,0,0
Sat,N,,,,,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-02-17,Wolves,,,
Sat,N,,,,,,Matchweek 33,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–4,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-13,Newcastle Utd,,,
Sun,N,,,,,,Matchweek 35,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-04-28,Arsenal,,,
Thu,N,82.4,1,0,2,0,Matchweek 26,0.0,1,LW,0,1,0,Premier League,0,,0.1,0,0,17,0,14,Away,18,13,L 0–2,0,21,5,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-05-02,Chelsea,,2,0
Sun,N,,,,,,Matchweek 36,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 2–4,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-05-05,Liverpool,,,
Sat,N,,,,,,Matchweek 37,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-05-11,Burnley,,,
Tue,N,,,,,,Matchweek 34,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-05-14,Manchester City,,,
Sun,N,,,,,,Matchweek 38,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2024-05-19,Sheffield Utd,,,
