dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-16,Sheffield Utd,,,
Sun,N,94.7,0,2,2,1,Matchweek 18,0.8,4,CM,0,0,0,Premier League,0,,0.0,0,0,19,0,18,Away,19,32,L 1–2,0,26,3,0,0.8,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-24,Wolves,,1,0
Wed,Y,88.5,2,0,2,0,Matchweek 19,0.0,1,"AM,RW",1,0,0,Premier League,0,,0.1,0,0,26,0,23,Home,29,70,W 2–1,0,32,3,1,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-27,Crystal Palace,,4,0
Sat,N,75.0,0,0,0,0,Matchweek 20,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,4,0,3,Away,0,29,W 3–2,0,4,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2023-12-30,Luton Town,,0,0
Wed,N,92.3,0,1,0,1,Matchweek 22,0.2,1,FW,0,0,0,Premier League,0,,0.0,0,0,13,0,12,Away,7,45,L 1–4,0,19,1,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-01-31,Liverpool,,0,0
Sun,Y,92.3,2,1,2,0,Matchweek 23,0.5,2,FW,1,1,0,Premier League,0,,0.0,0,0,13,0,12,Home,12,71,L 2–4,0,23,2,0,0.5,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-02-04,Wolves,,3,1
Mon,N,80.0,0,0,1,0,Matchweek 24,0.0,1,FW,0,0,0,Premier League,2,,0.0,0,0,20,0,16,Away,11,45,W 3–1,0,25,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-02-12,Crystal Palace,,0,0
Sat,N,75.0,0,1,0,0,Matchweek 25,0.2,2,FW,1,0,0,Premier League,0,,0.0,0,0,4,0,3,Away,4,27,D 1–1,0,10,0,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-02-17,Manchester City,,1,1
Sun,N,89.5,0,0,0,0,Matchweek 36,0.0,0,"AM,LW",0,0,0,Premier League,0,,0.0,0,0,19,0,17,Home,7,15,W 5–0,0,20,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-05-05,West Ham,,1,0
Sat,N,88.9,0,0,1,0,Matchweek 37,0.1,1,FW,0,0,0,Premier League,1,,0.0,0,0,18,0,16,Away,20,33,W 3–2,0,22,1,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-05-11,Nott'ham Forest,,1,0
Wed,N,78.6,3,1,1,1,Matchweek 34,0.3,2,"LW,FW",1,1,0,Premier League,2,,0.1,0,0,28,0,22,Away,20,49,W 2–1,0,38,4,0,0.3,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-05-15,Brighton,,1,0
Sun,N,89.5,1,1,1,0,Matchweek 38,0.1,2,LW,0,0,0,Premier League,0,,0.0,0,0,19,0,17,Home,15,27,W 2–1,0,25,5,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",2024-05-19,Bournemouth,,1,0
