dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,84.4,0,1,2,2023-08-12,0,Matchweek 1,0.1,1,CM,1,0,0,Premier League,0,,0,0,32,0,27,Home,25,90,L 0–1,0,38,4,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",1.1,Fulham,,5,1
Sun,Y,83.3,0,0,0,2023-08-20,0,Matchweek 2,0.0,0,"CM,DM",3,0,0,Premier League,1,,0,0,42,0,35,Away,32,90,L 0–4,0,53,5,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Aston Villa,,0,0
Sat,Y,83.8,1,0,0,2023-08-26,0,Matchweek 3,0.1,1,CM,0,1,0,Premier League,4,,0,0,37,0,31,Home,26,90,L 0–1,0,44,6,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.2,Wolves,,2,1
Sat,Y,78.7,0,0,3,2023-09-02,0,Matchweek 4,0.0,1,CM,1,0,0,Premier League,2,,0,0,47,0,37,Away,34,90,D 2–2,0,55,6,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.8,Sheffield Utd,,3,0
Sun,Y,80.8,0,0,0,2023-09-17,0,Matchweek 5,0.0,0,CM,0,0,0,Premier League,2,,0,0,26,0,21,Home,19,90,L 0–1,0,30,2,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Arsenal,,3,0
Sat,Y,85.7,0,0,0,2023-09-23,0,Matchweek 6,0.1,2,CM,1,0,0,Premier League,6,,0,0,56,0,48,Away,33,76,W 3–1,0,69,5,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Brentford,,4,1
Sat,Y,82.6,7,1,2,2023-09-30,0,Matchweek 7,0.5,3,CM,1,2,0,Premier League,3,,0,0,86,0,71,Home,49,90,L 1–2,0,104,8,0,0.5,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Luton Town,,6,1
Sat,Y,86.7,2,1,0,2023-10-07,0,Matchweek 8,0.2,3,CM,0,0,0,Premier League,4,,0,0,45,0,39,Home,29,90,W 3–0,0,55,7,0,0.2,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Bournemouth,,5,0
Sat,Y,75.0,1,0,0,2023-10-21,0,Matchweek 9,0.0,2,CM,0,0,0,Premier League,0,,0,0,16,0,12,Away,8,79,L 0–2,0,27,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Liverpool,,0,1
Sun,Y,87.2,3,0,2,2023-10-29,0,Matchweek 10,0.1,1,CM,2,1,0,Premier League,6,,0,0,47,0,41,Away,32,90,W 1–0,0,63,5,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,West Ham,,2,0
