dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sun,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-13,Brentford,,,
Sat,N,92.0,1,0,0,0,Matchweek 2,0.0,0,DM,2,1,0,Premier League,0,,0.0,0,0,25,0,23,Home,17,15,W 2–0,0,27,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-19,Manchester Utd,,0,0
Sat,N,93.0,2,0,0,0,Matchweek 3,0.0,0,DM,1,1,0,Premier League,1,,0.0,0,0,43,0,40,Away,36,31,W 2–0,0,47,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-08-26,Bournemouth,,0,0
Sat,N,88.2,0,0,0,0,Matchweek 4,0.0,0,"DM,RM",0,0,0,Premier League,0,,0.0,1,0,17,0,15,Away,10,23,W 5–2,0,20,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-02,Burnley,,0,0
Sat,N,83.3,0,0,0,0,Matchweek 5,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,6,0,5,Home,4,1,W 2–1,0,6,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-16,Sheffield Utd,,0,0
Sun,N,73.3,0,0,0,0,Matchweek 6,0.0,0,LM,0,0,0,Premier League,0,,0.0,0,0,15,0,11,Away,11,13,D 2–2,0,15,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-24,Arsenal,,0,0
Sat,N,100.0,0,0,0,0,Matchweek 7,0.0,1,DM,0,0,0,Premier League,0,,0.0,0,0,13,0,13,Home,11,1,W 2–1,0,14,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-30,Liverpool,,2,0
Sat,N,75.0,0,0,0,0,Matchweek 8,0.0,1,"DM,CM",1,0,0,Premier League,1,,0.0,1,0,28,0,21,Away,16,45,W 1–0,0,36,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-07,Luton Town,,0,1
Mon,Y,93.8,0,1,1,0,Matchweek 9,0.0,1,DM,0,0,0,Premier League,1,,0.0,1,0,81,0,76,Home,61,90,W 2–0,0,87,10,1,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-23,Fulham,,1,2
Fri,N,91.4,1,0,0,0,Matchweek 10,0.0,0,DM,1,1,0,Premier League,0,,0.0,0,0,35,0,32,Away,27,27,W 2–1,0,37,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-27,Crystal Palace,,0,0
