dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-08-12,Everton,,,
Sat,N,,,,,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–3,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-08-19,Brentford,,,
Sat,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-08-26,Arsenal,,,
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–5,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-02,Manchester City,,,
Sat,N,62.5,0,1,0,1,Matchweek 5,0.3,1,FW,1,0,0,Premier League,1,,0.0,0,0,8,0,5,Home,5,29,W 1–0,0,13,0,0,0.3,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-16,Luton Town,,1,0
Sat,N,100.0,0,0,0,0,Matchweek 6,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,1,0,1,Away,1,12,D 0–0,0,1,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-09-23,Crystal Palace,,1,0
Mon,N,100.0,1,1,1,0,Matchweek 7,0.2,3,FW,1,0,0,Premier League,0,,0.1,0,0,2,0,2,Home,5,38,L 0–2,0,10,0,0,0.2,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-02,Chelsea,,1,0
Sat,Y,66.7,1,1,1,0,Matchweek 8,0.0,1,FW,0,1,0,Premier League,0,,0.5,0,0,18,0,12,Home,19,77,W 3–1,0,24,2,1,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-07,Sheffield Utd,,5,0
Mon,Y,42.9,2,0,0,0,Matchweek 9,0.1,1,FW,1,1,0,Premier League,0,,0.0,0,0,7,0,3,Away,9,45,L 0–2,0,13,0,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-10-23,Tottenham,,0,0
Sat,N,100.0,1,0,0,0,Matchweek 11,0.0,0,FW,0,0,0,Premier League,2,,0.0,0,0,2,0,2,Home,3,15,L 0–1,0,4,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-04,Manchester Utd,,0,0
Sun,N,100.0,0,0,0,0,Matchweek 12,0.0,0,FW,0,0,0,Premier League,0,,0.0,1,0,2,0,2,Away,2,17,L 1–3,0,2,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-12,Aston Villa,,0,0
Mon,N,75.0,1,0,0,0,Matchweek 13,0.0,0,FW,1,0,0,Premier League,0,,0.0,1,0,4,0,3,Home,4,15,W 3–2,0,9,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-11-27,Wolves,,0,0
Sun,N,0.0,1,0,0,0,Matchweek 14,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,1,0,0,Away,3,1,L 3–4,0,4,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-12-03,Liverpool,,0,0
Wed,N,100.0,0,0,0,0,Matchweek 15,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Home,2,12,W 5–0,0,2,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",2023-12-06,Nott'ham Forest,,0,0
