dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,75.0,3,3,2,2023-08-12,2,Matchweek 1,0.8,3,FW,0,1,0,Premier League,0,,0,0,16,0,12,Home,16,67,W 5–1,0,24,1,0,0.8,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Aston Villa,,1,0
Sat,Y,80.0,2,0,1,2023-08-19,0,Matchweek 2,0.0,0,FW,0,1,0,Premier League,0,,0,0,10,0,8,Away,9,65,L 0–1,0,13,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,2,0
Sun,Y,80.0,0,1,0,2023-08-27,0,Matchweek 3,0.2,1,FW,0,0,0,Premier League,0,,0,0,5,0,4,Home,6,71,L 1–2,0,7,1,0,0.2,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Liverpool,,2,0
Sat,Y,68.8,6,0,3,2023-09-02,0,Matchweek 4,0.4,4,"FW,LW",0,5,0,Premier League,0,,0,0,16,0,11,Away,19,73,L 1–3,0,25,2,0,0.4,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brighton,,2,0
Sat,N,,,,,2023-09-16,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",,Brentford,,,
Sun,N,87.5,1,1,1,2023-09-24,1,Matchweek 6,0.6,1,FW,0,1,0,Premier League,1,,0,0,8,0,7,Away,10,21,W 8–0,0,13,1,1,0.6,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Sheffield Utd,,1,0
Sat,Y,90.0,2,3,2,2023-09-30,1,Matchweek 7,1.0,5,FW,1,0,1,Premier League,0,,0,1,10,0,9,Home,10,89,W 2–0,0,22,2,0,1.8,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Burnley,,4,0
Sun,Y,81.0,7,2,4,2023-10-08,2,Matchweek 8,1.6,3,"FW,RW",1,4,0,Premier League,0,,0,0,21,0,17,Away,18,85,D 2–2,0,29,0,0,1.6,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,West Ham,,2,0
Sat,N,83.3,0,0,0,2023-10-21,0,Matchweek 9,0.0,0,FW,0,0,0,Premier League,0,,0,0,6,0,5,Home,5,21,W 4–0,0,6,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Crystal Palace,,1,0
Sat,Y,75.0,1,1,1,2023-11-25,1,Matchweek 13,0.6,1,FW,0,0,0,Premier League,0,,0,0,12,0,9,Home,9,80,W 4–1,0,15,1,0,0.6,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Chelsea,,1,0
Sat,Y,84.6,2,0,4,2023-12-02,0,Matchweek 14,0.3,3,FW,0,1,0,Premier League,0,,0,0,39,0,33,Home,31,90,W 1–0,0,47,5,0,0.3,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Manchester Utd,,1,0
Thu,Y,62.5,1,0,3,2023-12-07,0,Matchweek 15,0.5,2,FW,0,1,0,Premier League,0,,0,0,16,0,10,Away,11,90,L 0–3,0,24,2,0,0.5,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Everton,,2,1
Sun,Y,85.7,1,0,0,2023-12-10,0,Matchweek 16,0.8,1,FW,0,1,0,Premier League,0,,0,0,14,0,12,Away,7,63,L 1–4,0,19,1,0,0.8,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Tottenham,,1,1
Sat,N,80.0,2,0,2,2023-12-23,0,Matchweek 18,0.0,0,AM,0,2,0,Premier League,1,,0,0,20,0,16,Away,14,53,L 0–1,0,25,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Luton Town,,3,1
Tue,Y,77.4,7,4,7,2023-12-26,1,Matchweek 19,0.6,5,"FW,LW",1,4,1,Premier League,0,,0,1,31,0,24,Home,27,90,L 1–3,0,43,3,1,1.4,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Nott'ham Forest,,9,0
Mon,Y,69.2,3,1,2,2024-01-01,1,Matchweek 20,0.3,1,FW,0,1,0,Premier League,1,,0,0,13,0,9,Away,9,90,L 2–4,0,20,3,0,0.3,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Liverpool,,1,0
Sat,Y,70.0,0,3,2,2024-01-13,1,Matchweek 21,0.8,5,FW,3,0,0,Premier League,0,,0,0,10,0,7,Home,7,90,L 2–3,0,25,1,0,0.8,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,0,0
Tue,Y,100.0,1,0,1,2024-01-30,0,Matchweek 22,0.0,1,FW,0,1,0,Premier League,0,,0,0,5,0,5,Away,7,42,W 3–1,0,7,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Aston Villa,,1,0
Sat,Y,77.8,1,0,2,2024-02-24,0,Matchweek 26,0.0,1,FW,0,1,0,Premier League,0,,0,0,9,0,7,Away,8,63,L 1–4,0,14,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,1,0
Sat,Y,61.1,2,2,0,2024-03-02,1,Matchweek 27,0.7,2,FW,1,0,0,Premier League,0,,0,0,18,0,11,Home,9,69,W 3–0,0,25,4,0,0.7,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Wolves,,0,0
Mon,Y,77.3,5,1,2,2024-03-11,1,Matchweek 28,0.1,3,FW,0,2,0,Premier League,0,,0,0,22,0,17,Away,20,90,L 2–3,0,29,2,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Chelsea,,2,0
Sat,Y,83.3,0,0,3,2024-03-30,2,Matchweek 30,0.3,2,FW,3,0,2,Premier League,0,,1,2,30,0,25,Home,25,90,W 4–3,1,39,10,1,1.9,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.6,West Ham,,3,0
