dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,94.4,3,0,1,2023-08-13,0,Matchweek 1,0.0,2,CB,0,2,0,Premier League,2,,0,0,71,0,67,Away,62,90,D 2–2,0,83,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brentford,,0,0
Sat,Y,93.3,2,0,2,2023-08-19,0,Matchweek 2,0.0,0,CB,1,1,0,Premier League,1,,0,0,60,0,56,Home,52,90,W 2–0,0,66,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Manchester Utd,,1,1
Sat,Y,94.5,1,0,0,2023-08-26,0,Matchweek 3,0.0,0,CB,1,1,0,Premier League,2,,0,0,73,0,69,Away,60,90,W 2–0,0,83,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Bournemouth,,0,1
Sat,Y,91.7,1,0,1,2023-09-02,0,Matchweek 4,0.0,0,CB,2,1,0,Premier League,0,,0,0,72,0,66,Away,50,90,W 5–2,0,79,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Burnley,,0,0
Sat,Y,97.0,1,0,0,2023-09-16,0,Matchweek 5,0.0,0,CB,0,0,0,Premier League,3,,1,0,67,0,65,Home,48,89,W 2–1,0,75,6,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Sheffield Utd,,1,0
Sun,Y,94.2,1,0,0,2023-09-24,0,Matchweek 6,0.0,0,CB,0,0,0,Premier League,1,,0,0,52,0,49,Away,34,90,D 2–2,0,57,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Arsenal,,0,1
Sat,Y,98.1,0,0,1,2023-09-30,0,Matchweek 7,0.0,0,CB,1,0,0,Premier League,2,,0,0,54,0,53,Home,38,90,W 2–1,0,59,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Liverpool,,0,0
Sat,Y,94.1,0,1,2,2023-10-07,1,Matchweek 8,0.2,2,CB,2,0,0,Premier League,2,,0,0,68,0,64,Away,56,90,W 1–0,0,77,8,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Luton Town,,0,0
Mon,Y,92.4,1,0,2,2023-10-23,0,Matchweek 9,0.1,1,CB,0,0,0,Premier League,2,,0,0,66,0,61,Home,55,90,W 2–0,0,78,6,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Fulham,,0,1
Fri,Y,99.0,3,0,0,2023-10-27,0,Matchweek 10,0.0,0,CB,0,1,0,Premier League,2,,0,0,97,0,96,Away,88,90,W 2–1,0,104,5,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Crystal Palace,,0,0
Mon,Y,82.6,0,0,0,2023-11-06,0,Matchweek 11,0.0,0,CB,0,0,0,Premier League,1,,0,0,23,0,19,Home,15,44,L 1–4,0,25,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Chelsea,,0,0
Sun,Y,96.8,0,0,1,2024-01-14,0,Matchweek 21,0.0,0,CB,1,0,0,Premier League,1,,0,0,62,0,60,Away,42,88,D 2–2,0,68,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Manchester Utd,,1,0
Wed,Y,98.2,2,0,0,2024-01-31,0,Matchweek 22,0.0,0,CB,1,1,0,Premier League,2,,0,0,56,0,55,Home,42,90,W 3–2,0,65,6,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brentford,,0,1
Sat,Y,90.3,0,0,0,2024-02-03,0,Matchweek 23,0.0,0,CB,1,0,0,Premier League,3,,0,0,62,0,56,Away,49,90,D 2–2,0,75,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Everton,,0,1
Sat,Y,97.4,0,0,0,2024-02-10,0,Matchweek 24,0.0,0,CB,1,0,0,Premier League,1,,0,0,78,0,76,Home,64,90,W 2–1,0,86,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Brighton,,2,2
Sat,Y,98.1,1,0,0,2024-02-17,0,Matchweek 25,0.0,0,CB,0,1,0,Premier League,2,,0,0,103,0,101,Home,90,90,L 1–2,0,106,9,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Wolves,,1,4
Sat,Y,94.1,2,0,0,2024-03-02,0,Matchweek 27,0.0,0,CB,0,2,0,Premier League,3,,0,0,101,0,95,Home,87,90,W 3–1,0,108,8,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Crystal Palace,,0,0
Sun,Y,98.3,2,0,1,2024-03-10,0,Matchweek 28,0.0,0,CB,1,1,0,Premier League,1,,0,0,58,0,57,Away,50,48,W 4–0,0,66,4,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Aston Villa,,0,1
Sat,N,,,,,2024-03-30,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",,Luton Town,,,
Tue,Y,95.6,0,0,1,2024-04-02,0,Matchweek 31,0.0,0,CB,0,0,0,Premier League,3,,1,0,68,0,65,Away,54,90,D 1–1,0,75,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,West Ham,,0,0
Sun,Y,94.4,0,1,1,2024-04-07,1,Matchweek 32,0.1,1,CB,2,0,0,Premier League,5,,0,0,71,0,67,Home,53,90,W 3–1,0,82,8,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Nott'ham Forest,,0,1
Sat,Y,94.5,0,0,0,2024-04-13,0,Matchweek 33,0.0,0,CB,1,0,0,Premier League,1,,1,0,55,0,52,Away,40,90,L 0–4,0,61,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Newcastle Utd,,0,2
