dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,Y,82.4,0,0,0,2023-08-14,0,Matchweek 1,0.0,0,GK,0,0,0,Premier League,0,,0,0,34,0,28,Away,21,90,L 0–1,0,35,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Manchester Utd,,0,0
Sat,Y,72.7,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,GK,0,0,0,Premier League,0,,0,0,44,0,32,Home,42,90,L 1–4,0,45,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Brighton,,0,0
Sat,Y,86.0,0,0,0,2023-08-26,0,Matchweek 3,0.0,0,GK,0,0,0,Premier League,0,,0,0,50,0,43,Away,38,90,W 1–0,0,57,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Everton,,1,0
Sun,Y,77.1,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,GK,0,0,0,Premier League,0,,0,0,35,0,27,Away,25,90,L 2–3,0,38,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Crystal Palace,,0,0
Sat,Y,50.0,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,GK,0,0,0,Premier League,0,,0,0,26,0,13,Home,20,90,L 1–3,0,28,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Liverpool,,0,0
Sat,Y,45.5,0,0,0,2023-09-23,0,Matchweek 6,0.0,0,GK,0,0,0,Premier League,0,,0,0,44,0,20,Away,28,90,D 1–1,0,48,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Luton Town,,0,0
Sat,Y,57.6,0,0,0,2023-09-30,0,Matchweek 7,0.0,0,GK,1,0,0,Premier League,0,,1,0,33,0,19,Home,21,90,W 2–1,0,39,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Manchester City,,1,0
Sun,Y,78.9,0,0,0,2023-10-08,0,Matchweek 8,0.0,0,GK,0,0,0,Premier League,0,,0,0,19,0,15,Home,8,90,D 1–1,0,22,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Aston Villa,,0,0
Sat,Y,72.4,0,0,0,2023-10-21,0,Matchweek 9,0.0,0,GK,0,0,0,Premier League,0,,0,0,29,0,21,Away,20,90,W 2–1,0,29,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Bournemouth,,0,0
Sat,Y,66.7,0,0,0,2023-10-28,0,Matchweek 10,0.0,0,GK,0,0,0,Premier League,0,,0,0,24,0,16,Home,14,90,D 2–2,0,28,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Newcastle Utd,,0,0
