dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Fri,Y,80.0,1,0,1,2023-08-11,0,Matchweek 1,0.0,0,LB,2,0,0,Premier League,0,,0,0,25,0,20,Home,14,90,L 0–3,0,31,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Manchester City,,2,1
Sun,N,,,,,2023-08-27,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–3,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",,Aston Villa,,,
Sat,N,77.8,1,0,2,2023-09-30,0,Matchweek 7,0.0,1,RB,0,1,0,Premier League,0,,0,0,9,0,7,Away,8,3,L 0–2,0,10,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Newcastle Utd,,1,0
Tue,N,,,,,2023-10-03,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",,Luton Town,,,
Sat,Y,80.0,2,0,3,2023-10-07,0,Matchweek 8,0.0,0,RB,0,0,0,Premier League,0,,0,0,15,0,12,Home,16,60,L 1–4,0,24,2,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Chelsea,,1,1
Sat,Y,81.1,0,0,3,2023-10-28,0,Matchweek 10,0.0,0,RB,3,0,0,Premier League,0,,0,0,74,0,60,Away,49,90,L 1–2,0,81,8,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Bournemouth,,2,0
Sat,Y,72.1,2,0,4,2023-11-04,0,Matchweek 11,0.0,0,RB,0,1,0,Premier League,2,,0,0,68,0,49,Home,38,90,L 0–2,0,77,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Crystal Palace,,2,0
Sat,Y,74.2,0,0,0,2023-11-11,0,Matchweek 12,0.0,0,RB,0,0,0,Premier League,3,,0,0,31,0,23,Away,15,87,L 1–3,0,37,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Arsenal,,1,0
Sat,Y,66.7,1,0,1,2023-11-25,0,Matchweek 13,0.0,1,RB,1,1,0,Premier League,1,,0,0,45,0,30,Home,19,90,L 1–2,0,50,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,West Ham,,1,0
Sat,Y,78.6,4,0,7,2023-12-02,0,Matchweek 14,0.2,2,RB,1,3,0,Premier League,2,,0,0,70,0,55,Home,44,90,W 5–0,0,78,6,2,0.2,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Sheffield Utd,,5,0
Tue,Y,70.3,4,0,1,2023-12-05,0,Matchweek 15,0.1,2,RB,1,1,0,Premier League,4,,0,0,37,0,26,Away,16,89,L 0–1,0,50,3,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Wolves,,1,1
Sat,Y,76.5,1,0,4,2023-12-09,0,Matchweek 16,0.0,0,RB,1,1,0,Premier League,6,,0,0,34,0,26,Away,24,90,D 1–1,0,47,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brighton,,0,0
Sat,Y,75.5,1,0,1,2023-12-16,0,Matchweek 17,0.0,0,RB,3,1,0,Premier League,1,,0,0,49,0,37,Home,31,86,L 0–2,0,56,9,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Everton,,3,1
Sat,Y,76.9,2,0,1,2023-12-23,0,Matchweek 18,0.0,0,"RB,RM",1,1,0,Premier League,5,,0,0,39,0,30,Away,28,90,W 2–0,0,57,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Fulham,,1,0
Tue,Y,73.5,0,0,0,2023-12-26,0,Matchweek 19,0.0,0,RB,1,0,0,Premier League,3,,0,0,34,0,25,Home,17,90,L 0–2,0,44,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Liverpool,,1,0
Sat,Y,69.0,2,0,0,2023-12-30,0,Matchweek 20,0.0,0,RB,3,1,0,Premier League,2,,0,0,29,0,20,Away,17,90,L 2–3,0,39,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Aston Villa,,3,2
Fri,Y,70.6,4,1,1,2024-01-12,0,Matchweek 21,0.1,2,"RB,LM",2,3,0,Premier League,5,,0,0,34,0,24,Home,17,90,D 1–1,0,52,2,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Luton Town,,2,1
Wed,Y,76.0,1,0,1,2024-01-31,0,Matchweek 22,0.0,0,RB,0,0,0,Premier League,8,,0,0,25,0,19,Away,15,90,L 1–3,0,39,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester City,,0,2
Sat,Y,60.8,3,0,2,2024-02-03,0,Matchweek 23,0.0,1,LB,3,1,0,Premier League,1,,0,0,51,0,31,Home,34,86,D 2–2,0,65,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Fulham,,3,1
Sat,N,28.6,1,0,1,2024-02-10,0,Matchweek 24,0.0,0,LB,0,0,0,Premier League,0,,0,0,7,0,2,Away,5,11,L 1–3,0,9,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Liverpool,,0,0
Sat,N,75.0,1,0,2,2024-02-17,0,Matchweek 25,0.0,1,RB,0,1,0,Premier League,1,,0,0,8,0,6,Home,7,12,L 0–5,0,10,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Arsenal,,1,0
Sat,N,68.8,2,0,3,2024-02-24,0,Matchweek 26,0.0,0,LB,0,2,0,Premier League,0,,0,0,16,0,11,Away,8,16,L 0–3,0,16,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Crystal Palace,,0,0
Sun,Y,42.9,1,0,4,2024-03-03,0,Matchweek 27,0.6,3,RM,2,1,0,Premier League,0,,1,0,28,0,12,Home,27,75,L 0–2,0,38,1,0,0.6,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Bournemouth,,2,0
Sun,Y,70.6,4,0,3,2024-03-10,0,Matchweek 28,0.0,1,RM,2,2,0,Premier League,2,,0,0,17,0,12,Away,12,89,D 2–2,0,29,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,West Ham,,1,0
Sat,Y,60.9,3,0,3,2024-03-16,0,Matchweek 29,0.0,1,RM,3,1,0,Premier League,3,,0,0,23,0,14,Home,21,90,W 2–1,0,39,2,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Brentford,,1,0
Sat,Y,68.0,6,0,4,2024-03-30,0,Matchweek 30,0.0,0,"RB,LB",1,0,0,Premier League,2,,0,0,25,0,17,Away,20,90,D 2–2,0,40,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Chelsea,,1,0
Tue,Y,69.2,3,1,4,2024-04-02,0,Matchweek 31,0.1,2,RB,2,2,0,Premier League,2,,0,0,52,0,36,Home,35,90,D 1–1,0,63,1,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.5,Wolves,,5,1
Sat,N,69.2,0,0,0,2024-04-06,0,Matchweek 32,0.0,0,"RM,RB,FW",0,0,0,Premier League,1,,0,0,13,0,9,Away,9,30,L 0–1,0,15,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Everton,,0,0
Sat,Y,73.7,1,0,0,2024-04-13,0,Matchweek 33,0.0,0,LB,1,0,0,Premier League,3,,0,0,19,0,14,Home,9,45,D 1–1,0,24,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brighton,,0,0
Sat,Y,68.8,1,1,1,2024-04-20,0,Matchweek 34,0.1,3,"RM,RW",4,0,0,Premier League,2,,0,0,16,0,11,Away,13,69,W 4–1,1,38,0,1,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.4,Sheffield Utd,,2,0
Sat,Y,72.0,1,0,0,2024-04-27,0,Matchweek 35,0.0,1,LB,3,0,0,Premier League,1,,0,0,25,0,18,Away,15,90,D 1–1,0,37,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester Utd,,1,0
Sat,Y,80.0,3,0,2,2024-05-04,0,Matchweek 36,0.0,0,LB,2,1,0,Premier League,1,,0,0,35,0,28,Home,23,90,L 1–4,0,46,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Newcastle Utd,,0,1
Sat,Y,50.0,0,1,0,2024-05-11,0,Matchweek 37,0.1,1,LM,2,0,0,Premier League,2,,0,0,14,0,7,Away,11,71,L 1–2,0,23,0,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Tottenham,,0,0
