dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,78.6,1,0,1,2023-08-13,0,Matchweek 1,0.0,1,"RM,LW",5,0,0,Premier League,1,,0,0,42,0,33,Away,27,90,D 1–1,0,56,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Chelsea,,2,1
Sat,Y,93.1,6,1,5,2023-08-19,0,Matchweek 2,0.1,3,"RM,CM",2,3,0,Premier League,1,,0,0,72,0,67,Home,46,90,W 3–1,0,85,4,1,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Bournemouth,,7,1
Sun,Y,76.2,6,0,1,2023-08-27,0,Matchweek 3,0.1,2,"RM,CM",1,3,0,Premier League,3,,0,0,42,0,32,Away,22,90,W 2–1,0,56,7,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Newcastle Utd,,2,0
Sun,Y,90.0,3,1,2,2023-09-03,1,Matchweek 4,0.1,2,"RM,LM",3,1,0,Premier League,0,,0,0,60,0,54,Home,46,90,W 3–0,0,71,2,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Aston Villa,,7,1
Sat,Y,80.4,1,1,2,2023-09-16,0,Matchweek 5,0.2,2,"CM,RM",4,0,0,Premier League,2,,0,0,102,0,82,Away,67,90,W 3–1,0,114,14,0,0.2,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Wolves,,4,0
Sun,Y,91.3,0,0,1,2023-09-24,0,Matchweek 6,0.1,3,RM,0,0,0,Premier League,2,,0,0,92,0,84,Home,68,90,W 3–1,0,101,15,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,West Ham,,8,1
Sat,Y,77.6,4,1,1,2023-09-30,0,Matchweek 7,0.0,1,"CM,RM",2,1,0,Premier League,1,,0,0,49,0,38,Away,33,90,L 1–2,0,60,5,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Tottenham,,3,1
Sun,Y,82.5,1,0,0,2023-10-08,0,Matchweek 8,0.0,1,RM,0,1,0,Premier League,3,,1,0,40,0,33,Away,32,90,D 2–2,0,49,6,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.9,Brighton,,7,1
Sat,Y,88.0,2,0,8,2023-10-21,0,Matchweek 9,0.1,5,"RM,LM",1,1,0,Premier League,1,,0,0,92,0,81,Home,58,90,W 2–0,0,105,8,1,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.2,Everton,,7,0
Sun,Y,86.2,4,1,6,2023-10-29,0,Matchweek 10,0.1,1,RM,1,3,0,Premier League,0,,0,0,94,0,81,Home,55,90,W 3–0,2,100,11,2,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",1.7,Nott'ham Forest,,4,1
