dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,,,,,2023-09-16,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Manchester Utd,,,
Sun,N,100.0,0,0,0,2023-09-24,0,Matchweek 6,0.0,0,DM,0,0,0,Premier League,4,,0,0,8,0,8,Home,5,17,W 3–1,0,12,2,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Bournemouth,,0,0
Sat,N,100.0,0,0,0,2023-09-30,0,Matchweek 7,0.0,0,CM,0,0,0,Premier League,0,,0,0,7,0,7,Away,4,5,L 1–6,0,7,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Aston Villa,,1,0
Sun,Y,84.6,2,0,0,2023-10-08,0,Matchweek 8,0.1,1,DM,6,2,0,Premier League,2,,1,0,26,0,22,Home,16,90,D 2–2,0,38,1,0,0.1,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Liverpool,,0,3
Sat,Y,85.2,1,0,1,2023-10-21,0,Matchweek 9,0.0,0,DM,2,0,0,Premier League,4,,0,0,27,0,23,Away,22,65,L 1–2,0,38,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Manchester City,,1,3
Sun,Y,98.1,0,1,1,2023-10-29,0,Matchweek 10,0.2,4,CM,2,0,0,Premier League,3,,0,0,54,0,53,Home,41,70,D 1–1,0,67,3,0,0.2,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Fulham,,0,0
Sat,N,,,,,2023-11-04,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Everton,,,
Sun,N,77.8,1,0,0,2023-11-12,0,Matchweek 12,0.0,0,CM,0,0,0,Premier League,1,,1,0,9,0,7,Home,6,20,D 1–1,0,12,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Sheffield Utd,,0,0
Sat,N,66.7,0,0,0,2023-11-25,0,Matchweek 13,0.0,0,DM,2,0,0,Premier League,0,,0,0,6,0,4,Away,4,14,W 3–2,0,12,2,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Nott'ham Forest,,0,0
Sun,Y,97.1,4,1,0,2023-12-03,0,Matchweek 14,0.1,2,DM,0,1,0,Premier League,4,,0,0,34,0,33,Away,25,56,L 2–3,0,46,1,0,0.1,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Chelsea,,0,0
Wed,Y,92.4,0,0,0,2023-12-06,0,Matchweek 15,0.0,0,DM,0,0,0,Premier League,2,,0,0,66,0,61,Home,38,83,W 2–1,0,74,4,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.1,Brentford,,2,1
Sat,Y,97.5,0,0,0,2023-12-09,0,Matchweek 16,0.0,0,DM,1,0,0,Premier League,1,,0,0,81,0,79,Home,75,58,D 1–1,0,84,8,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Burnley,,1,0
Sun,N,,,,,2023-12-17,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Arsenal,,,
Thu,Y,97.2,0,0,0,2023-12-21,0,Matchweek 18,0.1,1,DM,1,0,0,Premier League,0,,1,0,36,0,35,Away,18,45,D 1–1,0,43,1,0,0.1,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Crystal Palace,,2,1
Thu,N,87.5,0,0,0,2023-12-28,0,Matchweek 19,0.0,0,AM,0,0,0,Premier League,1,,0,0,8,0,7,Home,5,32,W 4–2,0,14,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Tottenham,,0,0
Tue,N,,,,,2024-01-02,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,West Ham,,,
