dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,Y,86.7,8,1,2,2023-08-14,0,Matchweek 1,0.4,4,FW,1,4,0,Premier League,0,,0,0,15,0,13,Home,24,87,W 1–0,0,31,2,0,0.4,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Wolves,,1,0
Sat,Y,81.3,2,1,2,2023-08-19,0,Matchweek 2,0.4,3,FW,1,1,0,Premier League,0,,0,0,16,0,13,Away,18,84,L 0–2,0,27,2,0,0.4,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.1,Tottenham,,6,0
Sat,Y,82.4,4,1,2,2023-08-26,0,Matchweek 3,0.1,2,LW,0,2,0,Premier League,0,,1,0,34,0,28,Home,39,90,W 3–2,1,44,3,4,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.3,Nott'ham Forest,,6,0
Sun,Y,87.5,4,1,6,2023-09-03,1,Matchweek 4,0.5,5,LW,1,2,0,Premier League,0,,0,0,16,0,14,Away,17,90,L 1–3,0,25,1,0,0.5,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.3,Arsenal,,5,0
Sat,Y,72.4,8,2,8,2023-09-16,0,Matchweek 5,0.7,9,FW,0,5,0,Premier League,0,,0,0,29,0,21,Home,34,90,L 1–3,0,44,2,0,0.7,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Brighton,,3,0
Sat,Y,75.8,5,0,5,2023-09-23,0,Matchweek 6,0.4,3,"LW,RW",0,2,0,Premier League,1,,0,0,33,0,25,Away,19,90,W 1–0,0,40,3,0,0.4,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.2,Burnley,,5,0
Sat,Y,72.3,4,0,7,2023-09-30,0,Matchweek 7,0.2,2,"LW,RW",1,2,0,Premier League,1,,0,0,47,0,34,Home,39,76,L 0–1,0,57,5,0,0.2,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.1,Crystal Palace,,6,0
Sat,Y,71.4,6,1,4,2023-10-07,0,Matchweek 8,0.1,3,LW,2,4,0,Premier League,0,,0,0,28,0,20,Home,21,62,W 2–1,0,38,3,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Brentford,,3,0
Sat,Y,78.6,3,0,3,2023-10-21,0,Matchweek 9,0.3,2,LW,0,1,0,Premier League,0,,0,0,42,0,33,Away,40,87,W 2–1,0,50,1,0,0.3,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Sheffield Utd,,4,0
Sun,Y,63.2,5,0,3,2023-10-29,0,Matchweek 10,0.5,1,"LW,FW",0,1,0,Premier League,0,,0,0,19,0,12,Home,14,85,L 0–3,0,28,1,0,0.5,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.2,Manchester City,,2,0
Sat,Y,78.4,5,1,2,2023-11-11,0,Matchweek 12,0.3,2,RW,0,1,0,Premier League,0,,0,0,37,0,29,Home,38,90,W 1–0,0,51,8,0,0.3,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Luton Town,,4,1
Sun,Y,65.7,6,0,3,2023-11-26,1,Matchweek 13,0.0,0,"RW,LW,FW",0,0,1,Premier League,3,,0,1,35,0,23,Away,33,90,W 3–0,0,51,3,1,0.8,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.3,Everton,,4,0
Sat,Y,61.1,2,0,0,2023-12-02,0,Matchweek 14,0.0,0,RW,0,1,0,Premier League,0,,0,0,18,0,11,Away,15,60,L 0–1,0,21,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Newcastle Utd,,0,0
Wed,N,33.3,0,0,0,2023-12-06,0,Matchweek 15,0.0,0,FW,0,0,0,Premier League,0,,0,0,3,0,1,Home,2,7,W 2–1,0,4,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Chelsea,,0,0
Sat,N,66.7,1,0,0,2023-12-09,0,Matchweek 16,0.0,0,LW,0,1,0,Premier League,2,,0,0,3,0,2,Home,5,12,L 0–3,0,7,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Bournemouth,,0,0
