dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,76.9,2,0,0,2023-08-12,0,Matchweek 1,0.0,0,CM,1,0,0,Premier League,1,,1,0,13,0,10,Away,13,89,L 1–2,0,21,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Arsenal,,1,1
Fri,Y,79.2,0,0,0,2023-08-18,0,Matchweek 2,0.0,0,CM,1,0,0,Premier League,4,,0,0,24,0,19,Home,15,68,W 2–1,0,34,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Sheffield Utd,,1,2
Sat,Y,77.8,2,0,0,2023-09-02,0,Matchweek 4,0.0,1,CM,1,0,0,Premier League,1,,0,0,18,0,14,Away,8,71,W 1–0,0,27,2,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Chelsea,,2,2
Mon,Y,85.7,0,0,0,2023-09-18,0,Matchweek 5,0.1,2,DM,1,0,0,Premier League,1,,1,0,28,0,24,Home,18,70,D 1–1,0,36,1,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Burnley,,3,0
Sat,Y,84.2,0,0,0,2023-09-23,0,Matchweek 6,0.1,1,"CM,DM",0,0,0,Premier League,2,,1,0,38,0,32,Away,30,90,L 0–2,0,46,2,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,0,2
Sun,Y,97.9,2,0,0,2023-10-01,0,Matchweek 7,0.0,0,"CM,DM",0,2,0,Premier League,1,,0,0,48,0,47,Home,34,90,D 1–1,0,57,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,0,3
Sat,Y,97.5,1,0,1,2023-10-07,0,Matchweek 8,0.1,2,CM,0,0,0,Premier League,2,,0,0,40,0,39,Away,27,82,D 0–0,0,48,3,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Crystal Palace,,2,1
Sat,Y,81.0,4,0,2,2023-10-21,0,Matchweek 9,0.0,0,CM,1,2,0,Premier League,0,,0,0,58,0,47,Home,39,90,D 2–2,0,67,5,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.1,Luton Town,,4,1
Sun,Y,77.8,1,0,0,2023-10-29,0,Matchweek 10,0.0,0,CM,1,1,0,Premier League,1,,1,0,18,0,14,Away,14,82,L 0–3,0,25,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Liverpool,,0,0
Sun,Y,95.2,1,1,0,2023-11-05,1,Matchweek 11,0.0,1,CM,1,1,0,Premier League,1,,0,0,21,0,20,Home,13,90,W 2–0,0,30,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Aston Villa,,0,1
Sun,Y,92.2,1,0,2,2023-11-12,0,Matchweek 12,0.0,0,CM,1,0,0,Premier League,0,,0,0,51,0,47,Away,34,90,L 2–3,0,62,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,West Ham,,0,2
Sat,Y,89.1,1,0,2,2023-11-25,0,Matchweek 13,0.0,0,DM,1,1,0,Premier League,0,,0,0,46,0,41,Home,32,90,L 2–3,0,52,3,1,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brighton,,2,3
Sat,Y,96.9,3,0,2,2023-12-02,0,Matchweek 14,0.0,0,"CM,DM",1,1,0,Premier League,3,,0,0,64,0,62,Home,41,90,L 0–1,0,86,8,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Everton,,0,2
Wed,Y,92.1,6,0,1,2023-12-06,0,Matchweek 15,0.0,0,DM,0,2,0,Premier League,3,,0,0,38,0,35,Away,26,90,L 0–5,0,47,4,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Fulham,,1,1
Sat,Y,80.6,3,0,2,2023-12-09,0,Matchweek 16,0.0,0,CM,0,2,0,Premier League,1,,0,0,31,0,25,Away,16,90,D 1–1,0,36,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves,,0,1
Fri,Y,82.8,0,0,0,2023-12-15,0,Matchweek 17,0.0,0,CM,1,0,0,Premier League,2,,0,0,29,0,24,Home,17,82,L 0–2,0,35,3,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Tottenham,,1,0
Sat,Y,83.3,2,0,0,2023-12-23,0,Matchweek 18,0.0,0,DM,0,1,0,Premier League,1,,0,0,6,0,5,Home,6,45,L 2–3,0,12,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Bournemouth,,1,0
Tue,N,,,,,2023-12-26,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Newcastle Utd,,,
Sat,N,0.0,0,0,0,2023-12-30,0,Matchweek 20,0.0,0,CM,0,0,0,Premier League,0,,1,0,1,0,0,Home,0,4,W 2–1,0,1,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester Utd,,0,0
Sat,Y,90.2,1,0,1,2024-01-20,0,Matchweek 21,0.5,3,DM,1,0,0,Premier League,1,,1,0,61,0,55,Away,35,90,L 2–3,0,70,2,0,0.5,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,1,0
