dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,40.0,0,0,1,2023-09-02,0,Matchweek 4,0.0,0,WB,0,0,0,Premier League,2,,1,0,5,0,2,Away,2,19,W 1–0,0,13,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Chelsea,,0,0
Mon,N,87.5,2,0,1,2023-09-18,0,Matchweek 5,0.0,0,LB,1,1,0,Premier League,0,,0,0,16,0,14,Home,8,38,D 1–1,0,21,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Burnley,,1,0
Sat,Y,75.0,0,0,1,2023-09-23,0,Matchweek 6,0.0,0,LB,0,0,0,Premier League,0,,1,0,12,0,9,Away,7,38,L 0–2,0,13,1,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Manchester City,,0,0
Sun,N,,,,,2023-10-29,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Liverpool,,,
Sun,N,,,,,2023-11-05,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Aston Villa,,,
Sat,N,,,,,2023-12-23,,Matchweek 18,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 2–3,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Bournemouth,,,
Tue,N,,,,,2023-12-26,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Newcastle Utd,,,
Sat,N,,,,,2023-12-30,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",,Manchester Utd,,,
Sat,Y,76.1,4,1,4,2024-01-20,0,Matchweek 21,0.0,2,LB,2,3,0,Premier League,0,,0,0,71,0,54,Away,42,90,L 2–3,0,83,10,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Brentford,,0,0
Sun,Y,60.0,2,0,2,2024-02-04,0,Matchweek 23,0.0,1,LB,1,1,0,Premier League,3,,0,0,50,0,30,Away,25,90,D 1–1,0,60,2,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Bournemouth,,1,0
Sat,Y,80.9,1,0,2,2024-02-10,0,Matchweek 24,0.1,2,LB,2,1,0,Premier League,2,,0,0,47,0,38,Home,37,90,L 2–3,0,58,5,0,0.1,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.3,Newcastle Utd,,3,0
Sat,Y,75.8,0,0,3,2024-02-17,0,Matchweek 25,0.0,2,LB,0,0,0,Premier League,3,,0,0,66,0,50,Home,43,90,W 2–0,0,85,6,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.2,West Ham,,4,1
Sat,N,57.1,0,0,0,2024-04-13,0,Matchweek 33,0.0,0,LB,0,0,0,Premier League,1,,0,0,7,0,4,Home,2,2,D 2–2,0,10,0,0,0.0,"<a href=""/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats"">Nott'ham Forest</a>",0.0,Wolves,,0,0
