dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Fri,Y,80.0,0,0,0,2023-08-25,0,Matchweek 3,0.0,0,CB,1,0,0,Premier League,1,,0,0,25,0,20,Away,18,76,L 0–3,0,32,3,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Chelsea,,1,0
Fri,Y,76.3,0,0,0,2023-09-01,0,Matchweek 4,0.3,3,CB,1,0,0,Premier League,2,,0,0,38,0,29,Home,15,90,L 1–2,0,50,3,0,0.3,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.2,West Ham,,2,1
Sat,Y,61.1,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,CB,2,0,0,Premier League,2,,0,0,18,0,11,Away,13,80,L 0–1,0,27,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Fulham,,0,0
Sat,Y,73.1,0,0,0,2023-09-23,0,Matchweek 6,0.1,1,CB,0,0,0,Premier League,1,,0,0,52,0,38,Home,40,90,D 1–1,0,62,4,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Wolves,,1,1
Sat,Y,33.3,0,0,0,2023-09-30,0,Matchweek 7,0.0,0,CB,2,0,0,Premier League,1,,0,0,15,0,5,Away,4,45,W 2–1,0,22,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Everton,,0,2
Tue,N,60.0,1,1,0,2023-10-03,0,Matchweek 2,0.0,1,CB,0,1,0,Premier League,1,,1,0,25,0,15,Home,9,70,L 1–2,1,30,4,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Burnley,,2,0
Sat,Y,76.0,1,0,0,2023-10-07,0,Matchweek 8,0.0,0,RB,2,0,0,Premier League,4,,0,0,25,0,19,Home,12,90,L 0–1,0,41,6,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Tottenham,,2,1
Sat,Y,46.7,0,0,0,2023-10-21,0,Matchweek 9,0.0,0,RB,1,0,0,Premier League,0,,0,0,15,0,7,Away,6,54,D 2–2,0,24,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Nott'ham Forest,,1,2
Fri,N,,,,,2024-01-12,,Matchweek 21,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",,Burnley,,,
Tue,Y,50.0,1,0,0,2024-01-30,0,Matchweek 22,0.0,1,CB,1,1,0,Premier League,4,,0,0,30,0,15,Home,13,90,W 4–0,0,42,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Brighton,,1,1
