dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-08-12,Sheffield Utd,,,
Mon,N,83.3,0,0,2,0,Matchweek 2,0.0,0,LW,0,0,0,Premier League,2,,0.0,0,0,18,0,15,Home,13,17,L 0–1,0,19,4,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-08-21,Arsenal,,0,0
Sat,N,71.4,1,0,0,0,Matchweek 3,0.0,0,AM,0,1,0,Premier League,0,,0.0,0,0,7,0,5,Away,6,20,D 1–1,0,7,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-08-26,Brentford,,1,0
Sun,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-03,Wolves,,,
Sat,N,62.5,0,0,2,0,Matchweek 5,0.0,0,LW,0,0,0,Premier League,0,,0.0,0,0,8,0,5,Away,8,1,L 1–3,0,9,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-09-16,Aston Villa,,0,1
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–4,,,,,,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-10-21,Newcastle Utd,,,
Fri,N,66.7,2,0,1,0,Matchweek 10,0.0,0,"DM,AM",0,1,0,Premier League,0,,0.0,0,0,6,0,4,Home,5,21,L 1–2,0,10,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-10-27,Tottenham,,0,0
Sat,N,100.0,0,0,1,0,Matchweek 11,0.0,0,"LW,RM",0,0,0,Premier League,0,,0.0,0,0,2,0,2,Away,2,21,W 2–0,0,2,1,1,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-04,Burnley,,1,0
Sat,N,66.7,0,0,1,0,Matchweek 12,0.0,0,CM,0,0,0,Premier League,0,,0.0,0,0,3,0,2,Home,3,2,L 2–3,0,3,1,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-11,Everton,,0,0
Sat,N,87.5,1,0,2,0,Matchweek 13,0.0,1,LW,0,1,0,Premier League,0,,0.0,0,0,8,0,7,Away,9,11,L 1–2,0,12,0,0,0.0,"<a href=""/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats"">Crystal Palace</a>",2023-11-25,Luton Town,,2,0
