dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,76.0,0,0,0,2023-08-13,0,Matchweek 1,0.0,0,CB,2,0,0,Premier League,0,,0,0,25,0,19,Home,9,83,D 2–2,0,35,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Tottenham,,1,1
Sat,N,85.7,0,0,1,2023-08-19,0,Matchweek 2,0.1,1,RB,0,0,0,Premier League,0,,0,0,7,0,6,Away,7,2,W 3–0,1,8,1,1,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",1.0,Fulham,,2,0
Sat,N,,,,,2023-08-26,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",,Crystal Palace,,,
Sat,N,92.3,0,1,1,2023-09-02,0,Matchweek 4,0.2,1,RB,0,0,0,Premier League,0,,0,0,13,0,12,Home,6,10,D 2–2,0,17,3,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Bournemouth,,0,0
Sat,N,89.2,1,0,0,2023-09-23,0,Matchweek 6,0.0,1,CB,0,1,0,Premier League,1,,0,0,37,0,33,Home,29,30,L 1–3,0,39,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Everton,,1,0
Sun,Y,77.3,0,0,4,2023-10-01,0,Matchweek 7,0.1,1,"RB,CB",0,0,0,Premier League,2,,0,0,66,0,51,Away,53,88,D 1–1,0,74,3,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Nott'ham Forest,,0,1
Sat,Y,54.3,1,0,0,2023-10-07,0,Matchweek 8,0.0,0,CB,1,1,0,Premier League,3,,0,0,35,0,19,Away,15,90,L 1–2,0,47,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.2,Manchester Utd,,1,0
Sat,Y,72.9,1,0,3,2023-10-21,0,Matchweek 9,0.2,1,RB,0,1,0,Premier League,2,,1,0,48,0,35,Home,22,75,W 3–0,0,53,1,1,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Burnley,,2,1
Sat,Y,78.9,2,0,2,2023-10-28,0,Matchweek 10,0.0,0,CB,1,2,0,Premier League,2,,0,0,38,0,30,Away,19,90,W 2–0,0,49,6,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.3,Chelsea,,3,0
Sat,Y,78.6,0,0,1,2023-11-04,0,Matchweek 11,0.0,0,RB,1,0,0,Premier League,1,,1,0,56,0,44,Home,35,78,W 3–2,0,60,4,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,West Ham,,2,0
Sun,Y,63.0,1,0,1,2023-11-12,0,Matchweek 12,0.0,0,RB,0,1,0,Premier League,4,,1,0,27,0,17,Away,20,90,L 0–3,0,37,5,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Liverpool,,2,1
Sat,Y,69.2,0,0,1,2023-11-25,0,Matchweek 13,0.1,1,"CB,RM",0,0,0,Premier League,2,,1,0,26,0,18,Home,10,90,L 0–1,0,36,3,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Arsenal,,3,1
Sat,N,33.3,0,0,0,2024-01-20,0,Matchweek 21,0.0,0,WB,1,0,0,Premier League,2,,0,0,3,0,1,Home,3,1,W 3–2,0,7,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Nott'ham Forest,,0,1
Wed,N,70.0,0,0,1,2024-01-31,0,Matchweek 22,0.0,0,CB,1,0,0,Premier League,0,,0,0,10,0,7,Away,5,13,L 2–3,0,13,2,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Tottenham,,0,0
Mon,N,50.0,0,0,0,2024-02-05,0,Matchweek 23,0.0,0,WB,0,0,0,Premier League,1,,0,0,2,0,1,Home,2,12,L 1–3,0,3,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Manchester City,,0,1
Sat,N,100.0,0,0,0,2024-02-10,0,Matchweek 24,0.0,0,CM,0,0,0,Premier League,0,,0,0,1,0,1,Away,0,6,W 2–0,0,3,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Wolves,,0,2
