dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,64.3,0,0,1,2023-08-12,0,Matchweek 1,0.3,2,CM,1,0,0,Premier League,1,,0,0,14,0,9,Away,15,87,L 1–4,0,22,1,0,0.3,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Brighton,,0,1
Fri,N,100.0,1,0,0,2023-08-25,0,Matchweek 3,0.0,1,CM,0,1,0,Premier League,0,,0,0,2,0,2,Away,3,14,L 0–3,0,3,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Chelsea,,2,0
Fri,N,73.3,1,0,0,2023-09-01,0,Matchweek 4,0.0,0,CM,0,0,0,Premier League,0,,0,0,15,0,11,Home,7,20,L 1–2,0,17,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,West Ham,,1,0
Sat,N,50.0,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,"RM,CM",0,0,0,Premier League,0,,0,0,4,0,2,Away,4,17,L 0–1,0,6,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Fulham,,0,1
Sat,N,85.7,0,0,1,2023-09-23,0,Matchweek 6,0.1,2,CM,0,0,0,Premier League,0,,0,0,28,0,24,Home,19,34,D 1–1,0,32,6,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.2,Wolves,,3,0
Sat,Y,40.9,1,0,1,2023-09-30,0,Matchweek 7,0.0,0,CM,0,1,0,Premier League,2,,0,0,22,0,9,Away,12,90,W 2–1,0,29,3,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Everton,,1,1
Tue,Y,68.8,1,0,1,2023-10-03,0,Matchweek 2,0.1,2,CM,1,0,0,Premier League,0,,0,0,32,0,22,Home,23,90,L 1–2,0,42,4,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Burnley,,1,0
Sat,Y,71.4,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,CM,2,0,0,Premier League,1,,0,0,14,0,10,Home,7,66,L 0–1,0,23,3,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Tottenham,,3,1
Sat,Y,57.1,1,0,2,2023-10-21,0,Matchweek 9,0.0,1,CM,1,1,0,Premier League,1,,0,0,21,0,12,Away,9,71,D 2–2,0,29,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Nott'ham Forest,,0,1
Sun,N,80.0,0,0,0,2023-10-29,0,Matchweek 10,0.0,0,CM,0,0,0,Premier League,0,,0,0,5,0,4,Away,4,15,L 1–3,0,5,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Aston Villa,,0,0
Sun,N,,,,,2023-11-05,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",,Liverpool,,,
Sat,N,100.0,0,0,0,2023-11-11,0,Matchweek 12,0.0,0,CM,0,0,0,Premier League,0,,0,0,2,0,2,Away,3,6,L 0–1,0,4,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Manchester Utd,,0,0
