dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-16,Sheffield Utd,,,
Sun,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-09-24,Arsenal,,,
Sat,N,,,,,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-07,Luton Town,,,
Mon,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-23,Fulham,,,
Fri,N,,,,,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-10-27,Crystal Palace,,,
Mon,N,71.4,0,0,0,0,Matchweek 11,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,21,0,15,Home,7,57,L 1–4,0,26,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-06,Chelsea,,0,1
Sat,Y,93.8,0,0,0,0,Matchweek 12,0.0,0,CB,1,0,0,Premier League,2,,0.0,0,0,81,0,76,Away,62,90,L 1–2,0,89,2,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-11,Wolves,,2,0
Sun,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-11-26,Aston Villa,,,
Fri,N,,,,,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-15,Nott'ham Forest,,,
Sat,N,88.6,0,0,0,0,Matchweek 18,0.0,0,CB,2,0,0,Premier League,0,,0.0,0,0,35,0,31,Home,24,45,W 2–1,0,41,1,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-23,Everton,,0,0
Thu,N,,,,,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 2–4,,,,,,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-28,Brighton,,,
Sun,N,75.0,0,0,0,0,Matchweek 20,0.0,0,"CB,AM",0,0,0,Premier League,0,,0.0,0,0,4,0,3,Home,4,9,W 3–1,0,8,0,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",2023-12-31,Bournemouth,,0,1
