dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,90.8,0,1,0,2023-08-13,1,Matchweek 1,0.5,2,CB,1,0,0,Premier League,1,,0,0,98,0,89,Home,78,90,D 1–1,0,108,5,0,0.5,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Liverpool,,0,2
Sun,Y,88.3,0,0,2,2023-08-20,0,Matchweek 2,0.0,0,CB,0,0,0,Premier League,1,,1,0,111,0,98,Away,86,90,L 1–3,0,115,9,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,West Ham,,0,0
Fri,Y,90.6,0,1,0,2023-08-25,0,Matchweek 3,0.1,1,CB,1,0,0,Premier League,1,,0,0,96,0,87,Home,69,90,W 3–0,0,106,3,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Luton Town,,0,1
Sat,Y,93.5,0,0,2,2023-09-02,0,Matchweek 4,0.1,2,CB,0,0,0,Premier League,0,,0,0,108,0,101,Home,87,90,L 0–1,0,115,11,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Nott'ham Forest,,1,1
Sun,Y,87.1,0,0,0,2023-09-17,0,Matchweek 5,0.0,0,CB,4,0,0,Premier League,1,,1,0,62,0,54,Away,53,90,D 0–0,0,72,2,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Bournemouth,,0,0
Sun,Y,89.2,3,0,2,2023-09-24,0,Matchweek 6,0.0,1,"CB,RB",1,0,0,Premier League,1,,0,0,65,0,58,Home,52,90,L 0–1,0,74,4,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.2,Aston Villa,,4,0
Mon,Y,86.2,1,0,0,2023-10-02,0,Matchweek 7,0.1,1,CB,0,1,0,Premier League,0,,0,0,65,0,56,Away,52,90,W 2–0,0,70,1,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Fulham,,0,0
Sat,Y,95.6,1,0,0,2023-10-07,0,Matchweek 8,0.0,0,CB,1,1,0,Premier League,0,,0,0,113,0,108,Away,84,90,W 4–1,0,119,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Burnley,,1,0
Sat,N,,,,,2023-10-21,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Arsenal,,,
Sat,Y,94.1,2,0,3,2023-10-28,0,Matchweek 10,0.0,0,RB,0,1,0,Premier League,0,,0,0,68,0,64,Home,51,66,L 0–2,0,69,11,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Brentford,,1,0
Mon,Y,87.7,0,0,0,2023-11-06,0,Matchweek 11,0.0,1,CB,0,0,0,Premier League,1,,0,0,65,0,57,Away,43,90,W 4–1,0,72,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Tottenham,,0,0
Sun,Y,94.3,0,0,1,2023-11-12,0,Matchweek 12,0.0,0,CB,2,0,0,Premier League,1,,0,0,70,0,66,Home,48,90,D 4–4,0,81,3,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Manchester City,,0,0
Sat,N,,,,,2023-11-25,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–4,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Newcastle Utd,,,
Sun,Y,75.7,0,0,2,2023-12-03,0,Matchweek 14,0.0,0,RB,2,0,0,Premier League,3,,0,0,37,0,28,Home,16,90,W 3–2,0,48,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Brighton,,0,1
Wed,Y,93.1,0,0,0,2023-12-06,0,Matchweek 15,0.0,0,CB,0,0,0,Premier League,0,,0,0,87,0,81,Away,74,90,L 1–2,0,91,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Manchester Utd,,1,0
Sun,Y,87.5,2,0,2,2023-12-10,0,Matchweek 16,0.0,0,"CB,RB",0,1,0,Premier League,1,,0,0,88,0,77,Away,54,90,L 0–2,0,94,9,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Everton,,0,1
Sat,Y,90.8,2,0,2,2023-12-16,0,Matchweek 17,0.0,0,RB,0,1,0,Premier League,4,,0,0,98,0,89,Home,54,90,W 2–0,0,110,2,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Sheffield Utd,,0,2
Sun,Y,89.7,0,0,2,2023-12-24,0,Matchweek 18,0.0,0,CB,2,0,0,Premier League,1,,0,0,87,0,78,Away,45,90,L 1–2,0,95,9,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Wolves,,0,1
Wed,Y,81.8,0,0,0,2023-12-27,0,Matchweek 19,0.0,0,"CB,RB",0,0,0,Premier League,3,,0,0,88,0,72,Home,53,90,W 2–1,0,97,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Crystal Palace,,0,0
Sat,Y,87.2,1,0,0,2023-12-30,0,Matchweek 20,0.0,0,CB,0,1,0,Premier League,3,,1,0,47,0,41,Away,29,90,W 3–2,0,57,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Luton Town,,0,1
Sat,Y,84.4,0,0,0,2024-01-13,0,Matchweek 21,0.1,1,CB,1,0,0,Premier League,0,,1,0,64,0,54,Home,44,90,W 1–0,0,71,3,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Fulham,,0,0
Wed,Y,94.6,2,0,1,2024-01-31,0,Matchweek 22,0.0,0,"CB,RB",2,0,0,Premier League,0,,1,0,74,0,70,Away,57,90,L 1–4,0,85,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Liverpool,,0,1
Sun,Y,87.8,5,0,2,2024-02-04,0,Matchweek 23,0.0,0,CB,0,5,0,Premier League,0,,0,0,82,0,72,Home,70,90,L 2–4,0,87,4,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Wolves,,0,0
Mon,Y,94.8,0,1,1,2024-02-12,0,Matchweek 24,0.2,1,CB,0,0,0,Premier League,1,,1,0,116,0,110,Away,71,90,W 3–1,0,121,4,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Crystal Palace,,0,1
Sat,Y,81.3,0,0,0,2024-02-17,0,Matchweek 25,0.0,0,CB,3,0,0,Premier League,0,,0,0,32,0,26,Away,26,90,D 1–1,0,55,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Manchester City,,0,0
Sat,Y,90.2,2,1,2,2024-03-02,1,Matchweek 27,0.3,2,CB,0,0,0,Premier League,2,,0,0,61,0,55,Away,45,90,D 2–2,0,76,2,0,0.3,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Brentford,,0,3
Mon,Y,90.9,0,0,0,2024-03-11,0,Matchweek 28,0.0,0,CB,0,0,0,Premier League,4,,0,0,44,0,40,Home,29,90,W 3–2,0,51,2,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Newcastle Utd,,0,1
Sat,Y,90.8,0,0,2,2024-03-30,0,Matchweek 30,0.0,0,CB,3,0,0,Premier League,0,,0,0,76,0,69,Home,56,90,D 2–2,0,84,11,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Burnley,,2,1
Thu,Y,79.6,0,0,2,2024-04-04,0,Matchweek 31,0.2,3,CB,3,0,0,Premier League,2,,0,0,54,0,43,Home,34,74,W 4–3,0,62,3,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Manchester Utd,,3,0
Sun,Y,88.8,0,0,2,2024-04-07,0,Matchweek 32,0.0,0,RB,0,0,0,Premier League,0,,0,0,98,0,87,Away,75,90,D 2–2,0,100,8,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Sheffield Utd,,0,0
Tue,Y,98.7,1,0,0,2024-04-23,0,Matchweek 29,0.9,1,CB,0,1,0,Premier League,2,,0,0,77,0,76,Away,63,90,L 0–5,0,86,1,0,0.9,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Arsenal,,0,1
