dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,83.3,3,1,1,2023-08-12,0,Matchweek 1,0.3,2,FW,1,2,0,Premier League,1,,0,0,18,0,15,Away,15,90,L 1–5,1,27,2,1,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Newcastle Utd,,3,0
Sun,Y,100.0,1,0,2,2023-08-20,0,Matchweek 2,0.3,1,FW,0,0,0,Premier League,1,,0,0,9,0,9,Home,15,73,W 4–0,0,17,0,1,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Everton,,4,0
Sun,Y,75.0,1,2,2,2023-08-27,0,Matchweek 3,0.9,5,FW,0,0,0,Premier League,0,,0,0,20,0,15,Away,15,85,W 3–1,1,30,0,1,0.9,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.9,Burnley,,4,0
Sun,Y,77.8,0,0,0,2023-09-03,0,Matchweek 4,0.2,2,FW,1,0,0,Premier League,0,,0,0,9,0,7,Away,8,72,L 0–3,0,17,1,0,0.2,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Liverpool,,1,0
Sat,Y,84.6,2,1,1,2023-09-16,0,Matchweek 5,0.6,4,FW,2,0,0,Premier League,0,,0,0,13,0,11,Home,13,89,W 3–1,0,25,4,1,0.6,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Crystal Palace,,4,0
Sun,Y,75.0,1,1,2,2023-09-24,1,Matchweek 6,0.2,2,FW,2,0,0,Premier League,0,,0,0,8,0,6,Away,9,89,W 1–0,0,17,1,1,0.2,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Chelsea,,3,0
Sat,Y,70.8,3,4,5,2023-09-30,3,Matchweek 7,0.8,6,FW,2,2,0,Premier League,0,,0,0,24,0,17,Home,30,90,W 6–1,1,38,3,4,0.8,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.4,Brighton,,10,0
Sun,Y,58.3,1,1,0,2023-10-08,0,Matchweek 8,0.3,3,FW,2,0,0,Premier League,0,,0,0,12,0,7,Away,12,90,D 1–1,1,26,1,1,0.3,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Wolves,,1,0
Sun,Y,75.0,1,2,4,2023-10-22,1,Matchweek 9,0.5,4,FW,1,0,0,Premier League,0,,0,0,24,0,18,Home,27,90,W 4–1,1,33,1,1,0.5,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,West Ham,,2,0
Sun,Y,75.0,2,2,1,2023-10-29,0,Matchweek 10,0.7,2,FW,0,2,0,Premier League,0,,0,0,12,0,9,Home,12,90,W 3–1,0,16,1,0,0.7,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Luton Town,,4,0
