dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,N,,,,,2024-02-18,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–5,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Brighton,,,
Sun,N,,,,,2024-02-25,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–1,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Wolves,,,
Mon,N,100.0,0,0,0,2024-03-04,0,Matchweek 27,0.0,0,CM,0,0,0,Premier League,0,,0,0,8,0,8,Home,4,27,L 0–6,0,9,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Arsenal,,1,1
Sat,Y,81.5,1,1,2,2024-03-09,0,Matchweek 28,0.0,1,CM,2,0,0,Premier League,0,,0,0,27,0,22,Away,13,79,D 2–2,0,38,3,1,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Bournemouth,,2,0
Sat,Y,71.4,1,0,0,2024-03-30,0,Matchweek 30,0.0,0,CM,3,1,0,Premier League,2,,0,0,21,0,15,Home,13,84,D 3–3,0,28,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Fulham,,1,0
Thu,Y,56.5,2,0,1,2024-04-04,0,Matchweek 31,0.0,0,CM,3,1,0,Premier League,4,,0,0,23,0,13,Away,9,90,L 1–3,0,35,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Liverpool,,0,0
Sun,Y,84.6,2,0,1,2024-04-07,0,Matchweek 32,0.0,0,"CM,DM",1,2,0,Premier League,2,,1,0,52,0,44,Home,41,90,D 2–2,0,64,8,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.2,Chelsea,,6,2
Sat,Y,76.2,5,0,3,2024-04-13,0,Matchweek 33,0.0,0,CM,1,5,0,Premier League,1,,0,0,42,0,32,Away,28,90,L 0–2,0,52,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brentford,,0,1
Sat,Y,76.9,2,0,2,2024-04-20,0,Matchweek 34,0.0,0,DM,2,2,0,Premier League,2,,0,0,52,0,40,Home,31,90,L 1–4,0,59,8,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Burnley,,4,1
Wed,Y*,79.3,1,0,0,2024-04-24,0,Matchweek 29,0.0,0,CM,2,0,0,Premier League,7,,0,0,29,0,23,Away,16,90,L 2–4,0,47,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester Utd,,2,5
Sat,Y*,87.9,8,0,2,2024-04-27,0,Matchweek 35,0.0,0,CM,2,5,0,Premier League,1,,0,0,66,0,58,Away,55,90,L 1–5,0,79,6,1,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Newcastle Utd,,2,2
Sat,Y,82.2,1,0,3,2024-05-04,0,Matchweek 36,0.0,0,CM,0,0,0,Premier League,1,,0,0,73,0,60,Home,42,90,L 1–3,0,79,11,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.5,Nott'ham Forest,,4,2
Sat,Y,78.8,2,0,0,2024-05-11,0,Matchweek 37,0.0,0,CM,1,1,0,Premier League,1,,1,0,33,0,26,Away,20,62,L 0–1,0,43,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Everton,,1,1
Sun,Y,66.7,1,0,0,2024-05-19,0,Matchweek 38,0.0,0,CM,0,0,0,Premier League,2,,0,0,15,0,10,Home,9,61,L 0–3,0,22,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Tottenham,,0,1
