dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,N,66.7,0,0,0,2023-09-18,0,Matchweek 5,0.0,1,LW,0,0,0,Premier League,0,,0,0,9,0,6,Away,8,15,D 1–1,0,13,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Nott'ham Forest,,1,0
Sat,N,71.4,2,0,5,2023-09-23,0,Matchweek 6,0.0,0,LW,0,1,0,Premier League,1,,0,0,42,0,30,Home,22,71,L 0–1,0,45,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester Utd,,2,0
Sat,N,,,,,2023-09-30,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–2,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",,Newcastle Utd,,,
Tue,N,,,,,2023-10-03,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",,Luton Town,,,
Sat,Y,58.3,5,0,0,2023-10-07,0,Matchweek 8,0.3,1,RW,0,0,0,Premier League,3,,0,0,12,0,7,Home,15,60,L 1–4,0,23,0,0,0.3,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Chelsea,,0,0
Sat,Y,65.6,2,0,3,2023-10-21,0,Matchweek 9,0.0,1,RW,1,0,0,Premier League,0,,0,0,32,0,21,Away,24,65,L 0–3,0,38,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Brentford,,1,0
Sat,N,100.0,0,0,0,2023-10-28,0,Matchweek 10,0.0,0,LW,0,0,0,Premier League,0,,0,0,1,0,1,Away,0,10,L 1–2,0,1,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Bournemouth,,1,0
Sat,N,66.7,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,RM,0,0,0,Premier League,0,,0,0,3,0,2,Home,3,4,L 0–2,0,3,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Crystal Palace,,0,0
Sat,N,100.0,0,0,1,2023-12-02,0,Matchweek 14,0.0,0,LM,0,0,0,Premier League,0,,0,0,6,0,6,Home,8,14,W 5–0,0,7,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Sheffield Utd,,0,0
Tue,N,64.3,0,0,1,2023-12-05,0,Matchweek 15,0.1,1,LM,0,0,0,Premier League,3,,0,0,14,0,9,Away,4,21,L 0–1,0,19,0,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Wolves,,0,0
Sat,N,75.0,2,0,0,2023-12-09,0,Matchweek 16,0.0,0,LM,0,2,0,Premier League,1,,0,0,8,0,6,Away,4,13,D 1–1,0,11,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brighton,,0,0
Sat,N,100.0,1,0,0,2023-12-16,0,Matchweek 17,0.0,1,LM,1,1,0,Premier League,0,,0,0,2,0,2,Home,3,4,L 0–2,0,5,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Everton,,1,0
Sat,N,76.5,1,0,1,2023-12-23,0,Matchweek 18,0.0,0,RM,2,1,0,Premier League,0,,0,0,17,0,13,Away,13,43,W 2–0,0,22,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Fulham,,2,0
