dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,70.6,0,0,0,2023-08-12,0,Matchweek 1,0.1,1,FW,0,0,0,Premier League,0,,0,0,17,0,12,Away,19,57,W 1–0,0,19,1,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Everton,,0,0
Sat,Y,57.7,1,0,2,2023-08-19,0,Matchweek 2,0.1,2,FW,0,0,0,Premier League,1,,0,0,26,0,15,Home,24,85,L 0–3,0,37,0,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brentford,,1,0
Sat,Y,52.2,0,0,0,2023-08-26,0,Matchweek 3,0.1,2,FW,3,0,0,Premier League,3,,1,0,23,0,12,Away,10,90,D 2–2,0,40,2,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Arsenal,,1,0
Sat,Y,61.9,2,1,1,2023-09-02,0,Matchweek 4,0.2,2,FW,1,2,0,Premier League,1,,0,0,21,0,13,Away,17,80,L 1–5,0,31,0,1,0.2,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.7,Manchester City,,4,0
Sat,Y,76.9,0,0,0,2023-09-16,0,Matchweek 5,0.1,1,FW,0,0,0,Premier League,0,,0,0,13,0,10,Home,12,61,W 1–0,0,20,0,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Luton Town,,0,0
Sat,Y,75.0,0,1,0,2023-09-23,0,Matchweek 6,0.1,2,FW,1,0,0,Premier League,0,,0,0,20,0,15,Away,13,78,D 0–0,0,26,0,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Crystal Palace,,1,0
Mon,Y,77.8,1,0,2,2023-10-02,0,Matchweek 7,0.0,1,FW,0,1,0,Premier League,0,,0,0,9,0,7,Home,8,52,L 0–2,0,13,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Chelsea,,0,0
Sat,N,,,,,2023-10-07,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",,Sheffield Utd,,,
Mon,N,40.0,1,1,0,2023-10-23,0,Matchweek 9,0.5,1,FW,0,0,0,Premier League,0,,0,0,10,0,4,Away,9,45,L 0–2,0,14,0,0,0.5,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.1,Tottenham,,1,0
Sun,Y,60.0,1,0,0,2023-10-29,0,Matchweek 10,0.0,0,FW,0,0,0,Premier League,0,,0,0,10,0,6,Away,9,57,D 1–1,0,13,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brighton,,0,0
